Time,Step,Train loss,Validation loss,Validation dice
2024-06-02 10:23:56.141904,Step[1],0.966922,0.949989,0.050011
2024-06-02 10:24:31.052170,Step[2],0.935191,0.903360,0.096640
2024-06-02 10:25:05.892136,Step[3],0.901848,0.877651,0.122349
2024-06-02 10:25:40.840339,Step[4],0.880350,0.861178,0.138822
2024-06-02 10:26:15.822885,Step[5],0.863716,0.847583,0.152417
2024-06-02 10:26:50.705481,Step[6],0.849402,0.838694,0.161306
2024-06-02 10:27:25.635490,Step[7],0.844334,0.833198,0.166802
2024-06-02 10:28:00.465683,Step[8],0.839315,0.827277,0.172723
2024-06-02 10:28:35.304162,Step[9],0.828245,0.819170,0.180830
2024-06-02 10:29:10.204328,Step[10],0.818398,0.815606,0.184394
2024-06-02 10:29:45.058502,Step[11],0.813172,0.807650,0.192350
2024-06-02 10:30:20.004659,Step[12],0.805712,0.808390,0.191610
2024-06-02 10:30:54.791430,Step[13],0.804980,0.804983,0.195017
2024-06-02 10:31:29.718389,Step[14],0.800363,0.795142,0.204858
2024-06-02 10:32:04.618222,Step[15],0.795712,0.797234,0.202766
2024-06-02 10:32:39.454220,Step[16],0.789499,0.786060,0.213940
2024-06-02 10:33:14.351277,Step[17],0.780722,0.786157,0.213843
2024-06-02 10:33:49.167935,Step[18],0.778866,0.786387,0.213613
2024-06-02 10:34:24.072235,Step[19],0.771118,0.778174,0.221826
2024-06-02 10:34:58.902028,Step[20],0.769943,0.785054,0.214946
2024-06-02 10:35:33.665545,Step[21],0.761835,0.768868,0.231132
2024-06-02 10:36:08.583260,Step[22],0.757284,0.766541,0.233459
2024-06-02 10:36:43.469112,Step[23],0.761524,0.764758,0.235242
2024-06-02 10:37:18.374481,Step[24],0.751946,0.761631,0.238369
2024-06-02 10:37:53.280372,Step[25],0.751834,0.768331,0.231669
2024-06-02 10:38:28.139945,Step[26],0.742158,0.755371,0.244629
2024-06-02 10:39:03.120178,Step[27],0.739242,0.753150,0.246850
2024-06-02 10:39:38.009290,Step[28],0.731153,0.756172,0.243828
2024-06-02 10:40:12.770773,Step[29],0.729635,0.740844,0.259156
2024-06-02 10:40:47.646327,Step[30],0.721680,0.741136,0.258864
2024-06-02 10:41:22.455275,Step[31],0.725497,0.753003,0.246997
2024-06-02 10:41:57.231140,Step[32],0.718261,0.730311,0.269689
2024-06-02 10:42:32.191419,Step[33],0.720327,0.738669,0.261331
2024-06-02 10:43:06.985001,Step[34],0.718146,0.736724,0.263276
2024-06-02 10:43:41.775849,Step[35],0.713799,0.736420,0.263580
2024-06-02 10:44:16.547726,Step[36],0.707450,0.724776,0.275224
2024-06-02 10:44:51.450948,Step[37],0.704992,0.755094,0.244906
2024-06-02 10:45:26.243461,Step[38],0.707468,0.730837,0.269163
2024-06-02 10:46:01.071461,Step[39],0.702643,0.743901,0.256099
2024-06-02 10:46:35.921412,Step[40],0.701412,0.730835,0.269165
2024-06-02 10:47:10.688729,Step[41],0.696194,0.729753,0.270247
2024-06-02 10:47:45.464933,Step[42],0.699039,0.726058,0.273942
2024-06-02 10:48:20.310955,Step[43],0.690310,0.721945,0.278055
2024-06-02 10:48:55.206689,Step[44],0.684750,0.717410,0.282590
2024-06-02 10:49:30.146831,Step[45],0.687481,0.723126,0.276874
2024-06-02 10:50:04.992716,Step[46],0.681905,0.713472,0.286528
2024-06-02 10:50:39.973394,Step[47],0.674939,0.719993,0.280007
2024-06-02 10:51:14.821133,Step[48],0.684077,0.730373,0.269627
2024-06-02 10:51:49.666983,Step[49],0.674076,0.713172,0.286828
2024-06-02 10:52:24.579982,Step[50],0.670200,0.712986,0.287014
2024-06-02 10:52:59.470551,Step[51],0.673356,0.708846,0.291154
2024-06-02 10:53:34.327243,Step[52],0.669661,0.716968,0.283032
2024-06-02 10:54:09.123067,Step[53],0.668842,0.717086,0.282914
2024-06-02 10:54:43.905116,Step[54],0.662167,0.706646,0.293354
2024-06-02 10:55:18.764574,Step[55],0.663014,0.709362,0.290638
2024-06-02 10:55:53.563245,Step[56],0.666837,0.711769,0.288231
2024-06-02 10:56:28.361610,Step[57],0.659906,0.709651,0.290349
2024-06-02 10:57:03.176567,Step[58],0.654445,0.708255,0.291745
2024-06-02 10:57:37.983836,Step[59],0.654911,0.696995,0.303005
2024-06-02 10:58:12.932990,Step[60],0.654032,0.702458,0.297542
2024-06-02 10:58:47.733432,Step[61],0.650901,0.701925,0.298075
2024-06-02 10:59:22.540716,Step[62],0.649997,0.696629,0.303371
2024-06-02 10:59:57.456766,Step[63],0.653751,0.703850,0.296150
2024-06-02 11:00:32.255930,Step[64],0.646060,0.706027,0.293973
2024-06-02 11:01:07.035799,Step[65],0.645027,0.694606,0.305394
2024-06-02 11:01:41.941284,Step[66],0.639963,0.692378,0.307622
2024-06-02 11:02:17.057975,Step[67],0.635650,0.691597,0.308403
2024-06-02 11:02:51.941653,Step[68],0.638348,0.696106,0.303894
2024-06-02 11:03:26.739020,Step[69],0.643934,0.714731,0.285269
2024-06-02 11:04:01.530070,Step[70],0.649523,0.697645,0.302355
2024-06-02 11:04:36.333333,Step[71],0.649450,0.702131,0.297869
2024-06-02 11:05:11.126701,Step[72],0.637943,0.687850,0.312150
2024-06-02 11:05:45.998291,Step[73],0.634259,0.691628,0.308372
2024-06-02 11:06:20.793926,Step[74],0.630224,0.705325,0.294675
2024-06-02 11:06:55.616711,Step[75],0.633830,0.708061,0.291939
2024-06-02 11:07:30.431762,Step[76],0.630300,0.698260,0.301740
2024-06-02 11:08:05.270043,Step[77],0.628621,0.686261,0.313739
2024-06-02 11:08:40.167163,Step[78],0.628306,0.687735,0.312265
2024-06-02 11:09:14.981053,Step[79],0.621257,0.682628,0.317372
2024-06-02 11:09:49.904564,Step[80],0.621932,0.682868,0.317132
2024-06-02 11:10:24.825298,Step[81],0.622833,0.674885,0.325115
2024-06-02 11:10:59.776684,Step[82],0.624263,0.690712,0.309288
2024-06-02 11:11:34.604015,Step[83],0.624117,0.683121,0.316879
2024-06-02 11:12:09.450970,Step[84],0.614054,0.677062,0.322938
2024-06-02 11:12:44.260993,Step[85],0.611083,0.674580,0.325420
2024-06-02 11:13:19.189335,Step[86],0.611231,0.672287,0.327713
2024-06-02 11:13:54.093924,Step[87],0.606160,0.680810,0.319190
2024-06-02 11:14:28.974384,Step[88],0.611085,0.668709,0.331291
2024-06-02 11:15:03.857644,Step[89],0.610814,0.692995,0.307005
2024-06-02 11:15:38.611859,Step[90],0.603093,0.673372,0.326628
2024-06-02 11:16:13.471294,Step[91],0.599142,0.667200,0.332800
2024-06-02 11:16:48.326364,Step[92],0.599226,0.681052,0.318948
2024-06-02 11:17:23.122139,Step[93],0.594909,0.661946,0.338054
2024-06-02 11:17:58.041416,Step[94],0.606443,0.685297,0.314703
2024-06-02 11:18:32.875242,Step[95],0.591861,0.656845,0.343155
2024-06-02 11:19:07.790708,Step[96],0.598556,0.658790,0.341210
2024-06-02 11:19:42.528638,Step[97],0.591830,0.653193,0.346807
2024-06-02 11:20:17.411180,Step[98],0.585547,0.650914,0.349086
2024-06-02 11:20:52.260335,Step[99],0.569294,0.646752,0.353248
2024-06-02 11:21:27.116379,Step[100],0.575530,0.634060,0.365940
2024-06-02 11:22:01.957172,Step[101],0.565217,0.637680,0.362320
2024-06-02 11:22:36.819221,Step[102],0.561218,0.624669,0.375331
2024-06-02 11:23:11.679057,Step[103],0.560233,0.608868,0.391132
2024-06-02 11:23:46.559874,Step[104],0.548807,0.616659,0.383341
2024-06-02 11:24:21.371050,Step[105],0.543840,0.648802,0.351198
2024-06-02 11:24:56.164214,Step[106],0.553085,0.598312,0.401688
2024-06-02 11:25:31.103917,Step[107],0.535626,0.586102,0.413898
2024-06-02 11:26:05.982050,Step[108],0.508917,0.573340,0.426660
2024-06-02 11:26:40.886565,Step[109],0.524510,0.574371,0.425629
2024-06-02 11:27:15.703720,Step[110],0.532394,0.609154,0.390846
2024-06-02 11:27:50.515087,Step[111],0.570326,0.570709,0.429291
2024-06-02 11:28:25.413014,Step[112],0.517059,0.556031,0.443969
2024-06-02 11:29:00.271332,Step[113],0.491452,0.539819,0.460181
2024-06-02 11:29:35.156081,Step[114],0.490695,0.591396,0.408604
2024-06-02 11:30:09.984631,Step[115],0.484938,0.609063,0.390937
2024-06-02 11:30:44.766037,Step[116],0.559720,0.572964,0.427036
2024-06-02 11:31:19.546397,Step[117],0.540330,0.528631,0.471369
2024-06-02 11:31:54.417661,Step[118],0.540553,0.521164,0.478836
2024-06-02 11:32:29.279754,Step[119],0.479589,0.502684,0.497316
2024-06-02 11:33:04.163372,Step[120],0.448750,0.504873,0.495127
2024-06-02 11:33:38.931412,Step[121],0.472380,0.521508,0.478492
2024-06-02 11:34:13.775741,Step[122],0.486452,0.469851,0.530149
2024-06-02 11:34:48.687486,Step[123],0.457830,0.481480,0.518520
2024-06-02 11:35:23.442496,Step[124],0.446609,0.488578,0.511422
2024-06-02 11:35:58.205119,Step[125],0.439874,0.458706,0.541294
2024-06-02 11:36:33.101874,Step[126],0.411567,0.465532,0.534468
2024-06-02 11:37:07.879267,Step[127],0.433715,0.554496,0.445504
2024-06-02 11:37:42.647015,Step[128],0.427397,0.469155,0.530845
2024-06-02 11:38:17.509905,Step[129],0.447038,0.455119,0.544881
2024-06-02 11:38:52.459077,Step[130],0.436284,0.449133,0.550867
2024-06-02 11:39:27.360607,Step[131],0.418186,0.454622,0.545378
2024-06-02 11:40:02.154523,Step[132],0.431568,0.482635,0.517365
2024-06-02 11:40:36.986994,Step[133],0.467573,0.470373,0.529627
2024-06-02 11:41:11.820137,Step[134],0.450266,0.488566,0.511434
2024-06-02 11:41:46.661224,Step[135],0.419882,0.466559,0.533441
2024-06-02 11:42:21.506888,Step[136],0.422068,0.440222,0.559778
2024-06-02 11:42:56.411695,Step[137],0.398404,0.420476,0.579524
2024-06-02 11:43:31.255535,Step[138],0.414461,0.442611,0.557389
2024-06-02 11:44:06.044386,Step[139],0.419491,0.440535,0.559465
2024-06-02 11:44:40.835397,Step[140],0.368193,0.416068,0.583932
2024-06-02 11:45:15.735346,Step[141],0.380548,0.412995,0.587005
2024-06-02 11:45:50.663577,Step[142],0.375011,0.418257,0.581743
2024-06-02 11:46:25.568292,Step[143],0.460030,0.563237,0.436763
2024-06-02 11:47:00.366436,Step[144],0.604419,0.477095,0.522905
2024-06-02 11:47:35.154513,Step[145],0.441755,0.428871,0.571129
2024-06-02 11:48:09.953930,Step[146],0.416058,0.437419,0.562581
2024-06-02 11:48:44.772947,Step[147],0.418129,0.411992,0.588008
2024-06-02 11:49:19.639327,Step[148],0.376209,0.405408,0.594592
2024-06-02 11:49:54.577919,Step[149],0.359327,0.393121,0.606879
2024-06-02 11:50:29.532682,Step[150],0.351422,0.387658,0.612342
2024-06-02 11:51:04.383470,Step[151],0.335354,0.385034,0.614966
2024-06-02 11:51:39.300663,Step[152],0.367006,0.398862,0.601138
2024-06-02 11:52:14.079759,Step[153],0.376340,0.437768,0.562232
2024-06-02 11:52:48.833625,Step[154],0.371325,0.404280,0.595720
2024-06-02 11:53:23.665656,Step[155],0.368993,0.380521,0.619479
2024-06-02 11:53:58.587092,Step[156],0.484655,0.561141,0.438859
2024-06-02 11:54:33.485774,Step[157],0.475123,0.438820,0.561180
2024-06-02 11:55:08.303010,Step[158],0.385422,0.413488,0.586512
2024-06-02 11:55:43.147132,Step[159],0.365803,0.398068,0.601932
2024-06-02 11:56:17.993915,Step[160],0.356919,0.399841,0.600159
2024-06-02 11:56:52.810970,Step[161],0.338204,0.385450,0.614550
2024-06-02 11:57:27.660310,Step[162],0.361306,0.387862,0.612138
2024-06-02 11:58:02.462863,Step[163],0.367437,0.407088,0.592912
2024-06-02 11:58:37.287090,Step[164],0.341497,0.369802,0.630198
2024-06-02 11:59:12.194947,Step[165],0.320647,0.364130,0.635870
2024-06-02 11:59:47.052424,Step[166],0.335282,0.410424,0.589576
2024-06-02 12:00:21.841165,Step[167],0.324538,0.393597,0.606403
2024-06-02 12:00:56.597765,Step[168],0.332578,0.378284,0.621716
2024-06-02 12:01:31.363277,Step[169],0.325413,0.380942,0.619058
2024-06-02 12:02:06.214355,Step[170],0.319741,0.374609,0.625391
2024-06-02 12:02:41.029098,Step[171],0.308705,0.360194,0.639806
2024-06-02 12:03:15.875481,Step[172],0.323917,0.375407,0.624593
2024-06-02 12:03:50.663216,Step[173],0.324908,0.383416,0.616584
2024-06-02 12:04:25.477305,Step[174],0.322808,0.384413,0.615587
2024-06-02 12:05:00.255686,Step[175],0.317698,0.377842,0.622158
2024-06-02 12:05:35.053167,Step[176],0.327639,0.378259,0.621741
2024-06-02 12:06:09.859499,Step[177],0.322158,0.382817,0.617183
2024-06-02 12:06:44.681207,Step[178],0.319310,0.385462,0.614538
2024-06-02 12:07:19.471177,Step[179],0.305149,0.357383,0.642617
2024-06-02 12:07:54.321140,Step[180],0.299147,0.372774,0.627226
2024-06-02 12:08:29.095054,Step[181],0.306003,0.363455,0.636545
2024-06-02 12:09:03.880091,Step[182],0.305436,0.377439,0.622561
2024-06-02 12:09:38.633969,Step[183],0.307452,0.379560,0.620440
2024-06-02 12:10:13.410425,Step[184],0.319147,0.380606,0.619394
2024-06-02 12:10:48.177037,Step[185],0.300532,0.360998,0.639002
2024-06-02 12:11:22.945890,Step[186],0.301225,0.362427,0.637573
2024-06-02 12:11:57.719793,Step[187],0.303307,0.355868,0.644132
2024-06-02 12:12:32.573607,Step[188],0.324389,0.371068,0.628932
2024-06-02 12:13:07.375059,Step[189],0.326496,0.353164,0.646836
2024-06-02 12:13:42.304950,Step[190],0.303716,0.362606,0.637394
2024-06-02 12:14:17.228704,Step[191],0.301873,0.360598,0.639402
2024-06-02 12:14:52.061800,Step[192],0.299022,0.351751,0.648249
2024-06-02 12:15:26.923965,Step[193],0.298342,0.353565,0.646435
2024-06-02 12:16:01.739755,Step[194],0.306754,0.392705,0.607295
