Time,Step,Train loss,Validation loss,Validation dice
2024-05-27 09:40:05.971207,Step[1],0.930451,0.828304,0.171696
2024-05-27 09:41:00.979161,Step[2],0.826323,0.781468,0.218532
2024-05-27 09:41:53.612914,Step[3],0.788109,0.757606,0.242394
2024-05-27 09:42:46.293752,Step[4],0.772580,0.744293,0.255707
2024-05-27 09:43:38.988951,Step[5],0.764085,0.743182,0.256818
2024-05-27 09:44:31.535148,Step[6],0.755139,0.735524,0.264476
2024-05-27 09:45:24.306151,Step[7],0.745341,0.732391,0.267609
2024-05-27 09:46:17.058135,Step[8],0.745651,0.725010,0.274990
2024-05-27 09:47:09.600283,Step[9],0.740979,0.725893,0.274107
2024-05-27 09:48:01.933313,Step[10],0.737466,0.723222,0.276778
2024-05-27 09:48:54.262535,Step[11],0.730385,0.717492,0.282508
2024-05-27 09:49:46.649114,Step[12],0.724222,0.707595,0.292405
2024-05-27 09:50:38.949927,Step[13],0.722899,0.716734,0.283266
2024-05-27 09:51:31.178343,Step[14],0.718203,0.711953,0.288047
2024-05-27 09:52:23.518109,Step[15],0.717551,0.711201,0.288799
2024-05-27 09:53:15.829326,Step[16],0.712032,0.708457,0.291543
2024-05-27 09:54:08.123503,Step[17],0.718793,0.710403,0.289597
2024-05-27 09:55:00.223730,Step[18],0.711696,0.697283,0.302717
2024-05-27 09:55:52.657633,Step[19],0.712365,0.700305,0.299695
2024-05-27 09:56:44.969661,Step[20],0.706722,0.701741,0.298259
2024-05-27 09:57:37.208328,Step[21],0.706452,0.700205,0.299795
2024-05-27 09:58:29.466067,Step[22],0.704997,0.716561,0.283439
2024-05-27 09:59:21.600285,Step[23],0.699935,0.694386,0.305614
2024-05-27 10:00:14.023950,Step[24],0.698947,0.695789,0.304211
2024-05-27 10:01:06.208234,Step[25],0.688876,0.686723,0.313277
2024-05-27 10:01:58.639818,Step[26],0.694118,0.687299,0.312701
2024-05-27 10:02:50.785022,Step[27],0.690348,0.683921,0.316079
2024-05-27 10:03:43.231461,Step[28],0.692069,0.684875,0.315125
2024-05-27 10:04:35.629938,Step[29],0.682669,0.688091,0.311909
2024-05-27 10:05:28.000326,Step[30],0.686244,0.681295,0.318705
2024-05-27 10:06:20.351718,Step[31],0.674823,0.681356,0.318644
2024-05-27 10:07:12.453468,Step[32],0.685322,0.707543,0.292457
2024-05-27 10:08:04.783150,Step[33],0.683694,0.669066,0.330934
2024-05-27 10:08:57.313456,Step[34],0.676314,0.668016,0.331984
2024-05-27 10:09:49.705787,Step[35],0.677895,0.656597,0.343403
2024-05-27 10:10:42.028712,Step[36],0.668088,0.654171,0.345829
2024-05-27 10:11:34.373475,Step[37],0.662192,0.670625,0.329375
2024-05-27 10:12:26.682495,Step[38],0.662043,0.665976,0.334024
2024-05-27 10:13:18.890900,Step[39],0.664143,0.672028,0.327972
2024-05-27 10:14:11.141724,Step[40],0.649945,0.626711,0.373289
2024-05-27 10:15:03.354583,Step[41],0.651930,0.663892,0.336108
2024-05-27 10:15:55.784221,Step[42],0.635891,0.620535,0.379465
2024-05-27 10:16:48.220226,Step[43],0.651382,0.617372,0.382628
2024-05-27 10:17:40.571935,Step[44],0.608551,0.630637,0.369363
2024-05-27 10:18:32.752693,Step[45],0.597891,0.585285,0.414715
2024-05-27 10:19:25.010180,Step[46],0.576074,0.581683,0.418317
2024-05-27 10:20:17.474450,Step[47],0.557619,0.514542,0.485458
2024-05-27 10:21:09.988040,Step[48],0.544971,0.581609,0.418391
2024-05-27 10:22:02.259879,Step[49],0.529697,0.486298,0.513702
2024-05-27 10:22:54.575797,Step[50],0.670648,0.665824,0.334176
2024-05-27 10:23:46.814192,Step[51],0.581916,0.504100,0.495900
2024-05-27 10:24:39.215790,Step[52],0.531921,0.462728,0.537272
2024-05-27 10:25:31.705601,Step[53],0.513278,0.474463,0.525537
2024-05-27 10:26:23.925640,Step[54],0.539337,0.630416,0.369584
2024-05-27 10:27:16.045807,Step[55],0.606283,0.458916,0.541084
2024-05-27 10:28:08.518193,Step[56],0.514394,0.483526,0.516474
2024-05-27 10:29:00.844064,Step[57],0.495943,0.414119,0.585881
2024-05-27 10:29:53.305696,Step[58],0.498918,0.437637,0.562363
2024-05-27 10:30:45.491363,Step[59],0.485927,0.509175,0.490825
2024-05-27 10:31:37.775245,Step[60],0.519551,0.384770,0.615230
2024-05-27 10:32:30.316908,Step[61],0.474117,0.397761,0.602239
2024-05-27 10:33:22.532925,Step[62],0.476440,0.422114,0.577886
2024-05-27 10:34:14.775115,Step[63],0.464425,0.401734,0.598266
2024-05-27 10:35:06.890598,Step[64],0.444861,0.420898,0.579102
2024-05-27 10:35:59.323021,Step[65],0.472767,0.427614,0.572386
2024-05-27 10:36:51.598422,Step[66],0.456094,0.381305,0.618695
2024-05-27 10:37:43.993850,Step[67],0.440566,0.384512,0.615488
2024-05-27 10:38:36.232134,Step[68],0.444153,0.388087,0.611913
2024-05-27 10:39:28.488561,Step[69],0.443741,0.417620,0.582380
2024-05-27 10:40:20.780063,Step[70],0.442635,0.410821,0.589179
2024-05-27 10:41:12.869614,Step[71],0.499794,0.392077,0.607923
2024-05-27 10:42:05.186584,Step[72],0.476506,0.433370,0.566630
2024-05-27 10:42:57.282314,Step[73],0.461186,0.375863,0.624137
2024-05-27 10:43:49.753850,Step[74],0.438680,0.393528,0.606472
2024-05-27 10:44:42.103743,Step[75],0.447483,0.393080,0.606920
2024-05-27 10:45:34.310677,Step[76],0.438874,0.386591,0.613409
2024-05-27 10:46:26.546957,Step[77],0.459454,0.402627,0.597373
2024-05-27 10:47:18.712099,Step[78],0.549258,0.574414,0.425586
2024-05-27 10:48:11.000895,Step[79],0.625615,0.573402,0.426598
2024-05-27 10:49:03.213465,Step[80],0.625464,0.572683,0.427317
2024-05-27 10:49:55.418766,Step[81],0.624045,0.572029,0.427971
2024-05-27 10:50:47.519949,Step[82],0.629271,0.571436,0.428564
2024-05-27 10:51:39.756206,Step[83],0.621792,0.557524,0.442476
2024-05-27 10:52:32.017263,Step[84],0.586356,0.452393,0.547607
2024-05-27 10:53:24.230478,Step[85],0.478305,0.358775,0.641225
2024-05-27 10:54:16.616826,Step[86],0.439147,0.416388,0.583612
2024-05-27 10:55:08.733796,Step[87],0.443759,0.372763,0.627237
2024-05-27 10:56:01.122881,Step[88],0.430761,0.403439,0.596561
2024-05-27 10:56:53.334198,Step[89],0.437443,0.388340,0.611660
2024-05-27 10:57:45.638821,Step[90],0.454305,0.401510,0.598490
2024-05-27 10:58:37.803917,Step[91],0.451927,0.386085,0.613915
2024-05-27 10:59:30.126932,Step[92],0.444946,0.394149,0.605851
2024-05-27 11:00:22.461959,Step[93],0.447771,0.388890,0.611110
2024-05-27 11:01:14.837340,Step[94],0.445130,0.383866,0.616134
2024-05-27 11:02:07.055127,Step[95],0.421404,0.365981,0.634019
2024-05-27 11:02:59.305413,Step[96],0.422091,0.364348,0.635652
2024-05-27 11:03:51.646365,Step[97],0.437673,0.378232,0.621768
2024-05-27 11:04:44.020405,Step[98],0.431468,0.412437,0.587563
2024-05-27 11:05:36.371045,Step[99],0.448295,0.402173,0.597827
2024-05-27 11:06:28.559975,Step[100],0.437145,0.396427,0.603573
2024-05-27 11:07:20.699011,Step[101],0.463296,0.351591,0.648409
2024-05-27 11:08:13.087003,Step[102],0.455084,0.363816,0.636184
2024-05-27 11:09:05.284266,Step[103],0.417238,0.381388,0.618612
2024-05-27 11:09:57.537971,Step[104],0.412961,0.376446,0.623554
