Time,Step,Train loss,Validation loss,Validation dice
2024-05-02 23:17:46.492375,Step[1],0.867139,0.798548,0.201452
2024-05-02 23:18:48.589434,Step[2],0.821922,0.777966,0.222034
2024-05-02 23:19:50.881329,Step[3],0.792437,0.764564,0.235436
2024-05-02 23:20:52.980283,Step[4],0.768988,0.755669,0.244331
2024-05-02 23:21:54.957924,Step[5],0.759581,0.733576,0.266424
2024-05-02 23:22:56.942220,Step[6],0.729033,0.636432,0.363568
2024-05-02 23:23:58.980875,Step[7],0.615952,0.608881,0.391119
2024-05-02 23:25:00.901042,Step[8],0.611358,0.640529,0.359471
2024-05-02 23:26:02.687627,Step[9],0.633284,0.561378,0.438622
2024-05-02 23:27:04.253086,Step[10],0.604487,0.585204,0.414796
2024-05-02 23:28:06.186939,Step[11],0.570519,0.560609,0.439391
2024-05-02 23:29:07.880982,Step[12],0.579398,0.617840,0.382160
2024-05-02 23:30:09.804059,Step[13],0.595865,0.574036,0.425964
2024-05-02 23:31:11.199926,Step[14],0.614717,0.573414,0.426586
2024-05-02 23:32:12.843276,Step[15],0.614336,0.573083,0.426917
2024-05-02 23:33:14.349554,Step[16],0.614083,0.572861,0.427139
2024-05-02 23:34:15.907826,Step[17],0.613903,0.572685,0.427315
2024-05-02 23:35:17.462919,Step[18],0.613762,0.572542,0.427458
2024-05-02 23:36:18.937842,Step[19],0.613646,0.572429,0.427571
2024-05-02 23:37:20.460141,Step[20],0.613548,0.572332,0.427668
2024-05-02 23:38:22.026763,Step[21],0.613473,0.572253,0.427747
2024-05-02 23:39:23.615121,Step[22],0.613405,0.572183,0.427817
2024-05-02 23:40:25.260276,Step[23],0.613345,0.572123,0.427877
2024-05-02 23:41:27.040445,Step[24],0.613379,0.572068,0.427932
2024-05-02 23:42:28.538702,Step[25],0.613245,0.572020,0.427980
2024-05-02 23:43:30.251651,Step[26],0.613206,0.571977,0.428023
2024-05-02 23:44:32.001824,Step[27],0.613169,0.571939,0.428061
2024-05-02 23:45:33.473480,Step[28],0.613137,0.571908,0.428092
2024-05-02 23:46:35.007175,Step[29],0.613110,0.571878,0.428122
2024-05-02 23:47:36.714974,Step[30],0.613085,0.571850,0.428150
2024-05-02 23:48:38.160369,Step[31],0.613058,0.571823,0.428177
2024-05-02 23:49:39.766740,Step[32],0.613035,0.571799,0.428201
2024-05-02 23:50:41.436757,Step[33],0.613016,0.571778,0.428222
2024-05-02 23:51:43.116760,Step[34],0.612996,0.571757,0.428243
2024-05-02 23:52:44.699075,Step[35],0.612977,0.571737,0.428263
2024-05-02 23:53:46.388792,Step[36],0.612961,0.571719,0.428281
2024-05-02 23:54:47.841077,Step[37],0.612945,0.571703,0.428297
2024-05-02 23:55:49.393789,Step[38],0.612930,0.571686,0.428314
2024-05-02 23:56:50.994861,Step[39],0.612916,0.571670,0.428330
2024-05-02 23:57:52.645638,Step[40],0.612902,0.571656,0.428344
2024-05-02 23:58:54.146353,Step[41],0.612890,0.571644,0.428356
2024-05-02 23:59:55.740365,Step[42],0.612878,0.571630,0.428370
2024-05-03 00:00:57.067368,Step[43],0.612867,0.571618,0.428382
2024-05-03 00:01:58.618047,Step[44],0.612856,0.571607,0.428393
2024-05-03 00:03:00.036558,Step[45],0.612846,0.571596,0.428404
2024-05-03 00:04:01.675455,Step[46],0.612837,0.571586,0.428414
2024-05-03 00:05:03.034485,Step[47],0.612828,0.571576,0.428424
2024-05-03 00:06:04.571058,Step[48],0.612819,0.571566,0.428434
2024-05-03 00:07:06.227938,Step[49],0.612811,0.571558,0.428442
2024-05-03 00:08:07.700774,Step[50],0.612803,0.571549,0.428451
2024-05-03 00:09:09.334234,Step[51],0.612795,0.571540,0.428460
2024-05-03 00:10:10.822939,Step[52],0.612788,0.571533,0.428467
2024-05-03 00:11:12.219290,Step[53],0.612781,0.571526,0.428474
2024-05-03 00:12:13.908380,Step[54],0.612775,0.571518,0.428482
2024-05-03 00:13:15.405111,Step[55],0.612768,0.571512,0.428488
2024-05-03 00:14:17.091968,Step[56],0.612762,0.571505,0.428495
2024-05-03 00:15:18.514375,Step[57],0.612757,0.571499,0.428501
2024-05-03 00:16:20.197066,Step[58],0.612751,0.571493,0.428507
2024-05-03 00:17:21.654170,Step[59],0.612746,0.571487,0.428513
2024-05-03 00:18:23.300635,Step[60],0.612741,0.571482,0.428518
2024-05-03 00:19:24.848510,Step[61],0.612736,0.571477,0.428523
2024-05-03 00:20:26.449723,Step[62],0.612731,0.571472,0.428528
2024-05-03 00:21:27.921168,Step[63],0.612727,0.571467,0.428533
2024-05-03 00:22:29.366650,Step[64],0.612723,0.571462,0.428538
2024-05-03 00:23:31.034014,Step[65],0.612718,0.571458,0.428542
2024-05-03 00:24:32.487354,Step[66],0.612715,0.571454,0.428546
2024-05-03 00:25:33.906357,Step[67],0.612711,0.571449,0.428551
2024-05-03 00:26:35.405176,Step[68],0.612707,0.571445,0.428555
2024-05-03 00:27:36.962882,Step[69],0.612704,0.571442,0.428558
2024-05-03 00:28:38.459274,Step[70],0.612700,0.571438,0.428562
2024-05-03 00:29:40.006675,Step[71],0.612697,0.571434,0.428566
2024-05-03 00:30:41.554281,Step[72],0.612694,0.571431,0.428569
2024-05-03 00:31:43.237791,Step[73],0.612691,0.571428,0.428572
