Time,Step,Train loss,Validation loss,Validation dice
2024-07-21 07:55:05.572328,Step[1],0.942137,0.881732,0.118268
2024-07-21 07:55:42.515401,Step[2],0.892085,0.794135,0.205865
2024-07-21 07:56:19.419261,Step[3],0.833208,0.729509,0.270491
2024-07-21 07:56:56.223987,Step[4],0.793885,0.698310,0.301690
2024-07-21 07:57:33.061935,Step[5],0.782104,0.695579,0.304421
2024-07-21 07:58:09.926659,Step[6],0.769040,0.682347,0.317653
2024-07-21 07:58:46.719362,Step[7],0.756379,0.675194,0.324806
2024-07-21 07:59:23.561727,Step[8],0.757723,0.686664,0.313336
2024-07-21 08:00:00.351581,Step[9],0.751357,0.666566,0.333434
2024-07-21 08:00:37.154012,Step[10],0.749232,0.662326,0.337674
2024-07-21 08:01:14.004860,Step[11],0.739146,0.646609,0.353391
2024-07-21 08:01:50.906655,Step[12],0.733349,0.653373,0.346627
2024-07-21 08:02:27.598487,Step[13],0.726663,0.657554,0.342446
2024-07-21 08:03:04.316531,Step[14],0.723689,0.650246,0.349754
2024-07-21 08:03:41.133992,Step[15],0.725601,0.649367,0.350633
2024-07-21 08:04:17.886064,Step[16],0.726102,0.631558,0.368442
2024-07-21 08:04:54.715042,Step[17],0.707292,0.637673,0.362327
2024-07-21 08:05:31.456781,Step[18],0.706097,0.637987,0.362013
2024-07-21 08:06:08.185352,Step[19],0.698220,0.632294,0.367706
2024-07-21 08:06:44.882420,Step[20],0.704911,0.637129,0.362871
2024-07-21 08:07:21.611907,Step[21],0.699272,0.624221,0.375779
2024-07-21 08:07:58.609725,Step[22],0.692980,0.633376,0.366624
2024-07-21 08:08:35.319570,Step[23],0.695236,0.621010,0.378990
2024-07-21 08:09:12.120879,Step[24],0.697145,0.639980,0.360020
2024-07-21 08:09:49.011021,Step[25],0.695490,0.622912,0.377088
2024-07-21 08:10:25.701142,Step[26],0.686322,0.624391,0.375609
2024-07-21 08:11:02.387480,Step[27],0.685824,0.620301,0.379699
2024-07-21 08:11:39.221865,Step[28],0.683907,0.625516,0.374484
2024-07-21 08:12:15.988556,Step[29],0.682045,0.630102,0.369898
2024-07-21 08:12:52.685956,Step[30],0.685118,0.624526,0.375474
2024-07-21 08:13:29.482796,Step[31],0.678650,0.621294,0.378706
