Time,Step,Train loss,Validation loss,Validation dice
2024-04-27 17:16:52.542039,Step[1],0.935333,0.846632,0.153368
2024-04-27 17:17:29.638404,Step[2],0.890919,0.834859,0.165141
2024-04-27 17:18:04.041175,Step[3],0.869528,0.817734,0.182266
2024-04-27 17:18:34.689046,Step[4],0.842430,0.833420,0.166580
2024-04-27 17:19:05.131928,Step[5],0.850938,0.830802,0.169198
2024-04-27 17:19:35.632542,Step[6],0.846648,0.814402,0.185598
2024-04-27 17:20:06.294108,Step[7],0.819873,0.793446,0.206554
2024-04-27 17:20:37.008832,Step[8],0.815376,0.799552,0.200448
2024-04-27 17:21:07.514677,Step[9],0.806998,0.781917,0.218083
2024-04-27 17:21:38.164420,Step[10],0.796093,0.743338,0.256662
2024-04-27 17:22:08.720748,Step[11],0.790506,0.708133,0.291867
2024-04-27 17:22:39.356449,Step[12],0.808160,0.774416,0.225584
2024-04-27 17:23:09.740759,Step[13],0.792773,0.755527,0.244473
2024-04-27 17:23:40.154882,Step[14],0.703014,0.696279,0.303721
2024-04-27 17:24:10.758915,Step[15],0.678692,0.626313,0.373687
2024-04-27 17:24:43.817429,Step[16],0.654754,0.653416,0.346584
2024-04-27 17:25:14.212944,Step[17],0.624853,0.659951,0.340049
2024-04-27 17:25:44.613066,Step[18],0.616293,0.658156,0.341844
2024-04-27 17:26:14.973075,Step[19],0.613210,0.662473,0.337527
2024-04-27 17:26:45.432085,Step[20],0.615113,0.638363,0.361637
2024-04-27 17:27:15.798380,Step[21],0.591835,0.661488,0.338512
2024-04-27 17:27:46.187680,Step[22],0.584836,0.650221,0.349779
2024-04-27 17:28:16.547938,Step[23],0.576322,0.653676,0.346324
2024-04-27 17:28:46.968484,Step[24],0.551856,0.648563,0.351437
2024-04-27 17:29:17.324460,Step[25],0.556668,0.667840,0.332160
2024-04-27 17:29:47.699092,Step[26],0.583748,0.653295,0.346705
2024-04-27 17:30:18.073754,Step[27],0.574265,0.665481,0.334519
2024-04-27 17:30:48.420284,Step[28],0.558318,0.676285,0.323715
2024-04-27 17:31:18.764953,Step[29],0.588124,0.661452,0.338548
2024-04-27 17:31:49.174361,Step[30],0.615876,0.686872,0.313128
2024-04-27 17:32:19.578886,Step[31],0.623533,0.636808,0.363192
2024-04-27 17:32:49.974183,Step[32],0.574959,0.633286,0.366714
2024-04-27 17:33:20.377811,Step[33],0.563777,0.634061,0.365939
2024-04-27 17:33:50.766393,Step[34],0.540745,0.657112,0.342888
2024-04-27 17:34:21.050470,Step[35],0.548225,0.649452,0.350548
2024-04-27 17:34:51.465690,Step[36],0.552182,0.646381,0.353619
2024-04-27 17:35:21.793077,Step[37],0.544728,0.643138,0.356862
2024-04-27 17:35:52.150355,Step[38],0.535192,0.643980,0.356020
2024-04-27 17:36:22.500980,Step[39],0.529028,0.682821,0.317179
2024-04-27 17:36:52.919107,Step[40],0.557041,0.664360,0.335640
2024-04-27 17:37:23.276701,Step[41],0.547269,0.679177,0.320823
2024-04-27 17:37:53.681502,Step[42],0.540320,0.648285,0.351715
2024-04-27 17:38:24.009742,Step[43],0.550306,0.644114,0.355886
2024-04-27 17:38:54.443535,Step[44],0.542928,0.664991,0.335009
2024-04-27 17:39:24.851979,Step[45],0.563332,0.695298,0.304702
2024-04-27 17:39:55.255246,Step[46],0.578979,0.684827,0.315173
2024-04-27 17:40:25.571409,Step[47],0.583461,0.684827,0.315173
2024-04-27 17:40:55.930350,Step[48],0.584232,0.684827,0.315173
2024-04-27 17:41:26.289903,Step[49],0.584232,0.684827,0.315173
2024-04-27 17:41:56.646277,Step[50],0.584232,0.684827,0.315173
2024-04-27 17:42:26.972266,Step[51],0.584232,0.684827,0.315173
2024-04-27 17:42:57.316371,Step[52],0.584232,0.684827,0.315173
2024-04-27 17:43:27.698595,Step[53],0.584454,0.684827,0.315173
2024-04-27 17:43:58.096533,Step[54],0.584232,0.684827,0.315173
2024-04-27 17:44:28.429159,Step[55],0.584232,0.684827,0.315173
2024-04-27 17:44:58.818821,Step[56],0.584232,0.684827,0.315173
2024-04-27 17:45:29.229708,Step[57],0.584233,0.684827,0.315173
2024-04-27 17:45:59.641066,Step[58],0.584233,0.684827,0.315173
2024-04-27 17:46:29.944970,Step[59],0.584234,0.684827,0.315173
2024-04-27 17:47:00.317977,Step[60],0.584233,0.684827,0.315173
2024-04-27 17:47:30.687393,Step[61],0.584232,0.684827,0.315173
2024-04-27 17:48:01.058232,Step[62],0.584232,0.684827,0.315173
2024-04-27 17:48:31.410386,Step[63],0.584232,0.684827,0.315173
2024-04-27 17:49:01.765532,Step[64],0.584232,0.684827,0.315173
2024-04-27 17:49:32.129060,Step[65],0.584232,0.684827,0.315173
2024-04-27 17:50:02.453293,Step[66],0.584232,0.684827,0.315173
2024-04-27 17:50:32.831515,Step[67],0.584232,0.684827,0.315173
2024-04-27 17:51:03.234091,Step[68],0.584232,0.684827,0.315173
2024-04-27 17:51:33.572568,Step[69],0.584232,0.684827,0.315173
2024-04-27 17:52:03.862325,Step[70],0.584232,0.684827,0.315173
2024-04-27 17:52:34.278827,Step[71],0.584232,0.684827,0.315173
2024-04-27 17:53:04.633136,Step[72],0.584232,0.684827,0.315173
2024-04-27 17:53:35.015769,Step[73],0.584232,0.684827,0.315173
2024-04-27 17:54:05.374022,Step[74],0.584232,0.684827,0.315173
2024-04-27 17:54:35.822132,Step[75],0.584232,0.684827,0.315173
2024-04-27 17:55:06.216259,Step[76],0.584232,0.684827,0.315173
2024-04-27 17:55:36.543260,Step[77],0.584232,0.684827,0.315173
2024-04-27 17:56:06.903631,Step[78],0.584232,0.684827,0.315173
2024-04-27 17:56:37.247037,Step[79],0.584232,0.684827,0.315173
2024-04-27 17:57:07.648080,Step[80],0.584232,0.684827,0.315173
2024-04-27 17:57:37.991805,Step[81],0.584232,0.684827,0.315173
2024-04-27 17:58:08.318846,Step[82],0.584232,0.684827,0.315173
2024-04-27 17:58:38.740101,Step[83],0.584232,0.684827,0.315173
2024-04-27 17:59:09.091034,Step[84],0.584232,0.684827,0.315173
2024-04-27 17:59:39.479850,Step[85],0.584232,0.684827,0.315173
2024-04-27 18:00:09.771665,Step[86],0.584232,0.684827,0.315173
2024-04-27 18:00:40.138880,Step[87],0.584232,0.684827,0.315173
2024-04-27 18:01:10.555742,Step[88],0.584232,0.684827,0.315173
2024-04-27 18:01:40.945057,Step[89],0.584232,0.684827,0.315173
2024-04-27 18:02:11.222768,Step[90],0.584232,0.684827,0.315173
2024-04-27 18:02:41.556573,Step[91],0.584232,0.684827,0.315173
2024-04-27 18:03:11.900457,Step[92],0.584232,0.684827,0.315173
2024-04-27 18:03:42.244730,Step[93],0.584232,0.684827,0.315173
2024-04-27 18:04:12.504073,Step[94],0.584232,0.684827,0.315173
2024-04-27 18:04:42.792202,Step[95],0.584232,0.684827,0.315173
2024-04-27 18:05:13.110831,Step[96],0.584232,0.684827,0.315173
2024-04-27 18:05:43.503848,Step[97],0.584232,0.684827,0.315173
2024-04-27 18:06:13.808388,Step[98],0.584232,0.684827,0.315173
2024-04-27 18:06:44.099572,Step[99],0.584232,0.684827,0.315173
2024-04-27 18:07:14.412808,Step[100],0.584232,0.684827,0.315173
2024-04-27 18:07:44.743038,Step[101],0.584232,0.684827,0.315173
2024-04-27 18:08:14.991368,Step[102],0.584232,0.684827,0.315173
2024-04-27 18:08:45.406358,Step[103],0.584232,0.684827,0.315173
2024-04-27 18:09:15.763470,Step[104],0.584232,0.684827,0.315173
2024-04-27 18:09:46.082431,Step[105],0.584232,0.684827,0.315173
2024-04-27 18:10:16.373999,Step[106],0.584232,0.684827,0.315173
2024-04-27 18:10:46.729021,Step[107],0.584232,0.684827,0.315173
2024-04-27 18:11:17.090913,Step[108],0.584232,0.684827,0.315173
2024-04-27 18:11:47.462956,Step[109],0.584232,0.684827,0.315173
2024-04-27 18:12:17.741569,Step[110],0.584232,0.684827,0.315173
2024-04-27 18:12:48.110935,Step[111],0.584232,0.684827,0.315173
2024-04-27 18:13:18.436974,Step[112],0.584232,0.684827,0.315173
2024-04-27 18:13:48.719757,Step[113],0.584232,0.684827,0.315173
2024-04-27 18:14:19.017097,Step[114],0.584232,0.684827,0.315173
2024-04-27 18:14:49.330655,Step[115],0.584232,0.684827,0.315173
2024-04-27 18:15:19.695649,Step[116],0.584232,0.684827,0.315173
2024-04-27 18:15:49.985681,Step[117],0.584232,0.684827,0.315173
2024-04-27 18:16:20.244890,Step[118],0.584232,0.684827,0.315173
2024-04-27 18:16:50.589660,Step[119],0.584232,0.684827,0.315173
2024-04-27 18:17:20.987182,Step[120],0.584232,0.684827,0.315173
2024-04-27 18:17:51.373861,Step[121],0.584232,0.684827,0.315173
2024-04-27 18:18:21.689391,Step[122],0.584232,0.684827,0.315173
2024-04-27 18:18:52.118197,Step[123],0.584232,0.684827,0.315173
2024-04-27 18:19:22.465582,Step[124],0.584232,0.684827,0.315173
2024-04-27 18:19:52.827990,Step[125],0.584232,0.684827,0.315173
2024-04-27 18:20:23.210583,Step[126],0.584232,0.684827,0.315173
