Time,Step,Train loss,Validation loss,Validation dice
2024-04-23 11:41:08.197361,Step[1],0.946658,0.927678,0.072322
2024-04-23 11:41:15.964758,Step[2],0.932548,0.919339,0.080661
2024-04-23 11:41:23.716432,Step[3],0.917970,0.905113,0.094887
2024-04-23 11:41:31.459889,Step[4],0.891237,0.933473,0.066527
2024-04-23 11:41:39.183338,Step[5],0.869254,0.858106,0.141894
2024-04-23 11:41:46.903919,Step[6],0.840665,0.902889,0.097111
2024-04-23 11:41:54.638836,Step[7],0.821051,0.807224,0.192776
2024-04-23 11:42:02.357498,Step[8],0.788051,0.794721,0.205279
2024-04-23 11:42:10.092060,Step[9],0.787632,0.785048,0.214952
2024-04-23 11:42:17.825196,Step[10],0.771257,0.793386,0.206614
2024-04-23 11:42:25.545262,Step[11],0.750615,0.775509,0.224491
2024-04-23 11:42:33.263998,Step[12],0.743865,0.795848,0.204152
2024-04-23 11:42:40.982828,Step[13],0.742609,0.784469,0.215531
2024-04-23 11:42:48.716683,Step[14],0.724984,0.769289,0.230711
2024-04-23 11:42:56.435573,Step[15],0.719005,0.757903,0.242097
2024-04-23 11:43:04.154133,Step[16],0.708220,0.735724,0.264276
2024-04-23 11:43:11.872954,Step[17],0.691546,0.711651,0.288349
2024-04-23 11:43:19.590828,Step[18],0.671773,0.689283,0.310717
2024-04-23 11:43:27.309114,Step[19],0.638617,0.596504,0.403496
2024-04-23 11:43:35.014127,Step[20],0.628990,0.572044,0.427956
2024-04-23 11:43:42.732697,Step[21],0.544230,0.567618,0.432382
2024-04-23 11:43:50.451511,Step[22],0.479990,0.497429,0.502571
2024-04-23 11:43:58.153152,Step[23],0.493700,0.574818,0.425182
2024-04-23 11:44:05.866874,Step[24],0.528004,0.492902,0.507098
2024-04-23 11:44:13.591399,Step[25],0.480450,0.474448,0.525552
2024-04-23 11:44:21.305310,Step[26],0.503432,0.529076,0.470924
2024-04-23 11:44:29.037286,Step[27],0.531637,0.583925,0.416075
2024-04-23 11:44:36.763787,Step[28],0.542782,0.458728,0.541272
2024-04-23 11:44:44.465860,Step[29],0.520342,0.438144,0.561856
2024-04-23 11:44:52.183231,Step[30],0.474685,0.468805,0.531195
2024-04-23 11:44:59.888860,Step[31],0.463242,0.453217,0.546783
2024-04-23 11:45:07.589917,Step[32],0.513637,0.446848,0.553152
2024-04-23 11:45:15.326566,Step[33],0.487709,0.445496,0.554504
2024-04-23 11:45:23.034028,Step[34],0.460843,0.441805,0.558195
2024-04-23 11:45:30.733811,Step[35],0.479579,0.483959,0.516041
2024-04-23 11:45:38.451246,Step[36],0.497946,0.464608,0.535392
2024-04-23 11:45:46.169912,Step[37],0.513273,0.545619,0.454381
2024-04-23 11:45:53.873063,Step[38],0.503909,0.461815,0.538185
2024-04-23 11:46:01.576517,Step[39],0.493254,0.450369,0.549631
2024-04-23 11:46:09.294947,Step[40],0.448215,0.473834,0.526166
2024-04-23 11:46:16.997624,Step[41],0.453404,0.430575,0.569425
2024-04-23 11:46:24.701478,Step[42],0.451367,0.431524,0.568476
2024-04-23 11:46:32.420109,Step[43],0.464449,0.443516,0.556484
2024-04-23 11:46:40.116632,Step[44],0.511308,0.450471,0.549529
2024-04-23 11:46:47.835182,Step[45],0.479663,0.483020,0.516980
2024-04-23 11:46:55.544911,Step[46],0.463355,0.510910,0.489090
2024-04-23 11:47:03.247539,Step[47],0.453681,0.512282,0.487718
2024-04-23 11:47:10.951587,Step[48],0.465487,0.527963,0.472037
2024-04-23 11:47:18.670345,Step[49],0.462085,0.528610,0.471390
2024-04-23 11:47:26.373127,Step[50],0.481484,0.582934,0.417066
2024-04-23 11:47:34.076349,Step[51],0.477266,0.536086,0.463914
2024-04-23 11:47:41.778763,Step[52],0.437553,0.525372,0.474628
2024-04-23 11:47:49.496520,Step[53],0.460143,0.472829,0.527171
2024-04-23 11:47:57.201212,Step[54],0.481911,0.446218,0.553782
2024-04-23 11:48:04.904368,Step[55],0.466838,0.422250,0.577750
2024-04-23 11:48:12.607422,Step[56],0.465684,0.519149,0.480851
2024-04-23 11:48:20.326626,Step[57],0.468346,0.434399,0.565601
2024-04-23 11:48:28.029059,Step[58],0.445506,0.415383,0.584617
2024-04-23 11:48:35.732549,Step[59],0.454624,0.427951,0.572049
2024-04-23 11:48:43.436705,Step[60],0.429012,0.406860,0.593140
2024-04-23 11:48:51.154028,Step[61],0.460712,0.443606,0.556394
2024-04-23 11:48:58.857676,Step[62],0.490804,0.430949,0.569051
2024-04-23 11:49:06.576429,Step[63],0.472454,0.426791,0.573209
2024-04-23 11:49:14.278943,Step[64],0.459593,0.442153,0.557847
2024-04-23 11:49:21.994041,Step[65],0.444785,0.476771,0.523229
2024-04-23 11:49:29.701366,Step[66],0.433192,0.429967,0.570033
2024-04-23 11:49:37.404374,Step[67],0.431732,0.439578,0.560422
2024-04-23 11:49:45.107667,Step[68],0.444703,0.447034,0.552966
2024-04-23 11:49:52.824088,Step[69],0.460699,0.434019,0.565981
2024-04-23 11:50:00.528064,Step[70],0.481412,0.447063,0.552937
2024-04-23 11:50:08.246869,Step[71],0.443393,0.414274,0.585726
2024-04-23 11:50:15.951592,Step[72],0.454599,0.417367,0.582633
2024-04-23 11:50:23.652949,Step[73],0.438475,0.436717,0.563283
2024-04-23 11:50:31.357625,Step[74],0.462526,0.535121,0.464879
2024-04-23 11:50:39.076311,Step[75],0.442299,0.441162,0.558838
2024-04-23 11:50:46.773158,Step[76],0.448023,0.449415,0.550585
2024-04-23 11:50:54.498266,Step[77],0.458943,0.467730,0.532270
2024-04-23 11:51:02.201196,Step[78],0.432014,0.432625,0.567375
2024-04-23 11:51:09.903019,Step[79],0.443714,0.446229,0.553771
2024-04-23 11:51:17.607608,Step[80],0.451581,0.476150,0.523850
2024-04-23 11:51:25.326411,Step[81],0.444531,0.531194,0.468806
2024-04-23 11:51:33.029518,Step[82],0.443974,0.518875,0.481125
2024-04-23 11:51:40.732784,Step[83],0.497823,0.491188,0.508812
