Time,Step,Train loss,Validation loss,Validation dice
2024-04-22 21:21:09.321124,Step[1],0.920124,0.913311,0.086689
2024-04-22 21:21:24.131072,Step[2],0.887094,0.895082,0.104918
2024-04-22 21:21:38.929125,Step[3],0.871068,0.859593,0.140407
2024-04-22 21:21:53.748331,Step[4],0.823977,0.804837,0.195163
2024-04-22 21:22:08.517833,Step[5],0.816715,0.822242,0.177758
2024-04-22 21:22:23.381416,Step[6],0.807048,0.813141,0.186859
2024-04-22 21:22:38.273586,Step[7],0.801264,0.797969,0.202031
2024-04-22 21:22:53.134211,Step[8],0.790279,0.782673,0.217327
2024-04-22 21:23:07.995929,Step[9],0.779774,0.767030,0.232970
2024-04-22 21:23:22.710548,Step[10],0.764072,0.761293,0.238707
2024-04-22 21:23:37.530597,Step[11],0.768956,0.757855,0.242145
2024-04-22 21:23:52.282601,Step[12],0.764520,0.763914,0.236086
2024-04-22 21:24:07.083707,Step[13],0.759110,0.748758,0.251242
2024-04-22 21:24:21.915175,Step[14],0.762707,0.759719,0.240281
2024-04-22 21:24:36.708512,Step[15],0.745427,0.747301,0.252699
2024-04-22 21:24:51.581662,Step[16],0.738117,0.750931,0.249069
2024-04-22 21:25:06.305242,Step[17],0.739528,0.733237,0.266763
2024-04-22 21:25:21.107544,Step[18],0.737264,0.742803,0.257197
2024-04-22 21:25:36.031537,Step[19],0.732862,0.729347,0.270653
2024-04-22 21:25:50.832623,Step[20],0.723156,0.742817,0.257183
2024-04-22 21:26:05.677689,Step[21],0.727013,0.713188,0.286812
2024-04-22 21:26:20.623704,Step[22],0.693269,0.708777,0.291223
2024-04-22 21:26:35.495156,Step[23],0.682968,0.631576,0.368424
2024-04-22 21:26:50.295287,Step[24],0.665867,0.663328,0.336672
2024-04-22 21:27:05.126454,Step[25],0.618473,0.588438,0.411562
2024-04-22 21:27:19.900455,Step[26],0.534445,0.538176,0.461824
2024-04-22 21:27:34.764133,Step[27],0.527411,0.538693,0.461307
2024-04-22 21:27:49.548209,Step[28],0.531989,0.519450,0.480550
2024-04-22 21:28:04.427307,Step[29],0.642561,0.635877,0.364123
2024-04-22 21:28:19.243249,Step[30],0.603151,0.612558,0.387442
2024-04-22 21:28:34.014007,Step[31],0.537258,0.514778,0.485222
2024-04-22 21:28:48.821752,Step[32],0.513974,0.561375,0.438625
2024-04-22 21:29:03.713257,Step[33],0.514677,0.545383,0.454617
2024-04-22 21:29:18.622841,Step[34],0.517482,0.556924,0.443076
2024-04-22 21:29:33.391933,Step[35],0.534955,0.585054,0.414946
2024-04-22 21:29:48.197783,Step[36],0.496872,0.546068,0.453932
2024-04-22 21:30:03.059851,Step[37],0.497052,0.536207,0.463793
2024-04-22 21:30:17.892967,Step[38],0.468691,0.526768,0.473232
2024-04-22 21:30:32.680522,Step[39],0.487855,0.533659,0.466341
2024-04-22 21:30:47.360607,Step[40],0.505784,0.527261,0.472739
2024-04-22 21:31:02.191902,Step[41],0.514898,0.491752,0.508248
2024-04-22 21:31:16.946901,Step[42],0.477285,0.572390,0.427610
2024-04-22 21:31:31.700483,Step[43],0.491074,0.520607,0.479393
2024-04-22 21:31:46.438632,Step[44],0.474741,0.497747,0.502253
2024-04-22 21:32:01.411221,Step[45],0.488425,0.488731,0.511269
2024-04-22 21:32:16.337362,Step[46],0.475177,0.507874,0.492126
2024-04-22 21:32:31.153524,Step[47],0.472745,0.510050,0.489950
2024-04-22 21:32:45.879183,Step[48],0.473602,0.500274,0.499726
2024-04-22 21:33:00.711475,Step[49],0.470645,0.557080,0.442920
2024-04-22 21:33:15.574025,Step[50],0.477432,0.502217,0.497783
2024-04-22 21:33:30.349028,Step[51],0.501549,0.466940,0.533060
2024-04-22 21:33:45.179864,Step[52],0.449311,0.501093,0.498907
2024-04-22 21:33:59.920696,Step[53],0.457332,0.518692,0.481308
2024-04-22 21:34:14.736186,Step[54],0.471894,0.505494,0.494506
2024-04-22 21:34:29.523924,Step[55],0.492211,0.497302,0.502698
2024-04-22 21:34:44.295603,Step[56],0.488402,0.498693,0.501307
2024-04-22 21:34:59.098278,Step[57],0.471270,0.463508,0.536492
2024-04-22 21:35:13.884219,Step[58],0.472413,0.480817,0.519183
2024-04-22 21:35:28.653534,Step[59],0.472518,0.499111,0.500889
2024-04-22 21:35:43.488329,Step[60],0.494824,0.489791,0.510209
2024-04-22 21:35:58.282346,Step[61],0.512458,0.510328,0.489672
2024-04-22 21:36:13.136265,Step[62],0.520770,0.526521,0.473479
2024-04-22 21:36:27.934787,Step[63],0.529701,0.500015,0.499985
2024-04-22 21:36:42.738646,Step[64],0.524179,0.517396,0.482604
2024-04-22 21:36:57.538991,Step[65],0.512506,0.505002,0.494998
2024-04-22 21:37:12.325317,Step[66],0.500498,0.495878,0.504122
2024-04-22 21:37:27.223435,Step[67],0.472137,0.519231,0.480769
2024-04-22 21:37:41.992753,Step[68],0.464602,0.473209,0.526791
2024-04-22 21:37:56.900984,Step[69],0.493305,0.513095,0.486905
2024-04-22 21:38:11.751076,Step[70],0.484752,0.544090,0.455910
2024-04-22 21:38:26.552311,Step[71],0.476625,0.517437,0.482563
2024-04-22 21:38:41.274064,Step[72],0.475714,0.555253,0.444747
2024-04-22 21:38:56.060814,Step[73],0.524952,0.537623,0.462377
2024-04-22 21:39:10.923462,Step[74],0.491509,0.509764,0.490236
2024-04-22 21:39:25.728229,Step[75],0.495903,0.523448,0.476552
2024-04-22 21:39:40.543773,Step[76],0.498920,0.518819,0.481181
2024-04-22 21:39:55.394887,Step[77],0.498838,0.516828,0.483172
2024-04-22 21:40:10.103400,Step[78],0.493014,0.538085,0.461915
2024-04-22 21:40:24.980681,Step[79],0.485415,0.529285,0.470715
2024-04-22 21:40:39.858400,Step[80],0.496404,0.527123,0.472877
2024-04-22 21:40:54.738092,Step[81],0.494780,0.535437,0.464563
2024-04-22 21:41:09.650639,Step[82],0.496949,0.535743,0.464257
2024-04-22 21:41:24.454535,Step[83],0.477315,0.524869,0.475131
2024-04-22 21:41:39.087860,Step[84],0.480573,0.535238,0.464762
2024-04-22 21:41:53.823697,Step[85],0.497131,0.548163,0.451837
2024-04-22 21:42:08.623958,Step[86],0.453721,0.522050,0.477950
2024-04-22 21:42:23.565933,Step[87],0.448621,0.531095,0.468905
2024-04-22 21:42:38.459553,Step[88],0.487613,0.540098,0.459902
2024-04-22 21:42:53.244265,Step[89],0.484688,0.484873,0.515127
2024-04-22 21:43:07.940568,Step[90],0.492192,0.517828,0.482172
2024-04-22 21:43:22.666629,Step[91],0.468802,0.531963,0.468037
2024-04-22 21:43:37.551560,Step[92],0.484529,0.523001,0.476999
2024-04-22 21:43:52.308337,Step[93],0.459878,0.501993,0.498007
2024-04-22 21:44:07.155181,Step[94],0.466373,0.473556,0.526444
2024-04-22 21:44:22.114817,Step[95],0.453111,0.486647,0.513353
2024-04-22 21:44:36.899980,Step[96],0.478134,0.497464,0.502536
2024-04-22 21:44:51.698290,Step[97],0.482656,0.497182,0.502818
2024-04-22 21:45:06.485791,Step[98],0.480776,0.488812,0.511188
2024-04-22 21:45:21.205008,Step[99],0.482474,0.481457,0.518543
2024-04-22 21:45:35.991366,Step[100],0.485757,0.505855,0.494145
2024-04-22 21:45:50.793220,Step[101],0.486346,0.505233,0.494767
2024-04-22 21:46:05.598738,Step[102],0.501966,0.516705,0.483295
2024-04-22 21:46:20.323319,Step[103],0.491714,0.519668,0.480332
2024-04-22 21:46:35.097482,Step[104],0.479000,0.500659,0.499341
2024-04-22 21:46:50.176752,Step[105],0.505630,0.510563,0.489437
2024-04-22 21:47:04.980870,Step[106],0.480794,0.487350,0.512650
2024-04-22 21:47:19.832390,Step[107],0.474920,0.484344,0.515656
2024-04-22 21:47:34.822839,Step[108],0.464827,0.479595,0.520405
