Time,Step,Train loss,Validation loss,Validation dice
2024-04-22 22:35:17.378080,Step[1],0.946435,0.948663,0.051337
2024-04-22 22:35:32.278119,Step[2],0.917226,0.862718,0.137282
2024-04-22 22:35:47.118788,Step[3],0.882151,0.879526,0.120474
2024-04-22 22:36:01.953533,Step[4],0.866759,0.904541,0.095459
2024-04-22 22:36:16.722556,Step[5],0.861237,0.876379,0.123621
2024-04-22 22:36:31.571254,Step[6],0.876772,0.862051,0.137949
2024-04-22 22:36:46.451946,Step[7],0.848088,0.836403,0.163597
2024-04-22 22:37:01.226775,Step[8],0.834954,0.829166,0.170834
2024-04-22 22:37:16.103868,Step[9],0.813724,0.810261,0.189739
2024-04-22 22:37:30.877524,Step[10],0.809650,0.791513,0.208487
2024-04-22 22:37:45.728373,Step[11],0.804010,0.769210,0.230790
2024-04-22 22:38:00.511135,Step[12],0.787767,0.784058,0.215942
2024-04-22 22:38:15.233642,Step[13],0.784575,0.779152,0.220848
2024-04-22 22:38:30.049715,Step[14],0.785548,0.761972,0.238028
2024-04-22 22:38:44.927658,Step[15],0.780657,0.763258,0.236742
2024-04-22 22:38:59.804939,Step[16],0.776608,0.759177,0.240823
2024-04-22 22:39:14.607205,Step[17],0.760311,0.761173,0.238827
2024-04-22 22:39:29.503637,Step[18],0.762785,0.737700,0.262300
2024-04-22 22:39:44.289035,Step[19],0.747433,0.735708,0.264292
2024-04-22 22:39:58.998628,Step[20],0.751298,0.772474,0.227526
2024-04-22 22:40:13.796721,Step[21],0.766139,0.811609,0.188391
2024-04-22 22:40:28.628453,Step[22],0.766326,0.751466,0.248534
2024-04-22 22:40:43.526400,Step[23],0.773191,0.734812,0.265188
2024-04-22 22:40:58.327039,Step[24],0.764997,0.739996,0.260004
2024-04-22 22:41:13.116393,Step[25],0.742979,0.740755,0.259245
2024-04-22 22:41:27.921517,Step[26],0.751318,0.728773,0.271227
2024-04-22 22:41:42.773858,Step[27],0.751037,0.736154,0.263846
2024-04-22 22:41:57.606096,Step[28],0.727986,0.741254,0.258746
2024-04-22 22:42:12.358473,Step[29],0.729741,0.685383,0.314617
2024-04-22 22:42:27.163924,Step[30],0.700066,0.669137,0.330863
2024-04-22 22:42:42.060433,Step[31],0.673460,0.695393,0.304607
2024-04-22 22:42:56.925145,Step[32],0.730930,0.695016,0.304984
2024-04-22 22:43:11.732948,Step[33],0.688373,0.693941,0.306059
2024-04-22 22:43:26.522935,Step[34],0.687879,0.727143,0.272857
2024-04-22 22:43:41.446131,Step[35],0.665681,0.751087,0.248913
2024-04-22 22:43:56.526567,Step[36],0.711754,0.666519,0.333481
2024-04-22 22:44:11.312637,Step[37],0.670468,0.645591,0.354409
2024-04-22 22:44:26.127470,Step[38],0.670095,0.701057,0.298943
2024-04-22 22:44:40.917114,Step[39],0.628150,0.658739,0.341261
2024-04-22 22:44:55.766203,Step[40],0.711239,0.818754,0.181246
2024-04-22 22:45:10.582925,Step[41],0.781284,0.773018,0.226982
2024-04-22 22:45:25.338355,Step[42],0.783051,0.762068,0.237932
2024-04-22 22:45:40.074671,Step[43],0.711680,0.658510,0.341490
2024-04-22 22:45:54.754068,Step[44],0.666437,0.709720,0.290280
2024-04-22 22:46:09.636263,Step[45],0.787041,0.800854,0.199146
2024-04-22 22:46:24.450469,Step[46],0.820476,0.797782,0.202218
2024-04-22 22:46:39.251624,Step[47],0.769207,0.792207,0.207793
2024-04-22 22:46:54.152033,Step[48],0.774014,0.755369,0.244631
2024-04-22 22:47:08.998807,Step[49],0.753182,0.810081,0.189919
2024-04-22 22:47:23.769659,Step[50],0.612270,0.603150,0.396850
2024-04-22 22:47:38.650800,Step[51],0.606233,0.602911,0.397089
2024-04-22 22:47:53.379741,Step[52],0.605592,0.602822,0.397178
2024-04-22 22:48:08.246619,Step[53],0.605057,0.602803,0.397197
2024-04-22 22:48:23.029401,Step[54],0.604940,0.602784,0.397216
2024-04-22 22:48:37.876541,Step[55],0.604885,0.602707,0.397293
2024-04-22 22:48:52.789708,Step[56],0.604829,0.602678,0.397322
2024-04-22 22:49:07.747010,Step[57],0.604802,0.602670,0.397330
2024-04-22 22:49:22.566128,Step[58],0.604790,0.602662,0.397338
2024-04-22 22:49:37.490146,Step[59],0.604782,0.602659,0.397341
2024-04-22 22:49:52.294551,Step[60],0.604778,0.602657,0.397343
2024-04-22 22:50:07.188374,Step[61],0.604777,0.602654,0.397346
2024-04-22 22:50:22.035997,Step[62],0.604776,0.602654,0.397346
2024-04-22 22:50:36.759763,Step[63],0.604776,0.602654,0.397346
2024-04-22 22:50:51.639280,Step[64],0.604776,0.602654,0.397346
2024-04-22 22:51:06.377567,Step[65],0.604775,0.602654,0.397346
2024-04-22 22:51:21.370614,Step[66],0.604775,0.602654,0.397346
2024-04-22 22:51:36.144939,Step[67],0.604775,0.602654,0.397346
2024-04-22 22:51:50.935014,Step[68],0.604775,0.602654,0.397346
2024-04-22 22:52:05.676345,Step[69],0.604775,0.602654,0.397346
2024-04-22 22:52:20.539902,Step[70],0.604775,0.602654,0.397346
2024-04-22 22:52:35.511306,Step[71],0.604775,0.602654,0.397346
2024-04-22 22:52:50.237237,Step[72],0.604775,0.602654,0.397346
2024-04-22 22:53:05.132647,Step[73],0.604775,0.602654,0.397346
2024-04-22 22:53:19.918367,Step[74],0.604775,0.602654,0.397346
2024-04-22 22:53:34.753391,Step[75],0.604775,0.602654,0.397346
2024-04-22 22:53:49.597619,Step[76],0.604775,0.602654,0.397346
2024-04-22 22:54:04.491673,Step[77],0.604775,0.602654,0.397346
2024-04-22 22:54:19.357910,Step[78],0.604775,0.602654,0.397346
2024-04-22 22:54:34.114814,Step[79],0.604775,0.602654,0.397346
2024-04-22 22:54:48.901646,Step[80],0.604775,0.602654,0.397346
2024-04-22 22:55:03.660080,Step[81],0.604775,0.602654,0.397346
2024-04-22 22:55:18.459853,Step[82],0.604775,0.602654,0.397346
2024-04-22 22:55:33.266922,Step[83],0.604775,0.602654,0.397346
