Time,Step,Train loss,Validation loss,Validation dice
2024-04-22 12:08:08.737657,Step[1],0.927126,0.905007,0.094993
2024-04-22 12:08:24.228001,Step[2],0.885975,0.821560,0.178440
2024-04-22 12:08:39.720307,Step[3],0.853257,0.771390,0.228610
2024-04-22 12:08:55.218210,Step[4],0.820287,0.750143,0.249857
2024-04-22 12:09:10.720486,Step[5],0.793718,0.733790,0.266210
2024-04-22 12:09:26.217374,Step[6],0.773263,0.695340,0.304660
2024-04-22 12:09:41.720109,Step[7],0.750688,0.678239,0.321761
2024-04-22 12:09:57.212416,Step[8],0.733286,0.661796,0.338204
2024-04-22 12:10:12.704442,Step[9],0.721149,0.685082,0.314918
2024-04-22 12:10:28.220486,Step[10],0.713044,0.649262,0.350738
2024-04-22 12:10:43.721048,Step[11],0.691776,0.632379,0.367621
2024-04-22 12:10:59.234414,Step[12],0.660938,0.597653,0.402347
2024-04-22 12:11:14.735682,Step[13],0.622872,0.545749,0.454251
2024-04-22 12:11:30.252721,Step[14],0.596798,0.557024,0.442976
2024-04-22 12:11:45.892189,Step[15],0.558258,0.490097,0.509903
2024-04-22 12:12:01.410371,Step[16],0.566615,0.468504,0.531496
2024-04-22 12:12:16.907658,Step[17],0.539168,0.480456,0.519544
2024-04-22 12:12:32.407350,Step[18],0.533284,0.531752,0.468248
2024-04-22 12:12:47.917796,Step[19],0.541447,0.422034,0.577966
2024-04-22 12:13:03.422413,Step[20],0.513160,0.453256,0.546744
2024-04-22 12:13:18.907783,Step[21],0.502520,0.463487,0.536513
2024-04-22 12:13:34.407890,Step[22],0.539247,0.504651,0.495349
2024-04-22 12:13:49.907006,Step[23],0.510772,0.436448,0.563552
2024-04-22 12:14:05.393512,Step[24],0.503363,0.421960,0.578040
2024-04-22 12:14:20.886014,Step[25],0.510112,0.454138,0.545862
2024-04-22 12:14:36.360833,Step[26],0.521497,0.484909,0.515091
2024-04-22 12:14:51.860959,Step[27],0.515837,0.500332,0.499668
2024-04-22 12:15:07.344925,Step[28],0.505220,0.476844,0.523156
2024-04-22 12:15:22.829630,Step[29],0.496853,0.449703,0.550297
2024-04-22 12:15:38.313903,Step[30],0.509312,0.455417,0.544583
2024-04-22 12:15:53.798253,Step[31],0.494737,0.418124,0.581876
2024-04-22 12:16:09.282870,Step[32],0.490614,0.447072,0.552928
2024-04-22 12:16:24.767348,Step[33],0.506536,0.447564,0.552436
2024-04-22 12:16:40.236022,Step[34],0.498055,0.439256,0.560744
2024-04-22 12:16:55.711717,Step[35],0.517481,0.424648,0.575352
2024-04-22 12:17:11.204827,Step[36],0.495258,0.409656,0.590344
2024-04-22 12:17:26.673160,Step[37],0.483295,0.426715,0.573285
2024-04-22 12:17:42.154721,Step[38],0.511041,0.464914,0.535086
2024-04-22 12:17:57.642082,Step[39],0.531567,0.465160,0.534840
2024-04-22 12:18:13.110659,Step[40],0.530890,0.435874,0.564126
2024-04-22 12:18:28.594389,Step[41],0.510534,0.435945,0.564055
2024-04-22 12:18:44.063852,Step[42],0.511006,0.444294,0.555706
2024-04-22 12:18:59.548572,Step[43],0.497853,0.416705,0.583295
2024-04-22 12:19:15.017245,Step[44],0.511071,0.445253,0.554747
2024-04-22 12:19:30.501554,Step[45],0.511085,0.436318,0.563682
2024-04-22 12:19:45.991480,Step[46],0.520584,0.471411,0.528589
2024-04-22 12:20:01.470251,Step[47],0.509368,0.404575,0.595425
2024-04-22 12:20:16.952595,Step[48],0.506609,0.428345,0.571655
2024-04-22 12:20:32.423181,Step[49],0.500684,0.404374,0.595626
2024-04-22 12:20:47.907570,Step[50],0.496786,0.436227,0.563773
2024-04-22 12:21:03.375828,Step[51],0.505444,0.398423,0.601577
2024-04-22 12:21:18.845029,Step[52],0.521204,0.433063,0.566937
2024-04-22 12:21:34.313131,Step[53],0.479455,0.398362,0.601638
2024-04-22 12:21:49.861066,Step[54],0.498618,0.406841,0.593159
2024-04-22 12:22:05.329769,Step[55],0.496390,0.399761,0.600239
2024-04-22 12:22:20.798568,Step[56],0.486286,0.438648,0.561352
2024-04-22 12:22:36.267188,Step[57],0.492237,0.412366,0.587634
2024-04-22 12:22:51.750870,Step[58],0.482720,0.402178,0.597822
2024-04-22 12:23:07.220052,Step[59],0.481110,0.405434,0.594566
2024-04-22 12:23:22.704393,Step[60],0.480302,0.392483,0.607517
2024-04-22 12:23:38.173589,Step[61],0.474125,0.397061,0.602939
2024-04-22 12:23:53.642309,Step[62],0.492357,0.392888,0.607112
2024-04-22 12:24:09.125189,Step[63],0.482781,0.398866,0.601134
