Time,Step,Train loss,Validation loss,Validation dice
2024-04-28 15:05:46.886843,Step[1],0.953744,0.893552,0.106448
2024-04-28 15:06:22.121362,Step[2],0.888995,0.825056,0.174944
2024-04-28 15:06:53.048984,Step[3],0.834315,0.792722,0.207278
2024-04-28 15:07:24.363155,Step[4],0.813591,0.768640,0.231360
2024-04-28 15:07:55.956914,Step[5],0.789305,0.749997,0.250003
2024-04-28 15:08:27.335192,Step[6],0.780149,0.745901,0.254099
2024-04-28 15:08:58.833843,Step[7],0.770666,0.766923,0.233077
2024-04-28 15:09:31.284534,Step[8],0.761604,0.736789,0.263211
2024-04-28 15:10:03.977437,Step[9],0.748992,0.725463,0.274537
2024-04-28 15:10:35.800619,Step[10],0.753476,0.728713,0.271287
2024-04-28 15:11:07.675857,Step[11],0.754718,0.739086,0.260914
2024-04-28 15:11:40.266709,Step[12],0.749681,0.726044,0.273956
2024-04-28 15:12:12.718813,Step[13],0.744761,0.719427,0.280573
2024-04-28 15:12:44.174627,Step[14],0.736091,0.739317,0.260683
2024-04-28 15:13:16.533240,Step[15],0.735468,0.710777,0.289223
2024-04-28 15:13:49.385818,Step[16],0.733593,0.709896,0.290104
2024-04-28 15:14:21.264670,Step[17],0.731383,0.711410,0.288590
2024-04-28 15:14:52.559513,Step[18],0.729722,0.712118,0.287882
2024-04-28 15:15:23.796798,Step[19],0.725823,0.711228,0.288772
2024-04-28 15:15:55.002822,Step[20],0.728101,0.702691,0.297309
2024-04-28 15:16:26.329065,Step[21],0.719225,0.711263,0.288737
2024-04-28 15:16:57.591062,Step[22],0.726851,0.705945,0.294055
2024-04-28 15:17:28.790185,Step[23],0.719491,0.705831,0.294169
2024-04-28 15:17:59.999472,Step[24],0.719368,0.703252,0.296748
2024-04-28 15:18:31.143564,Step[25],0.713628,0.698802,0.301198
2024-04-28 15:19:02.419838,Step[26],0.708268,0.700661,0.299339
2024-04-28 15:19:33.600841,Step[27],0.712161,0.694693,0.305307
2024-04-28 15:20:04.912907,Step[28],0.705867,0.697552,0.302448
2024-04-28 15:20:36.084877,Step[29],0.714236,0.716466,0.283534
2024-04-28 15:21:07.293776,Step[30],0.703481,0.696460,0.303540
2024-04-28 15:21:38.449200,Step[31],0.703262,0.700156,0.299844
2024-04-28 15:22:09.618111,Step[32],0.702008,0.689535,0.310465
2024-04-28 15:22:40.842641,Step[33],0.692786,0.692048,0.307952
2024-04-28 15:23:12.044068,Step[34],0.697123,0.688348,0.311652
2024-04-28 15:23:43.276297,Step[35],0.693380,0.685070,0.314930
2024-04-28 15:24:14.541005,Step[36],0.690012,0.703426,0.296574
2024-04-28 15:24:45.705275,Step[37],0.696105,0.682081,0.317919
2024-04-28 15:25:16.958210,Step[38],0.686114,0.684684,0.315316
2024-04-28 15:25:48.169064,Step[39],0.687613,0.686639,0.313361
2024-04-28 15:26:19.357552,Step[40],0.683816,0.681445,0.318555
2024-04-28 15:26:50.634797,Step[41],0.673352,0.679615,0.320385
2024-04-28 15:27:21.928941,Step[42],0.675643,0.681826,0.318174
2024-04-28 15:27:53.417179,Step[43],0.682709,0.679068,0.320932
2024-04-28 15:28:24.606424,Step[44],0.678701,0.678201,0.321799
