Time,Step,Train loss,Validation loss,Validation dice
2024-04-29 20:34:16.342817,Step[1],0.957152,0.923904,0.076096
2024-04-29 20:34:52.460784,Step[2],0.904406,0.835027,0.164973
2024-04-29 20:35:28.228605,Step[3],0.840289,0.797960,0.202040
2024-04-29 20:36:04.273048,Step[4],0.821511,0.790663,0.209337
2024-04-29 20:36:40.375121,Step[5],0.798391,0.770738,0.229262
2024-04-29 20:37:16.560206,Step[6],0.777099,0.760751,0.239249
2024-04-29 20:37:52.804200,Step[7],0.770437,0.756967,0.243033
2024-04-29 20:38:28.858904,Step[8],0.762391,0.746057,0.253943
2024-04-29 20:39:05.660106,Step[9],0.754208,0.741679,0.258321
2024-04-29 20:39:42.315395,Step[10],0.747070,0.740441,0.259559
2024-04-29 20:40:18.183155,Step[11],0.747547,0.733616,0.266384
2024-04-29 20:40:54.317301,Step[12],0.745685,0.731227,0.268773
2024-04-29 20:41:30.700795,Step[13],0.739272,0.724924,0.275076
2024-04-29 20:42:07.175993,Step[14],0.734781,0.723683,0.276317
2024-04-29 20:42:43.737945,Step[15],0.734916,0.720747,0.279253
2024-04-29 20:43:20.096693,Step[16],0.730964,0.716291,0.283709
2024-04-29 20:43:56.696276,Step[17],0.724196,0.726433,0.273567
2024-04-29 20:44:33.226532,Step[18],0.720480,0.713686,0.286314
2024-04-29 20:45:08.340453,Step[19],0.724543,0.721451,0.278549
2024-04-29 20:45:45.102440,Step[20],0.720109,0.717679,0.282321
2024-04-29 20:46:20.747503,Step[21],0.711916,0.715302,0.284698
2024-04-29 20:46:56.296631,Step[22],0.713135,0.705222,0.294778
2024-04-29 20:47:31.919710,Step[23],0.705810,0.699520,0.300480
2024-04-29 20:48:08.554407,Step[24],0.699866,0.697884,0.302116
2024-04-29 20:48:44.712706,Step[25],0.700111,0.697982,0.302018
2024-04-29 20:49:20.642787,Step[26],0.698336,0.689083,0.310917
2024-04-29 20:49:56.140913,Step[27],0.694711,0.696222,0.303778
2024-04-29 20:50:32.248015,Step[28],0.686523,0.689252,0.310748
2024-04-29 20:51:07.956522,Step[29],0.690513,0.696689,0.303311
2024-04-29 20:51:43.789053,Step[30],0.690900,0.689073,0.310927
2024-04-29 20:52:19.672962,Step[31],0.677328,0.695833,0.304167
2024-04-29 20:52:55.580160,Step[32],0.679322,0.693221,0.306779
2024-04-29 20:53:30.906959,Step[33],0.685210,0.687392,0.312608
2024-04-29 20:54:06.312930,Step[34],0.670617,0.687618,0.312382
2024-04-29 20:54:42.718150,Step[35],0.671606,0.682299,0.317701
2024-04-29 20:55:18.069441,Step[36],0.666032,0.698283,0.301717
2024-04-29 20:55:54.234615,Step[37],0.689343,0.691430,0.308570
2024-04-29 20:56:29.196512,Step[38],0.673037,0.688885,0.311115
2024-04-29 20:57:04.553019,Step[39],0.661931,0.681570,0.318430
2024-04-29 20:57:39.937592,Step[40],0.661899,0.690881,0.309119
2024-04-29 20:58:16.416051,Step[41],0.660801,0.678476,0.321524
2024-04-29 20:58:52.290423,Step[42],0.662415,0.681076,0.318924
2024-04-29 20:59:28.635493,Step[43],0.655801,0.684937,0.315063
2024-04-29 21:00:04.567583,Step[44],0.655666,0.696489,0.303511
2024-04-29 21:00:40.182396,Step[45],0.655399,0.682185,0.317815
2024-04-29 21:01:15.885018,Step[46],0.652973,0.675753,0.324247
2024-04-29 21:01:52.028580,Step[47],0.649027,0.678146,0.321854
2024-04-29 21:02:28.395737,Step[48],0.640515,0.668827,0.331173
2024-04-29 21:03:04.486992,Step[49],0.646334,0.689776,0.310224
2024-04-29 21:03:40.655932,Step[50],0.639744,0.670339,0.329661
2024-04-29 21:04:16.472217,Step[51],0.640550,0.682852,0.317148
2024-04-29 21:04:52.386504,Step[52],0.645118,0.675122,0.324878
2024-04-29 21:05:28.209064,Step[53],0.629933,0.669694,0.330306
2024-04-29 21:06:04.008134,Step[54],0.635210,0.673309,0.326691
2024-04-29 21:06:39.875816,Step[55],0.638804,0.682630,0.317370
2024-04-29 21:07:15.066035,Step[56],0.642665,0.686147,0.313853
2024-04-29 21:07:50.810014,Step[57],0.630482,0.678063,0.321937
2024-04-29 21:08:26.766058,Step[58],0.623395,0.661216,0.338784
2024-04-29 21:09:02.716832,Step[59],0.625488,0.665672,0.334328
2024-04-29 21:09:38.811369,Step[60],0.620594,0.658284,0.341716
2024-04-29 21:10:14.653674,Step[61],0.618971,0.660776,0.339224
2024-04-29 21:10:50.588651,Step[62],0.615385,0.650691,0.349309
2024-04-29 21:11:26.105982,Step[63],0.609297,0.643535,0.356465
2024-04-29 21:12:02.292587,Step[64],0.617967,0.645127,0.354873
2024-04-29 21:12:38.116373,Step[65],0.604204,0.668622,0.331378
2024-04-29 21:13:13.650381,Step[66],0.599320,0.639644,0.360356
2024-04-29 21:13:49.649309,Step[67],0.631705,0.656028,0.343972
2024-04-29 21:14:25.764019,Step[68],0.604109,0.646736,0.353264
2024-04-29 21:15:01.564926,Step[69],0.609706,0.628660,0.371340
2024-04-29 21:15:37.811722,Step[70],0.612022,0.645197,0.354803
2024-04-29 21:16:13.994899,Step[71],0.579166,0.592824,0.407176
2024-04-29 21:16:49.863966,Step[72],0.566744,0.593090,0.406910
2024-04-29 21:17:25.665985,Step[73],0.561943,0.598060,0.401940
2024-04-29 21:18:00.664168,Step[74],0.547946,0.588068,0.411932
2024-04-29 21:18:36.312560,Step[75],0.592690,0.591033,0.408967
2024-04-29 21:19:11.738864,Step[76],0.583209,0.569972,0.430028
2024-04-29 21:19:47.648430,Step[77],0.569367,0.579548,0.420452
2024-04-29 21:20:23.560664,Step[78],0.545329,0.541395,0.458605
2024-04-29 21:20:59.343780,Step[79],0.544848,0.564200,0.435800
2024-04-29 21:21:34.754138,Step[80],0.527787,0.519670,0.480330
2024-04-29 21:22:10.159039,Step[81],0.513034,0.578931,0.421069
2024-04-29 21:22:45.966918,Step[82],0.537012,0.522781,0.477219
2024-04-29 21:23:21.794054,Step[83],0.504010,0.529111,0.470889
2024-04-29 21:23:57.633751,Step[84],0.481696,0.507092,0.492908
2024-04-29 21:24:33.614257,Step[85],0.478835,0.514390,0.485610
2024-04-29 21:25:09.611978,Step[86],0.478619,0.451596,0.548404
2024-04-29 21:25:45.493555,Step[87],0.480992,0.455518,0.544482
