Time,Step,Train loss,Validation loss,Validation dice
2024-05-10 20:57:26.875774,Step[1],0.951023,0.914963,0.085037
2024-05-10 20:58:05.489153,Step[2],0.879531,0.855082,0.144918
2024-05-10 20:58:43.384419,Step[3],0.828347,0.818743,0.181257
2024-05-10 20:59:21.361455,Step[4],0.798123,0.800875,0.199125
2024-05-10 20:59:59.668195,Step[5],0.771896,0.794715,0.205285
2024-05-10 21:00:37.645106,Step[6],0.759383,0.788896,0.211104
2024-05-10 21:01:15.726080,Step[7],0.749219,0.782486,0.217514
2024-05-10 21:01:53.931542,Step[8],0.747472,0.782767,0.217233
2024-05-10 21:02:31.922371,Step[9],0.738968,0.778752,0.221248
2024-05-10 21:03:09.674713,Step[10],0.736645,0.785177,0.214823
2024-05-10 21:03:47.711808,Step[11],0.728780,0.769593,0.230407
2024-05-10 21:04:25.417922,Step[12],0.723733,0.769428,0.230572
2024-05-10 21:05:03.377709,Step[13],0.724161,0.766792,0.233208
2024-05-10 21:05:41.594276,Step[14],0.720828,0.765311,0.234689
2024-05-10 21:06:20.242550,Step[15],0.718678,0.766227,0.233773
2024-05-10 21:06:58.015422,Step[16],0.715267,0.764760,0.235240
2024-05-10 21:07:35.903278,Step[17],0.712532,0.762641,0.237359
2024-05-10 21:08:13.986823,Step[18],0.711606,0.760718,0.239282
2024-05-10 21:08:51.905327,Step[19],0.710081,0.756409,0.243591
2024-05-10 21:09:30.093799,Step[20],0.711144,0.767359,0.232641
2024-05-10 21:10:08.131627,Step[21],0.705501,0.758494,0.241506
2024-05-10 21:10:45.713882,Step[22],0.699843,0.759650,0.240350
2024-05-10 21:11:23.330193,Step[23],0.700442,0.757924,0.242076
2024-05-10 21:12:01.009061,Step[24],0.700272,0.751423,0.248577
2024-05-10 21:12:38.733789,Step[25],0.700576,0.767041,0.232959
2024-05-10 21:13:16.795892,Step[26],0.695012,0.747182,0.252818
2024-05-10 21:13:54.845049,Step[27],0.693992,0.750487,0.249513
2024-05-10 21:14:32.924531,Step[28],0.691489,0.745464,0.254536
2024-05-10 21:15:10.614071,Step[29],0.688320,0.751224,0.248776
2024-05-10 21:15:48.353779,Step[30],0.692603,0.738794,0.261206
2024-05-10 21:16:26.070147,Step[31],0.686123,0.743299,0.256701
2024-05-10 21:17:04.006561,Step[32],0.693866,0.741045,0.258955
2024-05-10 21:17:41.697669,Step[33],0.683735,0.737295,0.262705
2024-05-10 21:18:19.482486,Step[34],0.683216,0.733086,0.266914
2024-05-10 21:18:57.763652,Step[35],0.677011,0.738769,0.261231
2024-05-10 21:19:35.412930,Step[36],0.675663,0.720604,0.279396
2024-05-10 21:20:12.993738,Step[37],0.671865,0.726926,0.273074
2024-05-10 21:20:50.695380,Step[38],0.663413,0.702533,0.297467
2024-05-10 21:21:28.392682,Step[39],0.661810,0.709484,0.290516
2024-05-10 21:22:06.571416,Step[40],0.660218,0.689540,0.310460
2024-05-10 21:22:44.879293,Step[41],0.647338,0.667596,0.332404
2024-05-10 21:23:22.935347,Step[42],0.648052,0.666812,0.333188
2024-05-10 21:24:01.064837,Step[43],0.636103,0.632337,0.367663
2024-05-10 21:24:38.864690,Step[44],0.613485,0.622914,0.377086
2024-05-10 21:25:16.746624,Step[45],0.595842,0.635200,0.364800
2024-05-10 21:25:54.873461,Step[46],0.585333,0.584010,0.415990
2024-05-10 21:26:32.453561,Step[47],0.592032,0.562094,0.437906
2024-05-10 21:27:10.386204,Step[48],0.583551,0.558587,0.441413
2024-05-10 21:27:48.202856,Step[49],0.553615,0.542739,0.457261
2024-05-10 21:28:26.016976,Step[50],0.552550,0.536143,0.463857
2024-05-10 21:29:04.153255,Step[51],0.559982,0.526602,0.473398
2024-05-10 21:29:42.043027,Step[52],0.538232,0.535212,0.464788
2024-05-10 21:30:20.065946,Step[53],0.524704,0.503729,0.496271
2024-05-10 21:30:57.771878,Step[54],0.543031,0.521589,0.478411
2024-05-10 21:31:36.124055,Step[55],0.518080,0.487998,0.512002
2024-05-10 21:32:13.904015,Step[56],0.516724,0.479897,0.520103
2024-05-10 21:32:51.932542,Step[57],0.506106,0.485057,0.514943
2024-05-10 21:33:29.778439,Step[58],0.537580,0.469270,0.530730
2024-05-10 21:34:07.501454,Step[59],0.483568,0.461497,0.538503
2024-05-10 21:34:45.657473,Step[60],0.494675,0.456479,0.543521
2024-05-10 21:35:23.836102,Step[61],0.511683,0.498662,0.501338
2024-05-10 21:36:01.682828,Step[62],0.509431,0.449816,0.550184
2024-05-10 21:36:39.247986,Step[63],0.469255,0.445768,0.554232
2024-05-10 21:37:17.414210,Step[64],0.472946,0.450088,0.549912
2024-05-10 21:37:55.421687,Step[65],0.480160,0.436948,0.563052
2024-05-10 21:38:33.117276,Step[66],0.445570,0.435223,0.564777
2024-05-10 21:39:10.934840,Step[67],0.451085,0.436694,0.563306
2024-05-10 21:39:48.759547,Step[68],0.450270,0.424541,0.575459
2024-05-10 21:40:26.403996,Step[69],0.451579,0.428236,0.571764
2024-05-10 21:41:04.411257,Step[70],0.452161,0.434458,0.565542
2024-05-10 21:41:42.059727,Step[71],0.437158,0.436571,0.563429
2024-05-10 21:42:19.597393,Step[72],0.446008,0.448785,0.551215
