Time,Step,Train loss,Validation loss,Validation dice
2024-05-11 11:31:05.130633,Step[1],0.953717,0.930863,0.069137
2024-05-11 11:31:39.815161,Step[2],0.907343,0.898847,0.101153
2024-05-11 11:32:14.467875,Step[3],0.877409,0.880359,0.119641
2024-05-11 11:32:49.197797,Step[4],0.857358,0.887057,0.112943
2024-05-11 11:33:23.790421,Step[5],0.846851,0.850327,0.149673
2024-05-11 11:33:58.501369,Step[6],0.828484,0.827534,0.172466
2024-05-11 11:34:33.199160,Step[7],0.819824,0.828888,0.171112
2024-05-11 11:35:07.805091,Step[8],0.806592,0.811277,0.188723
2024-05-11 11:35:42.463781,Step[9],0.799058,0.802957,0.197043
2024-05-11 11:36:17.059731,Step[10],0.795107,0.798983,0.201017
2024-05-11 11:36:51.764995,Step[11],0.786193,0.791327,0.208673
2024-05-11 11:37:26.440074,Step[12],0.781960,0.785674,0.214326
2024-05-11 11:38:01.156916,Step[13],0.775872,0.778200,0.221800
2024-05-11 11:38:35.827292,Step[14],0.769058,0.783495,0.216505
2024-05-11 11:39:10.395132,Step[15],0.767068,0.768100,0.231900
2024-05-11 11:39:45.040671,Step[16],0.763274,0.770913,0.229087
2024-05-11 11:40:19.617130,Step[17],0.758660,0.763501,0.236499
2024-05-11 11:40:54.266902,Step[18],0.751621,0.760350,0.239650
2024-05-11 11:41:28.920390,Step[19],0.753062,0.768855,0.231145
2024-05-11 11:42:03.526352,Step[20],0.747765,0.761706,0.238294
2024-05-11 11:42:38.069330,Step[21],0.741316,0.746607,0.253393
2024-05-11 11:43:12.749664,Step[22],0.735138,0.754113,0.245887
2024-05-11 11:43:47.354939,Step[23],0.737827,0.751453,0.248547
2024-05-11 11:44:21.855964,Step[24],0.728957,0.739134,0.260866
2024-05-11 11:44:56.484303,Step[25],0.730793,0.733112,0.266888
2024-05-11 11:45:31.163332,Step[26],0.729540,0.750969,0.249031
2024-05-11 11:46:05.796735,Step[27],0.728862,0.732580,0.267420
2024-05-11 11:46:40.510254,Step[28],0.724047,0.731222,0.268778
2024-05-11 11:47:15.182410,Step[29],0.719109,0.730137,0.269863
2024-05-11 11:47:49.880114,Step[30],0.715338,0.724350,0.275650
2024-05-11 11:48:24.524254,Step[31],0.711763,0.721208,0.278792
2024-05-11 11:48:59.261894,Step[32],0.711944,0.728907,0.271093
2024-05-11 11:49:33.886058,Step[33],0.704261,0.724905,0.275095
2024-05-11 11:50:08.533372,Step[34],0.706774,0.723382,0.276618
2024-05-11 11:50:43.146127,Step[35],0.705449,0.716963,0.283037
