Time,Step,Train loss,Validation loss,Validation dice
2024-05-13 00:44:08.972313,Step[1],0.960421,0.935118,0.064882
2024-05-13 00:44:43.631429,Step[2],0.905475,0.879548,0.120452
2024-05-13 00:45:18.216678,Step[3],0.861566,0.846702,0.153298
2024-05-13 00:45:52.950763,Step[4],0.827010,0.821333,0.178667
2024-05-13 00:46:27.631825,Step[5],0.810048,0.810352,0.189648
2024-05-13 00:47:02.225465,Step[6],0.795269,0.802627,0.197373
2024-05-13 00:47:36.877452,Step[7],0.779158,0.798205,0.201795
2024-05-13 00:48:11.562682,Step[8],0.769946,0.787884,0.212116
2024-05-13 00:48:46.290471,Step[9],0.761073,0.784837,0.215163
2024-05-13 00:49:20.973378,Step[10],0.761774,0.778559,0.221441
2024-05-13 00:49:55.663482,Step[11],0.750578,0.777494,0.222506
2024-05-13 00:50:30.319198,Step[12],0.745934,0.774666,0.225334
2024-05-13 00:51:04.990660,Step[13],0.743220,0.773125,0.226875
2024-05-13 00:51:39.639271,Step[14],0.739454,0.770607,0.229393
2024-05-13 00:52:14.296928,Step[15],0.730347,0.772871,0.227129
2024-05-13 00:52:48.824326,Step[16],0.733005,0.767069,0.232931
2024-05-13 00:53:23.434808,Step[17],0.727050,0.766442,0.233558
2024-05-13 00:53:58.056797,Step[18],0.726114,0.765755,0.234245
2024-05-13 00:54:32.673678,Step[19],0.721403,0.761678,0.238322
2024-05-13 00:55:07.240320,Step[20],0.719668,0.762435,0.237565
2024-05-13 00:55:41.770178,Step[21],0.715986,0.758187,0.241813
2024-05-13 00:56:16.386570,Step[22],0.713324,0.768112,0.231888
2024-05-13 00:56:50.869494,Step[23],0.716780,0.757952,0.242048
2024-05-13 00:57:25.464701,Step[24],0.707703,0.753419,0.246581
2024-05-13 00:58:00.129926,Step[25],0.702198,0.757620,0.242380
2024-05-13 00:58:34.698945,Step[26],0.702540,0.753076,0.246924
2024-05-13 00:59:09.397924,Step[27],0.713232,0.767837,0.232163
2024-05-13 00:59:43.990035,Step[28],0.706026,0.755728,0.244272
2024-05-13 01:00:18.495408,Step[29],0.703396,0.749152,0.250848
2024-05-13 01:00:53.129781,Step[30],0.700853,0.750738,0.249262
2024-05-13 01:01:27.683587,Step[31],0.697930,0.748608,0.251392
2024-05-13 01:02:02.361831,Step[32],0.687932,0.742514,0.257486
2024-05-13 01:02:36.930760,Step[33],0.690660,0.746046,0.253954
2024-05-13 01:03:11.471244,Step[34],0.685362,0.746642,0.253358
2024-05-13 01:03:45.993998,Step[35],0.683494,0.738505,0.261495
2024-05-13 01:04:20.612609,Step[36],0.695324,0.747503,0.252497
2024-05-13 01:04:55.188868,Step[37],0.687193,0.744693,0.255307
2024-05-13 01:05:29.787475,Step[38],0.684314,0.740132,0.259868
2024-05-13 01:06:04.401231,Step[39],0.682331,0.728940,0.271060
2024-05-13 01:06:39.062162,Step[40],0.670874,0.730819,0.269181
2024-05-13 01:07:13.668291,Step[41],0.674517,0.735461,0.264539
2024-05-13 01:07:48.276767,Step[42],0.665728,0.728488,0.271512
2024-05-13 01:08:22.965970,Step[43],0.672678,0.733187,0.266813
2024-05-13 01:08:57.528424,Step[44],0.666132,0.733972,0.266028
2024-05-13 01:09:32.096823,Step[45],0.665613,0.728969,0.271031
2024-05-13 01:10:06.668222,Step[46],0.664937,0.737665,0.262335
2024-05-13 01:10:41.229675,Step[47],0.676109,0.732697,0.267303
2024-05-13 01:11:15.784599,Step[48],0.669297,0.742299,0.257701
2024-05-13 01:11:50.365080,Step[49],0.661491,0.730288,0.269712
2024-05-13 01:12:24.909922,Step[50],0.657378,0.734102,0.265898
2024-05-13 01:12:59.456087,Step[51],0.650189,0.726570,0.273430
2024-05-13 01:13:34.148410,Step[52],0.649285,0.726461,0.273539
2024-05-13 01:14:08.857804,Step[53],0.651658,0.718885,0.281115
2024-05-13 01:14:43.483929,Step[54],0.657038,0.728440,0.271560
2024-05-13 01:15:18.042660,Step[55],0.642818,0.718902,0.281098
2024-05-13 01:15:52.632471,Step[56],0.645566,0.721120,0.278880
2024-05-13 01:16:27.188628,Step[57],0.642818,0.726940,0.273060
2024-05-13 01:17:01.774411,Step[58],0.638781,0.719303,0.280697
2024-05-13 01:17:36.368480,Step[59],0.641265,0.719195,0.280805
2024-05-13 01:18:10.960645,Step[60],0.637413,0.719383,0.280617
2024-05-13 01:18:45.485232,Step[61],0.629929,0.727305,0.272695
2024-05-13 01:19:20.037037,Step[62],0.623328,0.716804,0.283196
2024-05-13 01:19:54.741990,Step[63],0.629143,0.715433,0.284567
2024-05-13 01:20:29.436594,Step[64],0.623362,0.708724,0.291276
2024-05-13 01:21:04.120180,Step[65],0.616910,0.715399,0.284601
2024-05-13 01:21:38.691661,Step[66],0.624663,0.698060,0.301940
2024-05-13 01:22:13.390729,Step[67],0.615143,0.689989,0.310011
2024-05-13 01:22:48.021971,Step[68],0.602889,0.696626,0.303374
2024-05-13 01:23:22.540359,Step[69],0.597824,0.681068,0.318932
2024-05-13 01:23:57.181026,Step[70],0.601426,0.675335,0.324665
2024-05-13 01:24:31.795848,Step[71],0.592392,0.674321,0.325679
2024-05-13 01:25:06.378836,Step[72],0.584582,0.659834,0.340166
2024-05-13 01:25:41.048789,Step[73],0.583990,0.685197,0.314803
2024-05-13 01:26:15.585498,Step[74],0.579410,0.644442,0.355558
2024-05-13 01:26:50.184390,Step[75],0.561903,0.632125,0.367875
2024-05-13 01:27:24.846471,Step[76],0.562610,0.630302,0.369698
2024-05-13 01:27:59.492401,Step[77],0.557318,0.640533,0.359467
2024-05-13 01:28:34.063465,Step[78],0.544004,0.619281,0.380719
2024-05-13 01:29:08.726608,Step[79],0.543912,0.608323,0.391677
2024-05-13 01:29:43.433881,Step[80],0.526304,0.588135,0.411865
2024-05-13 01:30:18.138103,Step[81],0.514245,0.583358,0.416642
2024-05-13 01:30:52.765454,Step[82],0.518140,0.590411,0.409589
2024-05-13 01:31:27.309987,Step[83],0.509902,0.571102,0.428898
2024-05-13 01:32:01.950288,Step[84],0.502202,0.562531,0.437469
2024-05-13 01:32:36.600778,Step[85],0.511139,0.562249,0.437751
2024-05-13 01:33:11.218194,Step[86],0.483197,0.553380,0.446620
2024-05-13 01:33:45.965467,Step[87],0.483629,0.533925,0.466075
2024-05-13 01:34:20.614627,Step[88],0.501295,0.547877,0.452123
2024-05-13 01:34:55.159305,Step[89],0.458654,0.512064,0.487936
2024-05-13 01:35:29.730214,Step[90],0.495697,0.553906,0.446094
2024-05-13 01:36:04.280215,Step[91],0.469988,0.523210,0.476790
2024-05-13 01:36:38.776423,Step[92],0.457018,0.500981,0.499019
2024-05-13 01:37:13.403768,Step[93],0.450736,0.494733,0.505267
2024-05-13 01:37:48.082388,Step[94],0.457622,0.515572,0.484428
2024-05-13 01:38:22.550041,Step[95],0.443808,0.487500,0.512500
2024-05-13 01:38:57.167453,Step[96],0.437825,0.509542,0.490458
2024-05-13 01:39:31.685036,Step[97],0.429647,0.513913,0.486087
2024-05-13 01:40:06.246299,Step[98],0.438234,0.514506,0.485494
2024-05-13 01:40:40.715582,Step[99],0.424492,0.497218,0.502782
2024-05-13 01:41:15.222558,Step[100],0.413508,0.467385,0.532615
2024-05-13 01:41:49.909701,Step[101],0.416958,0.474521,0.525479
2024-05-13 01:42:24.485884,Step[102],0.399475,0.471461,0.528539
2024-05-13 01:42:59.008361,Step[103],0.398598,0.464874,0.535126
2024-05-13 01:43:33.617316,Step[104],0.383436,0.459330,0.540670
2024-05-13 01:44:08.195997,Step[105],0.396634,0.466776,0.533224
2024-05-13 01:44:42.717200,Step[106],0.385164,0.466550,0.533450
2024-05-13 01:45:17.286088,Step[107],0.389837,0.472626,0.527374
2024-05-13 01:45:51.975766,Step[108],0.424921,0.478467,0.521533
2024-05-13 01:46:26.575939,Step[109],0.402843,0.462640,0.537360
2024-05-13 01:47:01.105982,Step[110],0.383103,0.496378,0.503622
2024-05-13 01:47:35.598668,Step[111],0.433151,0.461852,0.538148
2024-05-13 01:48:10.173949,Step[112],0.387423,0.449214,0.550786
2024-05-13 01:48:44.791515,Step[113],0.369837,0.465806,0.534194
2024-05-13 01:49:19.289658,Step[114],0.355412,0.442385,0.557615
2024-05-13 01:49:53.981740,Step[115],0.342702,0.429816,0.570184
2024-05-13 01:50:28.614702,Step[116],0.364433,0.438223,0.561777
2024-05-13 01:51:03.173972,Step[117],0.350685,0.427077,0.572923
2024-05-13 01:51:37.737052,Step[118],0.391053,0.450599,0.549401
2024-05-13 01:52:12.276849,Step[119],0.370380,0.446042,0.553958
2024-05-13 01:52:46.829496,Step[120],0.384019,0.447948,0.552052
2024-05-13 01:53:21.340864,Step[121],0.370568,0.449685,0.550315
2024-05-13 01:53:55.967365,Step[122],0.379146,0.439687,0.560313
2024-05-13 01:54:30.513885,Step[123],0.363535,0.432712,0.567288
2024-05-13 01:55:04.956050,Step[124],0.368929,0.444449,0.555551
2024-05-13 01:55:39.490866,Step[125],0.354043,0.429570,0.570430
2024-05-13 01:56:14.023174,Step[126],0.354324,0.433370,0.566630
2024-05-13 01:56:48.591159,Step[127],0.345124,0.427124,0.572876
2024-05-13 01:57:23.129058,Step[128],0.329019,0.428631,0.571369
2024-05-13 01:57:57.742383,Step[129],0.374910,0.458339,0.541661
2024-05-13 01:58:32.358050,Step[130],0.381015,0.518142,0.481858
2024-05-13 01:59:06.951539,Step[131],0.368408,0.409921,0.590079
2024-05-13 01:59:41.598003,Step[132],0.346765,0.418607,0.581393
2024-05-13 02:00:16.225029,Step[133],0.329012,0.417534,0.582466
2024-05-13 02:00:50.741099,Step[134],0.328094,0.413256,0.586744
2024-05-13 02:01:25.303361,Step[135],0.333015,0.407366,0.592634
2024-05-13 02:02:00.040188,Step[136],0.317751,0.402572,0.597428
2024-05-13 02:02:34.747223,Step[137],0.322735,0.448583,0.551417
2024-05-13 02:03:09.352235,Step[138],0.322307,0.412872,0.587128
2024-05-13 02:03:43.958400,Step[139],0.321233,0.423613,0.576387
2024-05-13 02:04:18.501400,Step[140],0.321958,0.418226,0.581774
2024-05-13 02:04:53.058788,Step[141],0.316003,0.410819,0.589181
2024-05-13 02:05:27.559422,Step[142],0.312651,0.406978,0.593022
2024-05-13 02:06:02.139767,Step[143],0.318812,0.436895,0.563105
2024-05-13 02:06:36.704459,Step[144],0.324525,0.421632,0.578368
2024-05-13 02:07:11.202057,Step[145],0.310737,0.418272,0.581728
2024-05-13 02:07:45.842817,Step[146],0.312320,0.415487,0.584513
2024-05-13 02:08:20.382558,Step[147],0.326219,0.411742,0.588258
2024-05-13 02:08:54.957446,Step[148],0.325842,0.419000,0.581000
2024-05-13 02:09:29.501315,Step[149],0.313975,0.423439,0.576561
2024-05-13 02:10:04.123738,Step[150],0.306430,0.423337,0.576663
2024-05-13 02:10:38.723953,Step[151],0.308388,0.410080,0.589920
2024-05-13 02:11:13.321279,Step[152],0.301918,0.405805,0.594195
2024-05-13 02:11:47.857050,Step[153],0.330406,0.414540,0.585460
2024-05-13 02:12:22.444738,Step[154],0.296258,0.422915,0.577085
2024-05-13 02:12:56.988873,Step[155],0.301127,0.426893,0.573107
2024-05-13 02:13:31.556410,Step[156],0.304927,0.432568,0.567432
2024-05-13 02:14:06.219552,Step[157],0.328635,0.423173,0.576827
2024-05-13 02:14:40.760395,Step[158],0.306552,0.418058,0.581942
2024-05-13 02:15:15.332297,Step[159],0.308001,0.402256,0.597744
2024-05-13 02:15:50.027176,Step[160],0.294675,0.412195,0.587805
2024-05-13 02:16:24.588641,Step[161],0.302096,0.418376,0.581624
2024-05-13 02:16:59.184583,Step[162],0.318008,0.411000,0.589000
2024-05-13 02:17:33.741776,Step[163],0.299332,0.409202,0.590798
2024-05-13 02:18:08.391891,Step[164],0.294251,0.418270,0.581730
2024-05-13 02:18:42.973910,Step[165],0.301717,0.411621,0.588379
2024-05-13 02:19:17.528676,Step[166],0.300633,0.409676,0.590324
2024-05-13 02:19:52.141243,Step[167],0.304329,0.413593,0.586407
2024-05-13 02:20:26.679707,Step[168],0.311035,0.410974,0.589026
2024-05-13 02:21:01.331940,Step[169],0.294640,0.405741,0.594259
2024-05-13 02:21:35.951002,Step[170],0.292627,0.404313,0.595687
2024-05-13 02:22:10.542573,Step[171],0.289776,0.407161,0.592839
2024-05-13 02:22:45.077978,Step[172],0.298825,0.405183,0.594817
2024-05-13 02:23:19.608302,Step[173],0.287011,0.409795,0.590205
2024-05-13 02:23:54.126095,Step[174],0.297007,0.408016,0.591984
2024-05-13 02:24:28.615728,Step[175],0.284268,0.397424,0.602576
2024-05-13 02:25:03.217346,Step[176],0.282822,0.404201,0.595799
2024-05-13 02:25:37.752411,Step[177],0.295590,0.406362,0.593638
2024-05-13 02:26:12.369294,Step[178],0.287611,0.407325,0.592675
2024-05-13 02:26:46.940427,Step[179],0.279075,0.401035,0.598965
2024-05-13 02:27:21.474161,Step[180],0.296369,0.405996,0.594004
2024-05-13 02:27:55.948472,Step[181],0.288937,0.405545,0.594455
2024-05-13 02:28:30.474080,Step[182],0.282942,0.406847,0.593153
2024-05-13 02:29:04.961212,Step[183],0.282638,0.404982,0.595018
2024-05-13 02:29:39.431826,Step[184],0.284747,0.403853,0.596147
2024-05-13 02:30:13.964523,Step[185],0.292088,0.406964,0.593036
2024-05-13 02:30:48.444393,Step[186],0.285773,0.397257,0.602743
2024-05-13 02:31:23.071818,Step[187],0.287952,0.401813,0.598187
2024-05-13 02:31:57.641638,Step[188],0.282605,0.405425,0.594575
2024-05-13 02:32:32.184453,Step[189],0.288460,0.404643,0.595357
2024-05-13 02:33:06.727010,Step[190],0.289256,0.389988,0.610012
2024-05-13 02:33:41.479829,Step[191],0.292756,0.395242,0.604758
2024-05-13 02:34:16.009284,Step[192],0.276109,0.392469,0.607531
2024-05-13 02:34:50.507217,Step[193],0.291099,0.392893,0.607107
2024-05-13 02:35:25.039929,Step[194],0.283998,0.434171,0.565829
2024-05-13 02:35:59.614248,Step[195],0.285290,0.390244,0.609756
2024-05-13 02:36:34.093773,Step[196],0.281020,0.393174,0.606826
2024-05-13 02:37:08.572129,Step[197],0.276567,0.387963,0.612037
2024-05-13 02:37:43.333196,Step[198],0.282411,0.394750,0.605250
2024-05-13 02:38:17.868463,Step[199],0.282903,0.399543,0.600457
2024-05-13 02:38:52.366568,Step[200],0.270118,0.395265,0.604735
2024-05-13 02:39:26.857844,Step[201],0.278878,0.396077,0.603923
2024-05-13 02:40:01.375965,Step[202],0.280659,0.395878,0.604122
2024-05-13 02:40:35.873625,Step[203],0.280262,0.391790,0.608210
2024-05-13 02:41:10.351429,Step[204],0.280641,0.388545,0.611455
2024-05-13 02:41:44.896936,Step[205],0.267724,0.390178,0.609822
2024-05-13 02:42:19.407732,Step[206],0.273028,0.392457,0.607543
2024-05-13 02:42:53.874476,Step[207],0.279850,0.400559,0.599441
2024-05-13 02:43:28.415994,Step[208],0.273885,0.389436,0.610564
2024-05-13 02:44:02.990335,Step[209],0.273223,0.393486,0.606514
2024-05-13 02:44:37.499171,Step[210],0.276231,0.393037,0.606963
2024-05-13 02:45:11.997738,Step[211],0.278355,0.398613,0.601387
2024-05-13 02:45:46.582307,Step[212],0.278718,0.411542,0.588458
2024-05-13 02:46:21.130195,Step[213],0.282644,0.404615,0.595385
2024-05-13 02:46:55.664295,Step[214],0.266280,0.403815,0.596185
2024-05-13 02:47:30.220849,Step[215],0.275878,0.401124,0.598876
2024-05-13 02:48:04.741870,Step[216],0.284955,0.401542,0.598458
2024-05-13 02:48:39.329328,Step[217],0.278686,0.394177,0.605823
2024-05-13 02:49:13.898354,Step[218],0.273642,0.389788,0.610212
2024-05-13 02:49:48.479629,Step[219],0.274468,0.389574,0.610426
2024-05-13 02:50:23.050817,Step[220],0.274448,0.389764,0.610236
2024-05-13 02:50:57.557322,Step[221],0.275408,0.397815,0.602185
2024-05-13 02:51:32.110979,Step[222],0.272500,0.390739,0.609261
2024-05-13 02:52:06.655927,Step[223],0.267310,0.396019,0.603981
2024-05-13 02:52:41.172227,Step[224],0.266275,0.388306,0.611694
2024-05-13 02:53:15.755082,Step[225],0.270733,0.391441,0.608559
