Time,Step,Train loss,Validation loss,Validation dice
2024-05-13 18:30:24.665031,Step[1],0.958835,0.923017,0.076983
2024-05-13 18:31:02.193962,Step[2],0.909752,0.872482,0.127518
2024-05-13 18:31:39.318163,Step[3],0.870901,0.839855,0.160145
2024-05-13 18:32:16.449007,Step[4],0.846927,0.822305,0.177695
2024-05-13 18:32:53.643453,Step[5],0.834302,0.824030,0.175970
2024-05-13 18:33:30.946792,Step[6],0.825985,0.789066,0.210934
2024-05-13 18:34:08.001893,Step[7],0.805776,0.760431,0.239569
2024-05-13 18:34:45.208046,Step[8],0.788750,0.749558,0.250442
2024-05-13 18:35:22.530412,Step[9],0.780752,0.752482,0.247518
2024-05-13 18:35:59.609559,Step[10],0.775065,0.738342,0.261658
2024-05-13 18:36:36.455275,Step[11],0.766144,0.744755,0.255245
2024-05-13 18:37:13.314698,Step[12],0.764107,0.738570,0.261430
2024-05-13 18:37:50.118396,Step[13],0.759756,0.730242,0.269758
2024-05-13 18:38:27.094504,Step[14],0.755014,0.723982,0.276018
2024-05-13 18:39:04.468484,Step[15],0.749178,0.720514,0.279486
2024-05-13 18:39:41.829106,Step[16],0.746389,0.733268,0.266732
2024-05-13 18:40:18.927490,Step[17],0.753237,0.723690,0.276310
2024-05-13 18:40:55.759688,Step[18],0.746916,0.715359,0.284641
2024-05-13 18:41:32.785214,Step[19],0.741685,0.716540,0.283460
2024-05-13 18:42:09.947785,Step[20],0.739690,0.710451,0.289549
2024-05-13 18:42:47.020190,Step[21],0.741617,0.707160,0.292840
2024-05-13 18:43:24.312263,Step[22],0.734325,0.712944,0.287056
2024-05-13 18:44:01.352778,Step[23],0.732513,0.701364,0.298636
2024-05-13 18:44:38.122570,Step[24],0.730105,0.701476,0.298524
2024-05-13 18:45:14.755768,Step[25],0.731549,0.698796,0.301204
2024-05-13 18:45:49.963498,Step[26],0.730072,0.701620,0.298380
2024-05-13 18:46:25.444208,Step[27],0.723818,0.706140,0.293860
2024-05-13 18:47:00.485572,Step[28],0.723308,0.701353,0.298647
2024-05-13 18:47:35.391441,Step[29],0.724033,0.705146,0.294854
2024-05-13 18:48:10.390888,Step[30],0.719708,0.692753,0.307247
2024-05-13 18:48:45.560512,Step[31],0.720202,0.693051,0.306949
2024-05-13 18:49:20.828259,Step[32],0.717856,0.714634,0.285366
2024-05-13 18:49:56.008928,Step[33],0.717594,0.690943,0.309057
2024-05-13 18:50:31.281048,Step[34],0.718231,0.690199,0.309801
2024-05-13 18:51:06.854200,Step[35],0.712642,0.689908,0.310092
2024-05-13 18:51:42.539722,Step[36],0.709403,0.688070,0.311930
2024-05-13 18:52:18.031583,Step[37],0.712799,0.690593,0.309407
2024-05-13 18:52:53.338425,Step[38],0.708561,0.683782,0.316218
2024-05-13 18:53:28.406283,Step[39],0.709319,0.686014,0.313986
2024-05-13 18:54:03.817214,Step[40],0.707289,0.685117,0.314883
2024-05-13 18:54:38.925478,Step[41],0.704953,0.685087,0.314913
2024-05-13 18:55:14.096917,Step[42],0.706735,0.689388,0.310612
2024-05-13 18:55:48.986691,Step[43],0.706748,0.690369,0.309631
2024-05-13 18:56:24.166333,Step[44],0.700753,0.681900,0.318100
2024-05-13 18:56:59.270381,Step[45],0.700821,0.674015,0.325985
2024-05-13 18:57:34.727697,Step[46],0.695172,0.693319,0.306681
2024-05-13 18:58:10.176229,Step[47],0.699344,0.675761,0.324239
2024-05-13 18:58:45.161507,Step[48],0.699812,0.680045,0.319955
2024-05-13 18:59:20.256883,Step[49],0.694261,0.689271,0.310729
2024-05-13 18:59:55.162556,Step[50],0.697958,0.679461,0.320539
2024-05-13 19:00:30.096905,Step[51],0.695005,0.677037,0.322963
2024-05-13 19:01:06.524517,Step[52],0.693381,0.675957,0.324043
2024-05-13 19:01:43.435178,Step[53],0.693832,0.680569,0.319431
2024-05-13 19:02:20.405349,Step[54],0.692919,0.670177,0.329823
2024-05-13 19:02:57.283336,Step[55],0.690614,0.670092,0.329908
2024-05-13 19:03:34.531234,Step[56],0.687884,0.670159,0.329841
2024-05-13 19:04:11.612974,Step[57],0.686353,0.665821,0.334179
2024-05-13 19:04:48.660868,Step[58],0.686659,0.675242,0.324758
2024-05-13 19:05:26.036622,Step[59],0.682927,0.671168,0.328832
2024-05-13 19:06:03.661745,Step[60],0.681493,0.673914,0.326086
2024-05-13 19:06:40.545453,Step[61],0.682250,0.665973,0.334027
2024-05-13 19:07:17.512696,Step[62],0.681846,0.667902,0.332098
2024-05-13 19:07:54.432700,Step[63],0.680472,0.668181,0.331819
2024-05-13 19:08:31.546652,Step[64],0.676952,0.667359,0.332641
2024-05-13 19:09:08.645640,Step[65],0.680600,0.661435,0.338565
2024-05-13 19:09:45.854789,Step[66],0.673203,0.667102,0.332898
2024-05-13 19:10:23.021312,Step[67],0.674997,0.659546,0.340454
2024-05-13 19:11:00.369921,Step[68],0.672819,0.655646,0.344354
2024-05-13 19:11:37.801929,Step[69],0.671424,0.655489,0.344511
2024-05-13 19:12:15.060344,Step[70],0.675427,0.654375,0.345625
2024-05-13 19:12:52.841254,Step[71],0.663838,0.643315,0.356685
2024-05-13 19:13:30.019025,Step[72],0.667709,0.655964,0.344036
2024-05-13 19:14:07.553996,Step[73],0.656343,0.649703,0.350297
2024-05-13 19:14:44.548180,Step[74],0.657962,0.638888,0.361112
2024-05-13 19:15:21.678939,Step[75],0.646211,0.641723,0.358277
2024-05-13 19:15:59.109754,Step[76],0.646791,0.639635,0.360365
2024-05-13 19:16:35.934119,Step[77],0.639439,0.625507,0.374493
2024-05-13 19:17:13.062001,Step[78],0.638326,0.633950,0.366050
2024-05-13 19:17:50.731102,Step[79],0.631788,0.619443,0.380557
2024-05-13 19:18:27.716602,Step[80],0.632137,0.628594,0.371406
2024-05-13 19:19:05.061671,Step[81],0.621722,0.596116,0.403884
2024-05-13 19:19:42.028143,Step[82],0.610853,0.607227,0.392773
2024-05-13 19:20:19.110648,Step[83],0.611325,0.601564,0.398436
2024-05-13 19:20:56.405804,Step[84],0.597961,0.592398,0.407602
2024-05-13 19:21:33.556103,Step[85],0.606397,0.591680,0.408320
2024-05-13 19:22:10.996642,Step[86],0.594455,0.597883,0.402117
2024-05-13 19:22:48.089696,Step[87],0.596998,0.582844,0.417156
2024-05-13 19:23:25.034923,Step[88],0.581708,0.569682,0.430318
2024-05-13 19:24:02.365474,Step[89],0.570799,0.537846,0.462154
2024-05-13 19:24:39.397331,Step[90],0.570545,0.591427,0.408573
2024-05-13 19:25:16.412671,Step[91],0.558157,0.541409,0.458591
2024-05-13 19:25:53.225734,Step[92],0.552962,0.541621,0.458379
2024-05-13 19:26:29.992565,Step[93],0.539040,0.537403,0.462597
2024-05-13 19:27:06.906039,Step[94],0.529001,0.510122,0.489878
2024-05-13 19:27:44.089225,Step[95],0.530516,0.513196,0.486804
2024-05-13 19:28:21.276457,Step[96],0.516105,0.505789,0.494211
2024-05-13 19:28:58.223084,Step[97],0.541521,0.496677,0.503323
2024-05-13 19:29:35.511032,Step[98],0.510815,0.499245,0.500755
2024-05-13 19:30:12.719085,Step[99],0.511146,0.536329,0.463671
2024-05-13 19:30:49.671639,Step[100],0.522788,0.614019,0.385981
2024-05-13 19:31:26.546036,Step[101],0.544879,0.485776,0.514224
2024-05-13 19:32:03.598101,Step[102],0.512896,0.478620,0.521380
2024-05-13 19:32:40.992125,Step[103],0.487342,0.479712,0.520288
2024-05-13 19:33:18.038080,Step[104],0.472564,0.481724,0.518276
2024-05-13 19:33:54.814011,Step[105],0.507395,0.480117,0.519883
2024-05-13 19:34:31.654628,Step[106],0.473384,0.479268,0.520732
2024-05-13 19:35:08.397091,Step[107],0.460651,0.441928,0.558072
2024-05-13 19:35:45.235546,Step[108],0.464592,0.438857,0.561143
2024-05-13 19:36:22.334540,Step[109],0.457617,0.433464,0.566536
2024-05-13 19:36:59.404638,Step[110],0.461713,0.458853,0.541147
2024-05-13 19:37:36.368619,Step[111],0.456293,0.453721,0.546279
2024-05-13 19:38:13.124035,Step[112],0.452296,0.444426,0.555574
2024-05-13 19:38:49.762776,Step[113],0.446229,0.441222,0.558778
2024-05-13 19:39:26.533134,Step[114],0.444682,0.424241,0.575759
2024-05-13 19:40:03.324537,Step[115],0.452577,0.424252,0.575748
2024-05-13 19:40:40.284933,Step[116],0.437180,0.427470,0.572530
2024-05-13 19:41:17.088395,Step[117],0.437046,0.424687,0.575313
2024-05-13 19:41:53.979086,Step[118],0.430755,0.428895,0.571105
2024-05-13 19:42:30.794255,Step[119],0.439790,0.441458,0.558542
2024-05-13 19:43:07.606149,Step[120],0.423598,0.438633,0.561367
2024-05-13 19:43:44.423583,Step[121],0.442358,0.416063,0.583937
2024-05-13 19:44:21.265066,Step[122],0.421668,0.419436,0.580564
2024-05-13 19:44:58.395688,Step[123],0.425459,0.420346,0.579654
2024-05-13 19:45:35.247966,Step[124],0.422835,0.432860,0.567140
2024-05-13 19:46:12.110574,Step[125],0.421833,0.436632,0.563368
2024-05-13 19:46:48.900352,Step[126],0.419205,0.432362,0.567638
2024-05-13 19:47:25.706460,Step[127],0.417709,0.429540,0.570460
2024-05-13 19:48:02.443419,Step[128],0.423399,0.436397,0.563603
2024-05-13 19:48:39.203421,Step[129],0.424481,0.440780,0.559220
2024-05-13 19:49:15.935712,Step[130],0.413356,0.437335,0.562665
2024-05-13 19:49:52.863109,Step[131],0.410715,0.437979,0.562021
2024-05-13 19:50:29.709735,Step[132],0.417968,0.439440,0.560560
2024-05-13 19:51:06.414924,Step[133],0.417473,0.407652,0.592348
2024-05-13 19:51:43.270533,Step[134],0.415259,0.415072,0.584928
2024-05-13 19:52:20.370567,Step[135],0.398107,0.401625,0.598375
2024-05-13 19:52:57.305674,Step[136],0.395369,0.424874,0.575126
2024-05-13 19:53:34.509254,Step[137],0.399496,0.423181,0.576819
2024-05-13 19:54:11.410245,Step[138],0.415587,0.427913,0.572087
2024-05-13 19:54:48.126524,Step[139],0.399105,0.401565,0.598435
2024-05-13 19:55:25.012486,Step[140],0.406680,0.424570,0.575430
2024-05-13 19:56:02.123181,Step[141],0.406785,0.423630,0.576370
2024-05-13 19:56:38.970693,Step[142],0.398749,0.430038,0.569962
2024-05-13 19:57:15.840805,Step[143],0.405918,0.430477,0.569523
2024-05-13 19:57:52.695340,Step[144],0.406838,0.419077,0.580923
2024-05-13 19:58:29.502876,Step[145],0.389480,0.409513,0.590487
2024-05-13 19:59:06.430356,Step[146],0.404978,0.430216,0.569784
2024-05-13 19:59:43.170758,Step[147],0.394539,0.405716,0.594284
2024-05-13 20:00:19.891652,Step[148],0.395405,0.409260,0.590740
2024-05-13 20:00:56.653540,Step[149],0.398047,0.391329,0.608671
2024-05-13 20:01:33.495085,Step[150],0.385598,0.407310,0.592690
2024-05-13 20:02:10.644021,Step[151],0.380246,0.409467,0.590533
2024-05-13 20:02:47.447095,Step[152],0.394085,0.414740,0.585260
2024-05-13 20:03:24.191122,Step[153],0.389404,0.414710,0.585290
2024-05-13 20:04:01.145184,Step[154],0.394786,0.417381,0.582619
2024-05-13 20:04:37.911708,Step[155],0.393143,0.427206,0.572794
2024-05-13 20:05:14.577340,Step[156],0.389339,0.414276,0.585724
2024-05-13 20:05:51.514109,Step[157],0.380841,0.412687,0.587313
2024-05-13 20:06:28.208809,Step[158],0.395284,0.395722,0.604278
2024-05-13 20:07:05.039183,Step[159],0.381834,0.404947,0.595053
2024-05-13 20:07:41.701839,Step[160],0.386416,0.410909,0.589091
2024-05-13 20:08:18.532716,Step[161],0.378847,0.421198,0.578802
2024-05-13 20:08:55.313230,Step[162],0.379718,0.422698,0.577302
2024-05-13 20:09:32.210358,Step[163],0.378148,0.410689,0.589311
2024-05-13 20:10:09.139289,Step[164],0.369135,0.410485,0.589515
2024-05-13 20:10:45.931901,Step[165],0.385831,0.414888,0.585112
2024-05-13 20:11:22.710458,Step[166],0.384682,0.408343,0.591657
2024-05-13 20:11:59.501324,Step[167],0.385323,0.407292,0.592708
2024-05-13 20:12:36.161769,Step[168],0.376843,0.398930,0.601070
2024-05-13 20:13:12.908854,Step[169],0.380522,0.410043,0.589957
2024-05-13 20:13:49.735585,Step[170],0.381098,0.407607,0.592393
2024-05-13 20:14:26.593848,Step[171],0.382809,0.411864,0.588136
2024-05-13 20:15:03.436138,Step[172],0.380108,0.405400,0.594600
2024-05-13 20:15:40.160894,Step[173],0.387461,0.397992,0.602008
2024-05-13 20:16:17.076727,Step[174],0.386249,0.391599,0.608401
2024-05-13 20:16:53.742824,Step[175],0.373972,0.391247,0.608753
2024-05-13 20:17:30.761439,Step[176],0.382274,0.389864,0.610136
2024-05-13 20:18:07.832536,Step[177],0.372530,0.397430,0.602570
2024-05-13 20:18:44.948744,Step[178],0.373722,0.409906,0.590094
2024-05-13 20:19:21.814586,Step[179],0.380530,0.401941,0.598059
2024-05-13 20:19:58.741298,Step[180],0.377183,0.401806,0.598194
2024-05-13 20:20:35.532777,Step[181],0.370426,0.405970,0.594030
2024-05-13 20:21:12.275253,Step[182],0.370683,0.393795,0.606205
2024-05-13 20:21:49.078514,Step[183],0.370696,0.385826,0.614174
2024-05-13 20:22:25.969821,Step[184],0.369528,0.384019,0.615981
2024-05-13 20:23:03.387902,Step[185],0.372123,0.382753,0.617247
2024-05-13 20:23:40.522886,Step[186],0.371919,0.383963,0.616037
2024-05-13 20:24:17.377597,Step[187],0.372741,0.388036,0.611964
2024-05-13 20:24:54.014949,Step[188],0.381754,0.405083,0.594917
2024-05-13 20:25:30.760476,Step[189],0.370218,0.405382,0.594618
2024-05-13 20:26:07.491055,Step[190],0.372752,0.383999,0.616001
2024-05-13 20:26:44.344665,Step[191],0.375629,0.383779,0.616221
2024-05-13 20:27:21.140754,Step[192],0.366382,0.400114,0.599886
2024-05-13 20:27:57.910069,Step[193],0.369654,0.400560,0.599440
2024-05-13 20:28:34.760084,Step[194],0.370878,0.383213,0.616787
2024-05-13 20:29:11.584615,Step[195],0.366675,0.393853,0.606147
2024-05-13 20:29:48.538485,Step[196],0.365140,0.390850,0.609150
2024-05-13 20:30:25.287963,Step[197],0.367851,0.393893,0.606107
2024-05-13 20:31:02.152074,Step[198],0.370978,0.396459,0.603541
2024-05-13 20:31:39.013359,Step[199],0.369733,0.389782,0.610218
2024-05-13 20:32:15.906895,Step[200],0.370196,0.384314,0.615686
2024-05-13 20:32:52.624382,Step[201],0.372120,0.377456,0.622544
2024-05-13 20:33:30.158239,Step[202],0.363450,0.402905,0.597095
2024-05-13 20:34:07.526400,Step[203],0.370025,0.390807,0.609193
2024-05-13 20:34:44.437130,Step[204],0.365850,0.397364,0.602636
2024-05-13 20:35:21.257935,Step[205],0.366492,0.388709,0.611291
2024-05-13 20:35:57.940632,Step[206],0.375893,0.391700,0.608300
2024-05-13 20:36:34.696133,Step[207],0.374108,0.389718,0.610282
2024-05-13 20:37:11.566537,Step[208],0.372050,0.390348,0.609652
2024-05-13 20:37:48.513914,Step[209],0.367020,0.387848,0.612152
2024-05-13 20:38:25.370836,Step[210],0.374107,0.383855,0.616145
2024-05-13 20:39:02.242042,Step[211],0.364285,0.391343,0.608657
2024-05-13 20:39:38.986536,Step[212],0.370678,0.379523,0.620477
2024-05-13 20:40:15.877365,Step[213],0.371659,0.377859,0.622141
2024-05-13 20:40:52.634913,Step[214],0.373214,0.384272,0.615728
2024-05-13 20:41:29.547134,Step[215],0.365592,0.392582,0.607418
2024-05-13 20:42:06.308178,Step[216],0.366652,0.385650,0.614350
2024-05-13 20:42:42.950930,Step[217],0.366063,0.384732,0.615268
2024-05-13 20:43:19.744080,Step[218],0.371245,0.380231,0.619769
2024-05-13 20:43:56.620396,Step[219],0.356545,0.385636,0.614364
2024-05-13 20:44:33.529978,Step[220],0.367680,0.385130,0.614870
2024-05-13 20:45:10.343057,Step[221],0.366784,0.386200,0.613800
2024-05-13 20:45:47.258433,Step[222],0.368076,0.383718,0.616282
2024-05-13 20:46:24.057923,Step[223],0.367267,0.383194,0.616806
2024-05-13 20:47:00.858714,Step[224],0.360202,0.383420,0.616580
2024-05-13 20:47:37.743034,Step[225],0.363971,0.380367,0.619633
2024-05-13 20:48:14.572326,Step[226],0.368720,0.391028,0.608972
2024-05-13 20:48:51.254160,Step[227],0.363678,0.381406,0.618594
2024-05-13 20:49:28.019781,Step[228],0.362301,0.383636,0.616364
2024-05-13 20:50:04.967135,Step[229],0.361719,0.384811,0.615189
2024-05-13 20:50:41.721242,Step[230],0.367182,0.381276,0.618724
2024-05-13 20:51:18.442075,Step[231],0.374686,0.386703,0.613297
2024-05-13 20:51:55.390311,Step[232],0.367976,0.387895,0.612105
2024-05-13 20:52:32.172114,Step[233],0.369228,0.385111,0.614889
2024-05-13 20:53:08.912486,Step[234],0.363556,0.382928,0.617072
2024-05-13 20:53:45.785390,Step[235],0.354103,0.381053,0.618947
2024-05-13 20:54:22.594783,Step[236],0.356861,0.386159,0.613841
2024-05-13 20:54:59.484507,Step[237],0.370040,0.382686,0.617314
2024-05-13 20:55:36.288041,Step[238],0.362173,0.373893,0.626107
2024-05-13 20:56:13.170061,Step[239],0.367929,0.385462,0.614538
2024-05-13 20:56:50.411480,Step[240],0.382227,0.386809,0.613191
2024-05-13 20:57:27.245123,Step[241],0.362459,0.387936,0.612064
2024-05-13 20:58:04.168667,Step[242],0.353178,0.386918,0.613082
2024-05-13 20:58:40.939370,Step[243],0.362999,0.384617,0.615383
2024-05-13 20:59:17.562292,Step[244],0.364318,0.382925,0.617075
2024-05-13 20:59:54.252355,Step[245],0.362369,0.383311,0.616689
2024-05-13 21:00:30.940816,Step[246],0.361933,0.381509,0.618491
2024-05-13 21:01:07.741480,Step[247],0.359454,0.384245,0.615755
2024-05-13 21:01:44.485037,Step[248],0.365582,0.389873,0.610127
2024-05-13 21:02:21.270538,Step[249],0.363004,0.393813,0.606187
2024-05-13 21:02:58.000039,Step[250],0.361629,0.381256,0.618744
2024-05-13 21:03:34.867819,Step[251],0.365584,0.383414,0.616586
2024-05-13 21:04:11.659203,Step[252],0.366981,0.380126,0.619874
2024-05-13 21:04:48.403938,Step[253],0.356018,0.385971,0.614029
2024-05-13 21:05:25.194181,Step[254],0.360648,0.385426,0.614574
2024-05-13 21:06:02.009880,Step[255],0.363282,0.388439,0.611561
2024-05-13 21:06:38.863422,Step[256],0.366039,0.391140,0.608860
2024-05-13 21:07:15.557472,Step[257],0.361820,0.386921,0.613079
2024-05-13 21:07:52.304327,Step[258],0.365283,0.385577,0.614423
2024-05-13 21:08:29.233973,Step[259],0.360982,0.385028,0.614972
2024-05-13 21:09:05.991091,Step[260],0.361299,0.390258,0.609742
2024-05-13 21:09:42.780137,Step[261],0.355466,0.402106,0.597894
2024-05-13 21:10:19.505200,Step[262],0.358049,0.393972,0.606028
2024-05-13 21:10:56.131018,Step[263],0.362334,0.392820,0.607180
2024-05-13 21:11:32.878457,Step[264],0.358632,0.398097,0.601903
2024-05-13 21:12:09.654515,Step[265],0.364914,0.406678,0.593322
2024-05-13 21:12:46.476179,Step[266],0.356294,0.398537,0.601463
2024-05-13 21:13:23.145473,Step[267],0.368237,0.404131,0.595869
2024-05-13 21:13:59.919442,Step[268],0.362760,0.405283,0.594717
2024-05-13 21:14:36.660029,Step[269],0.362417,0.395793,0.604207
2024-05-13 21:15:13.385399,Step[270],0.361554,0.387232,0.612768
2024-05-13 21:15:50.132093,Step[271],0.362951,0.391521,0.608479
2024-05-13 21:16:26.696967,Step[272],0.355588,0.389925,0.610075
2024-05-13 21:17:03.477986,Step[273],0.366302,0.400724,0.599276
2024-05-13 21:17:40.171946,Step[274],0.352313,0.391379,0.608621
2024-05-13 21:18:16.860827,Step[275],0.356207,0.401225,0.598775
2024-05-13 21:18:53.475893,Step[276],0.362643,0.391919,0.608081
2024-05-13 21:19:30.277622,Step[277],0.361344,0.391253,0.608747
2024-05-13 21:20:07.231006,Step[278],0.373023,0.392197,0.607803
2024-05-13 21:20:43.957614,Step[279],0.361861,0.382624,0.617376
2024-05-13 21:21:20.746256,Step[280],0.365731,0.398932,0.601068
2024-05-13 21:21:57.596881,Step[281],0.363745,0.395140,0.604860
2024-05-13 21:22:34.274460,Step[282],0.366709,0.394127,0.605873
2024-05-13 21:23:11.014321,Step[283],0.367384,0.384551,0.615449
2024-05-13 21:23:47.706715,Step[284],0.369610,0.389777,0.610223
2024-05-13 21:24:24.465678,Step[285],0.353111,0.385234,0.614766
2024-05-13 21:25:01.154786,Step[286],0.360624,0.386636,0.613364
2024-05-13 21:25:37.896617,Step[287],0.362233,0.386635,0.613365
2024-05-13 21:26:14.636442,Step[288],0.365262,0.383778,0.616222
2024-05-13 21:26:51.334012,Step[289],0.365196,0.386544,0.613456
2024-05-13 21:27:28.093903,Step[290],0.359063,0.394033,0.605967
2024-05-13 21:28:04.858445,Step[291],0.357046,0.390535,0.609465
2024-05-13 21:28:41.511174,Step[292],0.362989,0.396097,0.603903
2024-05-13 21:29:18.308520,Step[293],0.357018,0.382272,0.617728
2024-05-13 21:29:55.213812,Step[294],0.366482,0.383427,0.616573
2024-05-13 21:30:32.075555,Step[295],0.360400,0.381930,0.618070
2024-05-13 21:31:08.777072,Step[296],0.364503,0.389633,0.610367
2024-05-13 21:31:45.577474,Step[297],0.358337,0.386741,0.613259
2024-05-13 21:32:22.360430,Step[298],0.356464,0.380892,0.619108
2024-05-13 21:32:59.155694,Step[299],0.354896,0.383250,0.616750
2024-05-13 21:33:35.872018,Step[300],0.368593,0.384939,0.615061
