Time,Step,Train loss,Validation loss,Validation dice
2024-05-16 11:35:24.525593,Step[1],0.969472,0.931891,0.068109
2024-05-16 11:36:01.980940,Step[2],0.915158,0.834205,0.165795
2024-05-16 11:36:34.277261,Step[3],0.862046,0.799810,0.200190
2024-05-16 11:37:06.729044,Step[4],0.835299,0.803419,0.196581
2024-05-16 11:37:39.213898,Step[5],0.818367,0.773205,0.226795
2024-05-16 11:38:11.743083,Step[6],0.803902,0.766172,0.233828
2024-05-16 11:38:44.279985,Step[7],0.795986,0.762095,0.237905
2024-05-16 11:39:16.782414,Step[8],0.792344,0.756555,0.243445
2024-05-16 11:39:49.200490,Step[9],0.786585,0.755185,0.244815
2024-05-16 11:40:21.720675,Step[10],0.781796,0.746557,0.253443
2024-05-16 11:40:54.248327,Step[11],0.774265,0.746082,0.253918
2024-05-16 11:41:26.715282,Step[12],0.773896,0.750408,0.249592
2024-05-16 11:41:59.218730,Step[13],0.770007,0.733969,0.266031
2024-05-16 11:42:31.694116,Step[14],0.763909,0.734851,0.265149
2024-05-16 11:43:04.104830,Step[15],0.763787,0.743567,0.256433
2024-05-16 11:43:36.480210,Step[16],0.761160,0.727510,0.272490
2024-05-16 11:44:08.986052,Step[17],0.760893,0.733891,0.266109
2024-05-16 11:44:41.367583,Step[18],0.755957,0.739726,0.260274
2024-05-16 11:45:13.776837,Step[19],0.751859,0.725335,0.274665
2024-05-16 11:45:46.363850,Step[20],0.747783,0.717509,0.282491
2024-05-16 11:46:18.925648,Step[21],0.747175,0.716017,0.283983
2024-05-16 11:46:51.461594,Step[22],0.752689,0.732737,0.267263
2024-05-16 11:47:23.941913,Step[23],0.745140,0.711386,0.288614
2024-05-16 11:47:56.534290,Step[24],0.739398,0.726975,0.273025
2024-05-16 11:48:28.952180,Step[25],0.739140,0.712031,0.287969
2024-05-16 11:49:01.410905,Step[26],0.737318,0.711692,0.288308
2024-05-16 11:49:33.851742,Step[27],0.747132,0.738715,0.261285
2024-05-16 11:50:06.296311,Step[28],0.758530,0.713667,0.286333
2024-05-16 11:50:38.697620,Step[29],0.742565,0.709446,0.290554
2024-05-16 11:51:11.213454,Step[30],0.737559,0.707966,0.292034
2024-05-16 11:51:43.761838,Step[31],0.730890,0.710722,0.289278
2024-05-16 11:52:16.154268,Step[32],0.731704,0.710217,0.289783
2024-05-16 11:52:48.586308,Step[33],0.727761,0.706834,0.293166
2024-05-16 11:53:21.091165,Step[34],0.723842,0.707864,0.292136
2024-05-16 11:53:53.604292,Step[35],0.723618,0.700977,0.299023
2024-05-16 11:54:26.072278,Step[36],0.721321,0.699337,0.300663
2024-05-16 11:54:58.564924,Step[37],0.720796,0.697206,0.302794
2024-05-16 11:55:31.085676,Step[38],0.719097,0.706202,0.293798
2024-05-16 11:56:03.494574,Step[39],0.722448,0.698905,0.301095
2024-05-16 11:56:35.809341,Step[40],0.715384,0.699332,0.300668
2024-05-16 11:57:08.244683,Step[41],0.716349,0.698179,0.301821
2024-05-16 11:57:40.702773,Step[42],0.709068,0.698719,0.301281
2024-05-16 11:58:13.128639,Step[43],0.705408,0.697642,0.302358
2024-05-16 11:58:45.487709,Step[44],0.703681,0.689262,0.310738
2024-05-16 11:59:17.994596,Step[45],0.703339,0.686999,0.313001
2024-05-16 11:59:50.489179,Step[46],0.707509,0.690607,0.309393
