Time,Step,Train loss,Validation loss,Validation dice
2024-05-23 13:35:49.291169,Step[1],0.961163,0.932318,0.067682
2024-05-23 13:36:20.936568,Step[2],0.918091,0.882803,0.117197
2024-05-23 13:36:52.640374,Step[3],0.880092,0.849304,0.150696
2024-05-23 13:37:24.585416,Step[4],0.852419,0.831615,0.168385
2024-05-23 13:37:56.228921,Step[5],0.828893,0.809423,0.190577
2024-05-23 13:38:27.868258,Step[6],0.818216,0.801155,0.198845
2024-05-23 13:38:59.807576,Step[7],0.809084,0.794285,0.205715
2024-05-23 13:39:31.817151,Step[8],0.797966,0.785856,0.214144
2024-05-23 13:40:03.501636,Step[9],0.793677,0.789200,0.210800
2024-05-23 13:40:35.083062,Step[10],0.786995,0.777847,0.222153
2024-05-23 13:41:07.214333,Step[11],0.782521,0.773249,0.226751
2024-05-23 13:41:39.023050,Step[12],0.778765,0.774130,0.225870
2024-05-23 13:42:10.686598,Step[13],0.775287,0.762087,0.237913
2024-05-23 13:42:42.430237,Step[14],0.767229,0.759233,0.240767
2024-05-23 13:43:14.810645,Step[15],0.766154,0.757951,0.242049
2024-05-23 13:43:46.527017,Step[16],0.762791,0.750943,0.249057
2024-05-23 13:44:18.217826,Step[17],0.758268,0.743825,0.256175
2024-05-23 13:44:50.011073,Step[18],0.754340,0.752051,0.247949
2024-05-23 13:45:21.993564,Step[19],0.751028,0.739710,0.260290
2024-05-23 13:45:53.729810,Step[20],0.741764,0.739456,0.260544
2024-05-23 13:46:25.497748,Step[21],0.742736,0.733497,0.266503
2024-05-23 13:46:57.533147,Step[22],0.736103,0.733476,0.266524
2024-05-23 13:47:29.643446,Step[23],0.735862,0.729475,0.270525
2024-05-23 13:48:01.376285,Step[24],0.726080,0.714415,0.285585
2024-05-23 13:48:33.083434,Step[25],0.721608,0.719267,0.280733
2024-05-23 13:49:05.082226,Step[26],0.720093,0.711191,0.288809
2024-05-23 13:49:36.911700,Step[27],0.719451,0.719932,0.280068
2024-05-23 13:50:08.547552,Step[28],0.715607,0.714624,0.285376
2024-05-23 13:50:40.200876,Step[29],0.710957,0.711373,0.288627
2024-05-23 13:51:12.467001,Step[30],0.709407,0.706567,0.293433
2024-05-23 13:51:44.167345,Step[31],0.706565,0.701914,0.298086
2024-05-23 13:52:15.830900,Step[32],0.701209,0.702464,0.297536
2024-05-23 13:52:47.491722,Step[33],0.700939,0.699097,0.300903
2024-05-23 13:53:19.673663,Step[34],0.700751,0.697789,0.302211
2024-05-23 13:53:51.354311,Step[35],0.693104,0.692634,0.307366
