Time,Step,Train loss,Validation loss,Validation dice
2024-05-22 22:24:24.299388,Step[1],0.965213,0.917288,0.082712
2024-05-22 22:24:56.768275,Step[2],0.911179,0.841109,0.158891
2024-05-22 22:25:29.190164,Step[3],0.878350,0.803452,0.196548
2024-05-22 22:26:01.614219,Step[4],0.841902,0.774289,0.225711
2024-05-22 22:26:33.989350,Step[5],0.826145,0.764934,0.235066
2024-05-22 22:27:06.527732,Step[6],0.805519,0.751412,0.248588
2024-05-22 22:27:38.877958,Step[7],0.801283,0.762109,0.237891
2024-05-22 22:28:11.075810,Step[8],0.789011,0.746012,0.253988
2024-05-22 22:28:43.424631,Step[9],0.775841,0.726566,0.273434
2024-05-22 22:29:15.901483,Step[10],0.779619,0.727912,0.272088
2024-05-22 22:29:48.111642,Step[11],0.774043,0.729138,0.270862
2024-05-22 22:30:20.347273,Step[12],0.762247,0.713017,0.286983
2024-05-22 22:30:52.799266,Step[13],0.755449,0.727939,0.272061
2024-05-22 22:31:25.049288,Step[14],0.755061,0.713675,0.286325
2024-05-22 22:31:57.205618,Step[15],0.750457,0.704017,0.295983
2024-05-22 22:32:29.612197,Step[16],0.749857,0.696888,0.303112
2024-05-22 22:33:02.112002,Step[17],0.743330,0.711355,0.288645
2024-05-22 22:33:34.436714,Step[18],0.737070,0.704115,0.295885
2024-05-22 22:34:07.210256,Step[19],0.740382,0.696753,0.303247
2024-05-22 22:34:39.958688,Step[20],0.730883,0.692813,0.307187
2024-05-22 22:35:12.986811,Step[21],0.739322,0.697584,0.302416
2024-05-22 22:35:45.596391,Step[22],0.732866,0.674950,0.325050
2024-05-22 22:36:18.569835,Step[23],0.725047,0.689179,0.310821
2024-05-22 22:36:51.236798,Step[24],0.724069,0.689326,0.310674
2024-05-22 22:37:23.911541,Step[25],0.720566,0.673377,0.326623
2024-05-22 22:37:56.712980,Step[26],0.725709,0.696394,0.303606
2024-05-22 22:38:29.408941,Step[27],0.718747,0.671033,0.328967
2024-05-22 22:39:02.403442,Step[28],0.718214,0.697172,0.302828
2024-05-22 22:39:35.098697,Step[29],0.710551,0.672052,0.327948
2024-05-22 22:40:07.693341,Step[30],0.714951,0.672626,0.327374
2024-05-22 22:40:40.174596,Step[31],0.713130,0.674175,0.325825
2024-05-22 22:41:12.883852,Step[32],0.710475,0.680024,0.319976
2024-05-22 22:41:45.346584,Step[33],0.711002,0.687967,0.312033
2024-05-22 22:42:17.799252,Step[34],0.704526,0.669477,0.330523
2024-05-22 22:42:50.471690,Step[35],0.705250,0.666376,0.333624
2024-05-22 22:43:23.250593,Step[36],0.710607,0.688848,0.311152
2024-05-22 22:43:55.840890,Step[37],0.704241,0.678229,0.321771
2024-05-22 22:44:28.361795,Step[38],0.695395,0.661459,0.338541
2024-05-22 22:45:01.240443,Step[39],0.689523,0.643133,0.356867
2024-05-22 22:45:34.111825,Step[40],0.688727,0.649530,0.350470
2024-05-22 22:46:06.643073,Step[41],0.694607,0.660328,0.339672
2024-05-22 22:46:39.281533,Step[42],0.695983,0.658190,0.341810
2024-05-22 22:47:12.067335,Step[43],0.689773,0.646774,0.353226
2024-05-22 22:47:44.601647,Step[44],0.679425,0.652186,0.347814
2024-05-22 22:48:17.330430,Step[45],0.696886,0.707915,0.292085
2024-05-22 22:48:49.940167,Step[46],0.691145,0.653028,0.346972
2024-05-22 22:49:22.674424,Step[47],0.678153,0.651325,0.348675
2024-05-22 22:49:55.340054,Step[48],0.675630,0.646634,0.353366
2024-05-22 22:50:27.969094,Step[49],0.676596,0.642906,0.357094
2024-05-22 22:51:00.955659,Step[50],0.667834,0.640869,0.359131
2024-05-22 22:51:34.080536,Step[51],0.665928,0.644611,0.355389
2024-05-22 22:52:06.526470,Step[52],0.666002,0.639247,0.360753
2024-05-22 22:52:39.212834,Step[53],0.665914,0.637950,0.362050
2024-05-22 22:53:12.064823,Step[54],0.662882,0.646419,0.353581
2024-05-22 22:53:44.596387,Step[55],0.655663,0.637888,0.362112
2024-05-22 22:54:17.393071,Step[56],0.657337,0.645398,0.354602
2024-05-22 22:54:50.034018,Step[57],0.661585,0.633419,0.366581
2024-05-22 22:55:23.021615,Step[58],0.661087,0.655171,0.344829
2024-05-22 22:55:55.705565,Step[59],0.656230,0.649786,0.350214
2024-05-22 22:56:28.299363,Step[60],0.653445,0.626159,0.373841
2024-05-22 22:57:01.115389,Step[61],0.648489,0.630430,0.369570
2024-05-22 22:57:33.799198,Step[62],0.651847,0.624407,0.375593
2024-05-22 22:58:06.600249,Step[63],0.646715,0.620304,0.379696
2024-05-22 22:58:39.424483,Step[64],0.648710,0.622897,0.377103
2024-05-22 22:59:12.237136,Step[65],0.646553,0.632389,0.367611
2024-05-22 22:59:44.910237,Step[66],0.634037,0.621941,0.378059
2024-05-22 23:00:17.424159,Step[67],0.633595,0.616293,0.383707
2024-05-22 23:00:50.221093,Step[68],0.622368,0.606422,0.393578
2024-05-22 23:01:23.189856,Step[69],0.628869,0.604927,0.395073
2024-05-22 23:01:55.908823,Step[70],0.611941,0.616028,0.383972
2024-05-22 23:02:28.564808,Step[71],0.624637,0.597415,0.402585
2024-05-22 23:03:01.567734,Step[72],0.599273,0.555630,0.444370
2024-05-22 23:03:34.409025,Step[73],0.598623,0.578197,0.421803
2024-05-22 23:04:06.972833,Step[74],0.582798,0.525481,0.474519
2024-05-22 23:04:39.770521,Step[75],0.566918,0.562712,0.437288
2024-05-22 23:05:12.525836,Step[76],0.527011,0.536861,0.463139
