Time,Step,Train loss,Validation loss,Validation dice
2024-05-05 08:31:06.464480,Step[1],0.961844,0.910402,0.089598
2024-05-05 08:31:49.622693,Step[2],0.901674,0.851302,0.148698
2024-05-05 08:32:30.079634,Step[3],0.857788,0.817365,0.182635
2024-05-05 08:33:12.265631,Step[4],0.830285,0.811032,0.188968
2024-05-05 08:33:54.883280,Step[5],0.814508,0.801756,0.198244
2024-05-05 08:34:37.068642,Step[6],0.804126,0.795467,0.204533
2024-05-05 08:35:17.463520,Step[7],0.799422,0.791064,0.208936
2024-05-05 08:35:56.933152,Step[8],0.789310,0.787176,0.212824
2024-05-05 08:36:35.324152,Step[9],0.784493,0.784687,0.215313
2024-05-05 08:37:13.778930,Step[10],0.779442,0.779737,0.220263
2024-05-05 08:37:48.930603,Step[11],0.772089,0.778752,0.221248
2024-05-05 08:38:23.642127,Step[12],0.766983,0.774608,0.225392
2024-05-05 08:38:58.259137,Step[13],0.762146,0.770670,0.229330
2024-05-05 08:39:32.914436,Step[14],0.764011,0.767877,0.232123
2024-05-05 08:40:07.584337,Step[15],0.757837,0.768318,0.231682
2024-05-05 08:40:42.097156,Step[16],0.752178,0.760871,0.239129
2024-05-05 08:41:16.738830,Step[17],0.751509,0.764804,0.235196
2024-05-05 08:41:51.281111,Step[18],0.747937,0.759212,0.240788
2024-05-05 08:42:25.884405,Step[19],0.742692,0.754858,0.245142
2024-05-05 08:43:00.487489,Step[20],0.738271,0.746776,0.253224
2024-05-05 08:43:35.137782,Step[21],0.733670,0.757172,0.242828
2024-05-05 08:44:09.678212,Step[22],0.733554,0.748614,0.251386
2024-05-05 08:44:44.230833,Step[23],0.729500,0.747522,0.252478
2024-05-05 08:45:18.759217,Step[24],0.727856,0.744798,0.255202
2024-05-05 08:45:53.425137,Step[25],0.727642,0.747917,0.252083
2024-05-05 08:46:27.969120,Step[26],0.725949,0.733091,0.266909
2024-05-05 08:47:02.580517,Step[27],0.716872,0.731396,0.268604
2024-05-05 08:47:37.209418,Step[28],0.712464,0.732330,0.267670
2024-05-05 08:48:11.705432,Step[29],0.715024,0.731611,0.268389
2024-05-05 08:48:46.210045,Step[30],0.712048,0.722757,0.277243
