Time,Step,Train loss,Validation loss,Validation dice
2024-06-15 00:49:11.394235,Step[1],0.948482,0.883316,0.116684
2024-06-15 00:50:10.347099,Step[2],0.877754,0.831448,0.168552
2024-06-15 00:51:09.120211,Step[3],0.838635,0.813237,0.186763
2024-06-15 00:52:07.992963,Step[4],0.823474,0.785002,0.214998
2024-06-15 00:53:06.773376,Step[5],0.797229,0.774414,0.225586
2024-06-15 00:54:05.696234,Step[6],0.789121,0.775047,0.224953
2024-06-15 00:55:04.278263,Step[7],0.777648,0.775797,0.224203
2024-06-15 00:56:02.916997,Step[8],0.775250,0.766433,0.233567
2024-06-15 00:57:01.675007,Step[9],0.766388,0.761684,0.238316
2024-06-15 00:58:00.579807,Step[10],0.762174,0.752760,0.247240
2024-06-15 00:58:59.329898,Step[11],0.761315,0.755763,0.244237
2024-06-15 00:59:57.993492,Step[12],0.753885,0.757323,0.242677
2024-06-15 01:00:56.585521,Step[13],0.744190,0.745107,0.254893
2024-06-15 01:01:55.508079,Step[14],0.743770,0.751120,0.248880
2024-06-15 01:02:54.108249,Step[15],0.741444,0.738643,0.261357
2024-06-15 01:03:52.986309,Step[16],0.730275,0.750126,0.249874
2024-06-15 01:04:51.593769,Step[17],0.724927,0.720329,0.279671
2024-06-15 01:05:50.491615,Step[18],0.727810,0.732914,0.267086
2024-06-15 01:06:49.100763,Step[19],0.725098,0.721915,0.278085
2024-06-15 01:07:47.786347,Step[20],0.719864,0.720461,0.279539
2024-06-15 01:08:46.357865,Step[21],0.712365,0.714540,0.285460
2024-06-15 01:09:45.259425,Step[22],0.707409,0.700851,0.299149
2024-06-15 01:10:44.065376,Step[23],0.706651,0.708125,0.291875
2024-06-15 01:11:42.715194,Step[24],0.706990,0.697324,0.302676
2024-06-15 01:12:41.497834,Step[25],0.696058,0.701942,0.298058
2024-06-15 01:13:40.187231,Step[26],0.698333,0.708157,0.291843
2024-06-15 01:14:38.796465,Step[27],0.689378,0.706875,0.293125
2024-06-15 01:15:37.461108,Step[28],0.694003,0.699169,0.300831
2024-06-15 01:16:36.066140,Step[29],0.693705,0.710002,0.289998
2024-06-15 01:17:34.721940,Step[30],0.677643,0.697833,0.302167
2024-06-15 01:18:33.335180,Step[31],0.684620,0.708372,0.291628
2024-06-15 01:19:31.947293,Step[32],0.678961,0.699194,0.300806
2024-06-15 01:20:30.587521,Step[33],0.674039,0.689827,0.310173
2024-06-15 01:21:29.443399,Step[34],0.672377,0.704986,0.295014
2024-06-15 01:22:28.096638,Step[35],0.668831,0.699048,0.300952
2024-06-15 01:23:26.724857,Step[36],0.663743,0.689807,0.310193
2024-06-15 01:24:25.556934,Step[37],0.662472,0.699510,0.300490
2024-06-15 01:25:24.196580,Step[38],0.662734,0.684172,0.315828
2024-06-15 01:26:23.069463,Step[39],0.654525,0.684227,0.315773
2024-06-15 01:27:21.683845,Step[40],0.649526,0.701441,0.298559
2024-06-15 01:28:20.350731,Step[41],0.650832,0.687701,0.312299
2024-06-15 01:29:18.940757,Step[42],0.650582,0.698414,0.301586
2024-06-15 01:30:17.634658,Step[43],0.646275,0.687967,0.312033
2024-06-15 01:31:16.214892,Step[44],0.642878,0.689540,0.310460
2024-06-15 01:32:14.925716,Step[45],0.637153,0.684144,0.315856
2024-06-15 01:33:13.710175,Step[46],0.634847,0.693945,0.306055
2024-06-15 01:34:12.447504,Step[47],0.626719,0.682835,0.317165
2024-06-15 01:35:11.224994,Step[48],0.634270,0.681418,0.318582
2024-06-15 01:36:10.079811,Step[49],0.630634,0.682442,0.317558
2024-06-15 01:37:08.672334,Step[50],0.625005,0.682467,0.317533
2024-06-15 01:38:07.442985,Step[51],0.617313,0.677876,0.322124
2024-06-15 01:39:06.232259,Step[52],0.626729,0.679791,0.320209
2024-06-15 01:40:04.913440,Step[53],0.618135,0.674179,0.325821
2024-06-15 01:41:03.683625,Step[54],0.620699,0.676746,0.323254
2024-06-15 01:42:02.409495,Step[55],0.612976,0.682808,0.317192
2024-06-15 01:43:00.983914,Step[56],0.612526,0.673663,0.326337
2024-06-15 01:43:59.883905,Step[57],0.604042,0.671357,0.328643
2024-06-15 01:44:58.673794,Step[58],0.603702,0.671790,0.328210
2024-06-15 01:45:57.433779,Step[59],0.605814,0.666888,0.333112
2024-06-15 01:46:56.240387,Step[60],0.599952,0.658638,0.341362
2024-06-15 01:47:55.115366,Step[61],0.589710,0.649360,0.350640
2024-06-15 01:48:53.915862,Step[62],0.588372,0.668423,0.331577
2024-06-15 01:49:52.633822,Step[63],0.599211,0.654873,0.345127
2024-06-15 01:50:51.256446,Step[64],0.585245,0.649397,0.350603
2024-06-15 01:51:49.955582,Step[65],0.589509,0.644480,0.355520
2024-06-15 01:52:48.774946,Step[66],0.579354,0.637362,0.362638
2024-06-15 01:53:47.697990,Step[67],0.586546,0.643960,0.356040
2024-06-15 01:54:46.291099,Step[68],0.573076,0.644059,0.355941
2024-06-15 01:55:44.991905,Step[69],0.559943,0.625654,0.374346
2024-06-15 01:56:43.794610,Step[70],0.573383,0.647771,0.352229
2024-06-15 01:57:42.497175,Step[71],0.551197,0.646839,0.353161
2024-06-15 01:58:41.078443,Step[72],0.558442,0.623563,0.376437
2024-06-15 01:59:39.927119,Step[73],0.566127,0.623284,0.376716
2024-06-15 02:00:38.705115,Step[74],0.554718,0.608656,0.391344
2024-06-15 02:01:37.615458,Step[75],0.536062,0.609972,0.390028
2024-06-15 02:02:36.210936,Step[76],0.530286,0.605374,0.394626
2024-06-15 02:03:34.985131,Step[77],0.538857,0.604956,0.395044
2024-06-15 02:04:33.809904,Step[78],0.519244,0.599237,0.400763
2024-06-15 02:05:32.682132,Step[79],0.508063,0.600983,0.399017
2024-06-15 02:06:31.316425,Step[80],0.514996,0.577622,0.422378
2024-06-15 02:07:30.131671,Step[81],0.493001,0.588440,0.411560
2024-06-15 02:08:28.745531,Step[82],0.482722,0.610365,0.389635
2024-06-15 02:09:27.382640,Step[83],0.483259,0.595768,0.404232
2024-06-15 02:10:26.015888,Step[84],0.473210,0.575128,0.424872
2024-06-15 02:11:24.837775,Step[85],0.475171,0.547956,0.452044
2024-06-15 02:12:23.662215,Step[86],0.484246,0.567780,0.432220
2024-06-15 02:13:22.312312,Step[87],0.499224,0.562094,0.437906
2024-06-15 02:14:20.987731,Step[88],0.461295,0.560679,0.439321
2024-06-15 02:15:19.622048,Step[89],0.453286,0.543387,0.456613
2024-06-15 02:16:18.486124,Step[90],0.446248,0.542889,0.457111
2024-06-15 02:17:17.271390,Step[91],0.468115,0.550677,0.449323
2024-06-15 02:18:15.971306,Step[92],0.438544,0.536935,0.463065
2024-06-15 02:19:14.798867,Step[93],0.447967,0.540363,0.459637
2024-06-15 02:20:13.479133,Step[94],0.440956,0.544943,0.455057
2024-06-15 02:21:12.066286,Step[95],0.440174,0.533930,0.466070
2024-06-15 02:22:10.937005,Step[96],0.430397,0.527068,0.472932
2024-06-15 02:23:09.726625,Step[97],0.442448,0.510860,0.489140
2024-06-15 02:24:08.589804,Step[98],0.405107,0.528403,0.471597
2024-06-15 02:25:07.183088,Step[99],0.463294,0.606816,0.393184
2024-06-15 02:26:05.870903,Step[100],0.458996,0.567668,0.432332
2024-06-15 02:27:04.425304,Step[101],0.427181,0.509711,0.490289
2024-06-15 02:28:03.281871,Step[102],0.407528,0.505060,0.494940
2024-06-15 02:29:02.070240,Step[103],0.383912,0.519472,0.480528
2024-06-15 02:30:00.799765,Step[104],0.384588,0.502491,0.497509
2024-06-15 02:30:59.634767,Step[105],0.400836,0.495707,0.504293
2024-06-15 02:31:58.532126,Step[106],0.399992,0.485776,0.514224
2024-06-15 02:32:57.311064,Step[107],0.396432,0.490600,0.509400
2024-06-15 02:33:56.015909,Step[108],0.373608,0.486265,0.513735
2024-06-15 02:34:54.600146,Step[109],0.362169,0.478844,0.521156
2024-06-15 02:35:53.487020,Step[110],0.373080,0.478192,0.521808
2024-06-15 02:36:52.247424,Step[111],0.365988,0.477776,0.522224
2024-06-15 02:37:51.142517,Step[112],0.354232,0.474731,0.525269
2024-06-15 02:38:49.922658,Step[113],0.357593,0.487209,0.512791
2024-06-15 02:39:48.579005,Step[114],0.368019,0.511011,0.488989
2024-06-15 02:40:47.172144,Step[115],0.335894,0.503403,0.496597
2024-06-15 02:41:45.868220,Step[116],0.357272,0.479697,0.520303
2024-06-15 02:42:44.442329,Step[117],0.351166,0.475482,0.524518
2024-06-15 02:43:43.097815,Step[118],0.349945,0.470506,0.529494
2024-06-15 02:44:41.832915,Step[119],0.343190,0.466853,0.533147
2024-06-15 02:45:40.692661,Step[120],0.339897,0.485555,0.514445
2024-06-15 02:46:39.299550,Step[121],0.346368,0.481383,0.518617
2024-06-15 02:47:37.958620,Step[122],0.323351,0.469617,0.530383
2024-06-15 02:48:36.580809,Step[123],0.315482,0.476652,0.523348
2024-06-15 02:49:35.223902,Step[124],0.316183,0.488748,0.511252
2024-06-15 02:50:33.836382,Step[125],0.332381,0.488076,0.511924
2024-06-15 02:51:32.444222,Step[126],0.314796,0.460391,0.539609
2024-06-15 02:52:31.267321,Step[127],0.317734,0.453650,0.546350
2024-06-15 02:53:30.088598,Step[128],0.304079,0.460672,0.539328
2024-06-15 02:54:28.752710,Step[129],0.297080,0.445418,0.554582
2024-06-15 02:55:27.580145,Step[130],0.309799,0.458969,0.541031
2024-06-15 02:56:26.216536,Step[131],0.305158,0.454410,0.545590
2024-06-15 02:57:24.870592,Step[132],0.325483,0.444370,0.555630
2024-06-15 02:58:23.717880,Step[133],0.316121,0.445383,0.554617
2024-06-15 02:59:22.363185,Step[134],0.310648,0.437301,0.562699
2024-06-15 03:00:21.243602,Step[135],0.307404,0.456937,0.543063
2024-06-15 03:01:19.861493,Step[136],0.316674,0.466699,0.533301
2024-06-15 03:02:18.534576,Step[137],0.307758,0.455340,0.544660
2024-06-15 03:03:17.135436,Step[138],0.288000,0.437060,0.562940
2024-06-15 03:04:16.002182,Step[139],0.309007,0.480187,0.519813
2024-06-15 03:05:14.590116,Step[140],0.303006,0.460561,0.539439
2024-06-15 03:06:13.306852,Step[141],0.312479,0.441820,0.558180
2024-06-15 03:07:11.878151,Step[142],0.305200,0.449114,0.550886
2024-06-15 03:08:10.546179,Step[143],0.301487,0.426158,0.573842
2024-06-15 03:09:09.340787,Step[144],0.292687,0.448213,0.551787
2024-06-15 03:10:08.046744,Step[145],0.297460,0.430971,0.569029
2024-06-15 03:11:06.628085,Step[146],0.291901,0.434987,0.565013
2024-06-15 03:12:05.272594,Step[147],0.286319,0.454719,0.545281
2024-06-15 03:13:03.869432,Step[148],0.283357,0.453856,0.546144
2024-06-15 03:14:02.540935,Step[149],0.290599,0.429505,0.570495
2024-06-15 03:15:01.146087,Step[150],0.288506,0.433495,0.566505
2024-06-15 03:15:59.838829,Step[151],0.279426,0.440449,0.559551
2024-06-15 03:16:58.426655,Step[152],0.278794,0.432591,0.567409
2024-06-15 03:17:57.140948,Step[153],0.277620,0.429986,0.570014
2024-06-15 03:18:55.759792,Step[154],0.287365,0.424877,0.575123
2024-06-15 03:19:54.584654,Step[155],0.282647,0.439400,0.560600
2024-06-15 03:20:53.192828,Step[156],0.282906,0.438435,0.561565
2024-06-15 03:21:51.891324,Step[157],0.274896,0.423445,0.576555
2024-06-15 03:22:50.705016,Step[158],0.285123,0.425988,0.574012
2024-06-15 03:23:49.416194,Step[159],0.276853,0.421601,0.578399
2024-06-15 03:24:48.273844,Step[160],0.285970,0.427417,0.572583
2024-06-15 03:25:46.989953,Step[161],0.287689,0.409241,0.590759
2024-06-15 03:26:45.750816,Step[162],0.267692,0.425253,0.574747
2024-06-15 03:27:44.401856,Step[163],0.267037,0.416459,0.583541
2024-06-15 03:28:42.954071,Step[164],0.273413,0.410503,0.589497
2024-06-15 03:29:41.659128,Step[165],0.275604,0.427641,0.572359
2024-06-15 03:30:40.225507,Step[166],0.271614,0.414761,0.585239
2024-06-15 03:31:38.860437,Step[167],0.270861,0.436996,0.563004
2024-06-15 03:32:37.468007,Step[168],0.272211,0.416602,0.583398
2024-06-15 03:33:36.118707,Step[169],0.269933,0.425038,0.574962
2024-06-15 03:34:34.734156,Step[170],0.265811,0.428555,0.571445
2024-06-15 03:35:33.365509,Step[171],0.267385,0.430861,0.569139
2024-06-15 03:36:32.024616,Step[172],0.265929,0.425559,0.574441
2024-06-15 03:37:30.673615,Step[173],0.265929,0.429636,0.570364
2024-06-15 03:38:29.297508,Step[174],0.261874,0.416017,0.583983
2024-06-15 03:39:27.937593,Step[175],0.262331,0.428537,0.571463
2024-06-15 03:40:26.543125,Step[176],0.264630,0.414291,0.585709
2024-06-15 03:41:25.174051,Step[177],0.263790,0.432047,0.567953
2024-06-15 03:42:23.858742,Step[178],0.261144,0.422037,0.577963
2024-06-15 03:43:22.458695,Step[179],0.261835,0.411685,0.588315
2024-06-15 03:44:21.102158,Step[180],0.264113,0.411503,0.588497
2024-06-15 03:45:19.703185,Step[181],0.258148,0.401991,0.598009
2024-06-15 03:46:18.570170,Step[182],0.256547,0.427798,0.572202
2024-06-15 03:47:17.156506,Step[183],0.269517,0.404458,0.595542
2024-06-15 03:48:15.805206,Step[184],0.264032,0.413837,0.586163
2024-06-15 03:49:14.384361,Step[185],0.250533,0.422805,0.577195
2024-06-15 03:50:13.071997,Step[186],0.263652,0.423324,0.576676
2024-06-15 03:51:11.672087,Step[187],0.258824,0.409558,0.590442
2024-06-15 03:52:10.367135,Step[188],0.263246,0.416961,0.583039
2024-06-15 03:53:08.973799,Step[189],0.260387,0.412498,0.587502
2024-06-15 03:54:07.665734,Step[190],0.263893,0.427812,0.572188
2024-06-15 03:55:06.203722,Step[191],0.258432,0.437141,0.562859
2024-06-15 03:56:04.859851,Step[192],0.254815,0.412857,0.587143
2024-06-15 03:57:03.471161,Step[193],0.260793,0.413382,0.586618
2024-06-15 03:58:02.198482,Step[194],0.253491,0.417653,0.582347
2024-06-15 03:59:00.806621,Step[195],0.248794,0.402318,0.597682
2024-06-15 03:59:59.466731,Step[196],0.253231,0.407627,0.592373
2024-06-15 04:00:58.089025,Step[197],0.260395,0.410928,0.589072
2024-06-15 04:01:56.799745,Step[198],0.263909,0.407100,0.592900
2024-06-15 04:02:55.420657,Step[199],0.264454,0.416155,0.583845
2024-06-15 04:03:54.082396,Step[200],0.260024,0.420056,0.579944
2024-06-15 04:04:52.655981,Step[201],0.259986,0.413714,0.586286
2024-06-15 04:05:51.352432,Step[202],0.257997,0.415068,0.584932
2024-06-15 04:06:49.951026,Step[203],0.257788,0.405715,0.594285
2024-06-15 04:07:48.656301,Step[204],0.257576,0.415061,0.584939
2024-06-15 04:08:47.245985,Step[205],0.254350,0.408577,0.591423
2024-06-15 04:09:45.976917,Step[206],0.268330,0.408815,0.591185
2024-06-15 04:10:44.595489,Step[207],0.256715,0.411076,0.588924
2024-06-15 04:11:43.274717,Step[208],0.254773,0.407836,0.592164
2024-06-15 04:12:41.897086,Step[209],0.258733,0.415835,0.584165
2024-06-15 04:13:40.577938,Step[210],0.251612,0.417586,0.582414
2024-06-15 04:14:39.193024,Step[211],0.247855,0.413944,0.586056
2024-06-15 04:15:37.825348,Step[212],0.259038,0.415734,0.584266
2024-06-15 04:16:36.339820,Step[213],0.256730,0.408692,0.591308
2024-06-15 04:17:35.017965,Step[214],0.253935,0.416968,0.583032
2024-06-15 04:18:33.653336,Step[215],0.253452,0.404736,0.595264
2024-06-15 04:19:32.267620,Step[216],0.265555,0.409656,0.590344
2024-06-15 04:20:30.890040,Step[217],0.254729,0.409355,0.590645
2024-06-15 04:21:29.557882,Step[218],0.259098,0.418116,0.581884
2024-06-15 04:22:28.181548,Step[219],0.260765,0.409045,0.590955
2024-06-15 04:23:26.815980,Step[220],0.257887,0.407571,0.592429
2024-06-15 04:24:25.486390,Step[221],0.257166,0.407463,0.592537
2024-06-15 04:25:24.091310,Step[222],0.259619,0.423201,0.576799
2024-06-15 04:26:22.795599,Step[223],0.252876,0.417371,0.582629
2024-06-15 04:27:21.393199,Step[224],0.247883,0.416279,0.583721
2024-06-15 04:28:20.051187,Step[225],0.258349,0.417635,0.582365
2024-06-15 04:29:18.656309,Step[226],0.255844,0.414712,0.585288
2024-06-15 04:30:17.356117,Step[227],0.251006,0.409527,0.590473
2024-06-15 04:31:15.983406,Step[228],0.253407,0.417031,0.582969
2024-06-15 04:32:14.655297,Step[229],0.259096,0.414391,0.585609
2024-06-15 04:33:13.247570,Step[230],0.256979,0.414989,0.585011
2024-06-15 04:34:11.958132,Step[231],0.252100,0.413772,0.586228
2024-06-15 04:35:10.523096,Step[232],0.245993,0.407003,0.592997
2024-06-15 04:36:09.144709,Step[233],0.258653,0.423721,0.576279
2024-06-15 04:37:07.721591,Step[234],0.257993,0.421514,0.578486
2024-06-15 04:38:06.422364,Step[235],0.251646,0.413732,0.586268
2024-06-15 04:39:05.008762,Step[236],0.253471,0.424525,0.575475
2024-06-15 04:40:03.668980,Step[237],0.250176,0.414709,0.585291
2024-06-15 04:41:02.222778,Step[238],0.254996,0.414906,0.585094
