Time,Step,Train loss,Validation loss,Validation dice
2024-06-15 23:37:48.578696,Step[1],0.951126,0.913990,0.086010
2024-06-15 23:38:27.622880,Step[2],0.877235,0.856738,0.143262
2024-06-15 23:39:06.670204,Step[3],0.835258,0.839724,0.160276
2024-06-15 23:39:45.807911,Step[4],0.820236,0.839001,0.160999
2024-06-15 23:40:24.786255,Step[5],0.803229,0.821650,0.178350
2024-06-15 23:41:03.765954,Step[6],0.793039,0.817255,0.182745
2024-06-15 23:41:42.855088,Step[7],0.776095,0.812740,0.187260
2024-06-15 23:42:21.775868,Step[8],0.774631,0.820240,0.179760
2024-06-15 23:43:00.648945,Step[9],0.764038,0.802997,0.197003
2024-06-15 23:43:39.759641,Step[10],0.758066,0.798305,0.201695
2024-06-15 23:44:18.736775,Step[11],0.755695,0.797069,0.202931
2024-06-15 23:44:57.703652,Step[12],0.749358,0.799746,0.200254
2024-06-15 23:45:36.687061,Step[13],0.749356,0.792997,0.207003
2024-06-15 23:46:15.675614,Step[14],0.737625,0.789732,0.210268
2024-06-15 23:46:54.637680,Step[15],0.736533,0.788001,0.211999
2024-06-15 23:47:33.674574,Step[16],0.732578,0.782701,0.217299
2024-06-15 23:48:12.684122,Step[17],0.728573,0.785057,0.214943
2024-06-15 23:48:51.631433,Step[18],0.728130,0.778123,0.221877
2024-06-15 23:49:30.717939,Step[19],0.724036,0.779696,0.220304
2024-06-15 23:50:09.656420,Step[20],0.721720,0.771390,0.228610
2024-06-15 23:50:48.691658,Step[21],0.712120,0.774744,0.225256
2024-06-15 23:51:27.660552,Step[22],0.712065,0.771664,0.228336
2024-06-15 23:52:06.626142,Step[23],0.713123,0.773062,0.226938
2024-06-15 23:52:45.581609,Step[24],0.708305,0.767672,0.232328
2024-06-15 23:53:24.608867,Step[25],0.701735,0.764282,0.235718
2024-06-15 23:54:03.697237,Step[26],0.706518,0.760555,0.239445
2024-06-15 23:54:42.751346,Step[27],0.700771,0.760449,0.239551
2024-06-15 23:55:21.795422,Step[28],0.708382,0.761106,0.238894
2024-06-15 23:56:00.829381,Step[29],0.697259,0.765571,0.234429
2024-06-15 23:56:39.785092,Step[30],0.694907,0.757261,0.242739
2024-06-15 23:57:18.837597,Step[31],0.692613,0.752558,0.247442
2024-06-15 23:57:58.008631,Step[32],0.685445,0.758774,0.241226
2024-06-15 23:58:36.963784,Step[33],0.690705,0.748293,0.251707
2024-06-15 23:59:16.011857,Step[34],0.689563,0.752869,0.247131
2024-06-15 23:59:55.023431,Step[35],0.688594,0.747638,0.252362
2024-06-16 00:00:34.047027,Step[36],0.675332,0.743028,0.256972
2024-06-16 00:01:13.058394,Step[37],0.676875,0.754288,0.245712
2024-06-16 00:01:52.167543,Step[38],0.677793,0.745461,0.254539
2024-06-16 00:02:31.112365,Step[39],0.680619,0.749157,0.250843
2024-06-16 00:03:10.042357,Step[40],0.674463,0.738131,0.261869
2024-06-16 00:03:49.216967,Step[41],0.675148,0.742747,0.257253
2024-06-16 00:04:28.151735,Step[42],0.672377,0.737167,0.262833
2024-06-16 00:05:07.169781,Step[43],0.672543,0.741719,0.258281
2024-06-16 00:05:46.255650,Step[44],0.667508,0.734453,0.265547
2024-06-16 00:06:25.160210,Step[45],0.663019,0.731238,0.268762
2024-06-16 00:07:04.019008,Step[46],0.667979,0.742368,0.257632
2024-06-16 00:07:43.042679,Step[47],0.658993,0.732741,0.267259
2024-06-16 00:08:21.961689,Step[48],0.660991,0.737245,0.262755
2024-06-16 00:09:00.931948,Step[49],0.659258,0.728270,0.271730
2024-06-16 00:09:40.095482,Step[50],0.662505,0.726555,0.273445
2024-06-16 00:10:19.122129,Step[51],0.657911,0.727998,0.272002
2024-06-16 00:10:58.022216,Step[52],0.666360,0.727080,0.272920
2024-06-16 00:11:36.996776,Step[53],0.650417,0.724916,0.275084
2024-06-16 00:12:15.993809,Step[54],0.648154,0.721508,0.278492
2024-06-16 00:12:54.995192,Step[55],0.651806,0.716146,0.283854
2024-06-16 00:13:34.134263,Step[56],0.667193,0.729550,0.270450
2024-06-16 00:14:13.050031,Step[57],0.672016,0.712520,0.287480
2024-06-16 00:14:52.169842,Step[58],0.641693,0.714033,0.285967
2024-06-16 00:15:31.110120,Step[59],0.649218,0.691325,0.308675
2024-06-16 00:16:10.119399,Step[60],0.640432,0.681930,0.318070
2024-06-16 00:16:49.096617,Step[61],0.597464,0.681120,0.318880
2024-06-16 00:17:28.089450,Step[62],0.620591,0.679678,0.320322
