Time,Step,Train loss,Validation loss,Validation dice
2024-06-27 02:19:22.379308,Step[1],0.955183,0.938098,0.061902
2024-06-27 02:19:54.020692,Step[2],0.899705,0.881127,0.118873
2024-06-27 02:20:25.650197,Step[3],0.848852,0.838592,0.161408
2024-06-27 02:20:57.250181,Step[4],0.823853,0.832234,0.167766
2024-06-27 02:21:28.825578,Step[5],0.810921,0.810451,0.189549
2024-06-27 02:22:00.464770,Step[6],0.798082,0.806029,0.193971
2024-06-27 02:22:32.055708,Step[7],0.790435,0.788847,0.211153
2024-06-27 02:23:03.662718,Step[8],0.780550,0.781546,0.218454
2024-06-27 02:23:35.264482,Step[9],0.775089,0.771331,0.228669
2024-06-27 02:24:06.921796,Step[10],0.772278,0.780708,0.219292
2024-06-27 02:24:38.423335,Step[11],0.765442,0.759779,0.240221
2024-06-27 02:25:10.017330,Step[12],0.757781,0.770608,0.229392
2024-06-27 02:25:41.555894,Step[13],0.754043,0.756606,0.243394
2024-06-27 02:26:13.206359,Step[14],0.758604,0.746462,0.253538
2024-06-27 02:26:44.771492,Step[15],0.748132,0.755734,0.244266
2024-06-27 02:27:16.292708,Step[16],0.746433,0.748230,0.251770
2024-06-27 02:27:47.777534,Step[17],0.743788,0.740803,0.259197
2024-06-27 02:28:19.446139,Step[18],0.733885,0.740788,0.259212
2024-06-27 02:28:51.026838,Step[19],0.736259,0.748285,0.251715
2024-06-27 02:29:22.522356,Step[20],0.734442,0.732889,0.267111
2024-06-27 02:29:54.150792,Step[21],0.729123,0.727240,0.272760
2024-06-27 02:30:25.761398,Step[22],0.730453,0.727876,0.272124
2024-06-27 02:30:57.276869,Step[23],0.722391,0.728371,0.271629
2024-06-27 02:31:28.792179,Step[24],0.721780,0.722050,0.277950
2024-06-27 02:32:00.467005,Step[25],0.720872,0.716292,0.283708
2024-06-27 02:32:32.112852,Step[26],0.717280,0.719001,0.280999
2024-06-27 02:33:03.647471,Step[27],0.712878,0.715755,0.284245
2024-06-27 02:33:35.274927,Step[28],0.709572,0.708186,0.291814
2024-06-27 02:34:06.923746,Step[29],0.703327,0.705650,0.294350
2024-06-27 02:34:38.523540,Step[30],0.705459,0.694866,0.305134
2024-06-27 02:35:10.147072,Step[31],0.703787,0.703663,0.296337
2024-06-27 02:35:41.645997,Step[32],0.703325,0.700767,0.299233
2024-06-27 02:36:13.255699,Step[33],0.699906,0.696355,0.303645
2024-06-27 02:36:44.737330,Step[34],0.695273,0.686466,0.313534
2024-06-27 02:37:16.343366,Step[35],0.695373,0.696854,0.303146
2024-06-27 02:37:47.860408,Step[36],0.693010,0.694530,0.305470
2024-06-27 02:38:19.497777,Step[37],0.685912,0.698541,0.301459
2024-06-27 02:38:50.994054,Step[38],0.697974,0.717172,0.282828
2024-06-27 02:39:22.528054,Step[39],0.687884,0.685518,0.314482
2024-06-27 02:39:54.185351,Step[40],0.681865,0.690573,0.309427
2024-06-27 02:40:25.721292,Step[41],0.685367,0.689065,0.310935
2024-06-27 02:40:57.230980,Step[42],0.681349,0.693233,0.306767
2024-06-27 02:41:28.750433,Step[43],0.684511,0.687297,0.312703
2024-06-27 02:42:00.272558,Step[44],0.678520,0.683374,0.316626
2024-06-27 02:42:31.916480,Step[45],0.677067,0.674693,0.325307
2024-06-27 02:43:03.539260,Step[46],0.674816,0.678748,0.321252
2024-06-27 02:43:35.028809,Step[47],0.677407,0.685040,0.314960
2024-06-27 02:44:06.612519,Step[48],0.675699,0.676239,0.323761
2024-06-27 02:44:38.147981,Step[49],0.672933,0.673181,0.326819
2024-06-27 02:45:09.756452,Step[50],0.669296,0.671438,0.328562
2024-06-27 02:45:41.403015,Step[51],0.677727,0.686327,0.313673
2024-06-27 02:46:12.976284,Step[52],0.672870,0.677146,0.322854
2024-06-27 02:46:44.465960,Step[53],0.667002,0.670305,0.329695
2024-06-27 02:47:16.068018,Step[54],0.665336,0.670009,0.329991
2024-06-27 02:47:47.665041,Step[55],0.663259,0.672073,0.327927
2024-06-27 02:48:19.280708,Step[56],0.664060,0.661792,0.338208
2024-06-27 02:48:50.907321,Step[57],0.665176,0.673521,0.326479
2024-06-27 02:49:22.415249,Step[58],0.659373,0.667553,0.332447
2024-06-27 02:49:53.938340,Step[59],0.659684,0.665029,0.334971
2024-06-27 02:50:25.483055,Step[60],0.656016,0.673033,0.326967
2024-06-27 02:50:57.001087,Step[61],0.655903,0.658553,0.341447
2024-06-27 02:51:28.613183,Step[62],0.650140,0.650214,0.349786
2024-06-27 02:52:00.273733,Step[63],0.648621,0.656068,0.343932
2024-06-27 02:52:31.795131,Step[64],0.653364,0.656305,0.343695
2024-06-27 02:53:03.340008,Step[65],0.650649,0.644521,0.355479
2024-06-27 02:53:34.942491,Step[66],0.646293,0.636098,0.363902
2024-06-27 02:54:06.575938,Step[67],0.645269,0.664598,0.335402
2024-06-27 02:54:38.070277,Step[68],0.647740,0.640362,0.359638
