Time,Step,Train loss,Validation loss,Validation dice
2024-06-03 19:14:11.029759,Step[1],0.953229,0.909447,0.090553
2024-06-03 19:14:48.204527,Step[2],0.901090,0.871941,0.128059
2024-06-03 19:15:25.396612,Step[3],0.870684,0.831676,0.168324
2024-06-03 19:16:02.626984,Step[4],0.842767,0.815323,0.184677
2024-06-03 19:16:39.829649,Step[5],0.814495,0.802860,0.197140
2024-06-03 19:17:17.001478,Step[6],0.800279,0.785619,0.214381
2024-06-03 19:17:54.188588,Step[7],0.782919,0.789208,0.210792
2024-06-03 19:18:31.266772,Step[8],0.783477,0.778054,0.221946
2024-06-03 19:19:08.445305,Step[9],0.764891,0.771831,0.228169
2024-06-03 19:19:45.643955,Step[10],0.763629,0.757994,0.242006
2024-06-03 19:20:22.866268,Step[11],0.758555,0.754330,0.245670
2024-06-03 19:21:00.006977,Step[12],0.742416,0.749445,0.250555
2024-06-03 19:21:37.205272,Step[13],0.747484,0.748116,0.251884
2024-06-03 19:22:14.438753,Step[14],0.737097,0.747265,0.252735
2024-06-03 19:22:51.612018,Step[15],0.739300,0.737196,0.262804
2024-06-03 19:23:28.780869,Step[16],0.728036,0.733915,0.266085
2024-06-03 19:24:06.016833,Step[17],0.730510,0.731143,0.268857
2024-06-03 19:24:43.210084,Step[18],0.722614,0.746162,0.253838
2024-06-03 19:25:20.308138,Step[19],0.713254,0.718972,0.281028
2024-06-03 19:25:57.516974,Step[20],0.714069,0.751766,0.248234
2024-06-03 19:26:34.626101,Step[21],0.714425,0.724698,0.275302
2024-06-03 19:27:11.799112,Step[22],0.713146,0.729559,0.270441
2024-06-03 19:27:48.935509,Step[23],0.710957,0.714206,0.285794
2024-06-03 19:28:26.173135,Step[24],0.707880,0.718480,0.281520
2024-06-03 19:29:03.280780,Step[25],0.708192,0.714000,0.286000
2024-06-03 19:29:40.442327,Step[26],0.698194,0.712067,0.287933
2024-06-03 19:30:17.652286,Step[27],0.699401,0.727154,0.272846
2024-06-03 19:30:54.673238,Step[28],0.698455,0.712268,0.287732
2024-06-03 19:31:31.673384,Step[29],0.697008,0.706883,0.293117
2024-06-03 19:32:08.907696,Step[30],0.696422,0.718830,0.281170
2024-06-03 19:32:45.891854,Step[31],0.692413,0.710866,0.289134
2024-06-03 19:33:22.891864,Step[32],0.691232,0.706366,0.293634
2024-06-03 19:34:00.016794,Step[33],0.686547,0.711501,0.288499
2024-06-03 19:34:37.019349,Step[34],0.685903,0.699724,0.300276
2024-06-03 19:35:14.138102,Step[35],0.684731,0.708348,0.291652
2024-06-03 19:35:51.177805,Step[36],0.679245,0.708668,0.291332
2024-06-03 19:36:28.238436,Step[37],0.685324,0.707107,0.292893
2024-06-03 19:37:05.248751,Step[38],0.676863,0.706656,0.293344
2024-06-03 19:37:42.249593,Step[39],0.681328,0.711070,0.288930
2024-06-03 19:38:19.298336,Step[40],0.677851,0.694841,0.305159
2024-06-03 19:38:56.394063,Step[41],0.674563,0.695255,0.304745
2024-06-03 19:39:33.407498,Step[42],0.668211,0.707101,0.292899
2024-06-03 19:40:10.532740,Step[43],0.672512,0.693730,0.306270
2024-06-03 19:40:47.642072,Step[44],0.667990,0.699887,0.300113
2024-06-03 19:41:24.641718,Step[45],0.667284,0.702038,0.297962
2024-06-03 19:42:01.657582,Step[46],0.667348,0.688945,0.311055
2024-06-03 19:42:38.724997,Step[47],0.665859,0.697442,0.302558
2024-06-03 19:43:15.748148,Step[48],0.667100,0.689868,0.310132
2024-06-03 19:43:52.812688,Step[49],0.660860,0.691159,0.308841
2024-06-03 19:44:29.876220,Step[50],0.663566,0.713876,0.286124
2024-06-03 19:45:06.907575,Step[51],0.657296,0.681747,0.318253
2024-06-03 19:45:44.006166,Step[52],0.643075,0.661180,0.338820
2024-06-03 19:46:21.110652,Step[53],0.639159,0.640493,0.359507
2024-06-03 19:46:58.204350,Step[54],0.643872,0.642748,0.357252
2024-06-03 19:47:35.215268,Step[55],0.632224,0.633727,0.366273
2024-06-03 19:48:12.424031,Step[56],0.635175,0.683145,0.316855
2024-06-03 19:48:49.401940,Step[57],0.626956,0.656705,0.343295
2024-06-03 19:49:26.439817,Step[58],0.608568,0.598152,0.401848
2024-06-03 19:50:03.579536,Step[59],0.590854,0.594066,0.405934
2024-06-03 19:50:40.674595,Step[60],0.579804,0.594169,0.405831
2024-06-03 19:51:17.704452,Step[61],0.576955,0.552868,0.447132
2024-06-03 19:51:54.853525,Step[62],0.553491,0.548733,0.451267
2024-06-03 19:52:32.019650,Step[63],0.551906,0.558336,0.441664
2024-06-03 19:53:09.057936,Step[64],0.534618,0.504283,0.495717
2024-06-03 19:53:46.187905,Step[65],0.515222,0.521998,0.478002
