Time,Step,Train loss,Validation loss,Validation dice
2024-06-04 21:28:32.908263,Step[1],0.946295,0.890115,0.109885
2024-06-04 21:29:09.426623,Step[2],0.889786,0.853502,0.146498
2024-06-04 21:29:45.955349,Step[3],0.855027,0.822478,0.177522
2024-06-04 21:30:22.488790,Step[4],0.837439,0.838733,0.161267
2024-06-04 21:30:58.955549,Step[5],0.833440,0.814455,0.185545
2024-06-04 21:31:35.490418,Step[6],0.831755,0.821993,0.178007
2024-06-04 21:32:12.002135,Step[7],0.825198,0.808415,0.191585
2024-06-04 21:32:48.550948,Step[8],0.821050,0.779089,0.220911
2024-06-04 21:33:25.063279,Step[9],0.809528,0.773953,0.226047
2024-06-04 21:34:01.613982,Step[10],0.798651,0.770189,0.229811
2024-06-04 21:34:38.158664,Step[11],0.800411,0.763224,0.236776
2024-06-04 21:35:14.720743,Step[12],0.791858,0.764892,0.235108
2024-06-04 21:35:51.183666,Step[13],0.780983,0.762549,0.237451
2024-06-04 21:36:27.783263,Step[14],0.778401,0.768421,0.231579
2024-06-04 21:37:04.245096,Step[15],0.766519,0.739030,0.260970
2024-06-04 21:37:40.799295,Step[16],0.757365,0.735152,0.264848
2024-06-04 21:38:17.335401,Step[17],0.755244,0.729587,0.270413
2024-06-04 21:38:53.861676,Step[18],0.740021,0.719716,0.280284
2024-06-04 21:39:30.383697,Step[19],0.738260,0.728081,0.271919
2024-06-04 21:40:06.810820,Step[20],0.731752,0.706162,0.293838
2024-06-04 21:40:43.306370,Step[21],0.722046,0.721885,0.278115
2024-06-04 21:41:19.691167,Step[22],0.725673,0.710796,0.289204
2024-06-04 21:41:56.064510,Step[23],0.719882,0.702341,0.297659
2024-06-04 21:42:32.549182,Step[24],0.716378,0.697790,0.302210
2024-06-04 21:43:09.020810,Step[25],0.709481,0.693850,0.306150
2024-06-04 21:43:45.464651,Step[26],0.707632,0.701816,0.298184
2024-06-04 21:44:21.959968,Step[27],0.700965,0.694620,0.305380
