Time,Step,Train loss,Validation loss,Validation dice
2024-06-07 19:30:39.409364,Step[1],0.959275,0.919712,0.080288
2024-06-07 19:31:25.035149,Step[2],0.898118,0.836901,0.163099
2024-06-07 19:32:01.421448,Step[3],0.853968,0.809397,0.190603
2024-06-07 19:32:37.932987,Step[4],0.824531,0.792851,0.207149
2024-06-07 19:33:14.525335,Step[5],0.801295,0.766708,0.233292
2024-06-07 19:33:51.165728,Step[6],0.793425,0.767008,0.232992
2024-06-07 19:34:27.813412,Step[7],0.784551,0.745990,0.254010
2024-06-07 19:35:04.564652,Step[8],0.781421,0.744501,0.255499
2024-06-07 19:35:41.343550,Step[9],0.768934,0.738195,0.261805
2024-06-07 19:36:18.141586,Step[10],0.767189,0.732255,0.267745
2024-06-07 19:36:54.924451,Step[11],0.765560,0.734117,0.265883
2024-06-07 19:37:31.621084,Step[12],0.757488,0.727197,0.272803
2024-06-07 19:38:08.372305,Step[13],0.751220,0.725309,0.274691
2024-06-07 19:38:45.105630,Step[14],0.748058,0.725449,0.274551
2024-06-07 19:39:21.736373,Step[15],0.745584,0.714797,0.285203
2024-06-07 19:39:58.446901,Step[16],0.743888,0.714485,0.285515
2024-06-07 19:40:35.199183,Step[17],0.737720,0.707641,0.292359
2024-06-07 19:41:11.933653,Step[18],0.737135,0.701866,0.298134
2024-06-07 19:41:48.656946,Step[19],0.732373,0.702860,0.297140
2024-06-07 19:42:25.296093,Step[20],0.732352,0.705240,0.294760
2024-06-07 19:43:01.935909,Step[21],0.731593,0.697912,0.302088
2024-06-07 19:43:38.665986,Step[22],0.724016,0.695053,0.304947
2024-06-07 19:44:15.321345,Step[23],0.720531,0.692408,0.307592
2024-06-07 19:44:52.017751,Step[24],0.720393,0.689622,0.310378
2024-06-07 19:45:28.693586,Step[25],0.710020,0.693500,0.306500
2024-06-07 19:46:05.267132,Step[26],0.733987,0.697777,0.302223
2024-06-07 19:46:41.858573,Step[27],0.722061,0.693045,0.306955
2024-06-07 19:47:18.512958,Step[28],0.715384,0.691639,0.308361
2024-06-07 19:47:55.144958,Step[29],0.710137,0.689864,0.310136
2024-06-07 19:48:31.795243,Step[30],0.711615,0.688193,0.311807
2024-06-07 19:49:08.517057,Step[31],0.710133,0.685380,0.314620
2024-06-07 19:49:45.181469,Step[32],0.706202,0.681653,0.318347
