Time,Step,Train loss,Validation loss,Validation dice
2024-06-09 07:25:53.869661,Step[1],0.963441,0.920619,0.079381
2024-06-09 07:26:33.236010,Step[2],0.914257,0.850241,0.149759
2024-06-09 07:27:09.905772,Step[3],0.870418,0.821813,0.178187
2024-06-09 07:27:46.658449,Step[4],0.845534,0.789849,0.210151
2024-06-09 07:28:23.407225,Step[5],0.828281,0.786359,0.213641
2024-06-09 07:29:00.175363,Step[6],0.811163,0.754463,0.245537
2024-06-09 07:29:36.920855,Step[7],0.794029,0.751821,0.248179
2024-06-09 07:30:13.605140,Step[8],0.787172,0.735714,0.264286
2024-06-09 07:30:50.284137,Step[9],0.777018,0.732152,0.267848
2024-06-09 07:31:26.943233,Step[10],0.776637,0.735198,0.264802
2024-06-09 07:32:03.515700,Step[11],0.771478,0.726880,0.273120
2024-06-09 07:32:40.203546,Step[12],0.762678,0.717281,0.282719
2024-06-09 07:33:16.952648,Step[13],0.753547,0.721807,0.278193
2024-06-09 07:33:53.568613,Step[14],0.754847,0.706964,0.293036
2024-06-09 07:34:30.260189,Step[15],0.750197,0.715036,0.284964
2024-06-09 07:35:06.857762,Step[16],0.743998,0.722357,0.277643
2024-06-09 07:35:43.483873,Step[17],0.746302,0.707933,0.292067
2024-06-09 07:36:20.119963,Step[18],0.746850,0.715703,0.284297
2024-06-09 07:36:56.762631,Step[19],0.739645,0.700596,0.299404
2024-06-09 07:37:33.510495,Step[20],0.733745,0.698645,0.301355
2024-06-09 07:38:10.227318,Step[21],0.732808,0.701757,0.298243
2024-06-09 07:38:46.858238,Step[22],0.729759,0.696893,0.303107
2024-06-09 07:39:23.593581,Step[23],0.732939,0.698659,0.301341
2024-06-09 07:40:00.216927,Step[24],0.731786,0.694739,0.305261
2024-06-09 07:40:36.937758,Step[25],0.724782,0.698480,0.301520
2024-06-09 07:41:13.599437,Step[26],0.723311,0.701125,0.298875
2024-06-09 07:41:50.255956,Step[27],0.718350,0.685046,0.314954
2024-06-09 07:42:26.967024,Step[28],0.720181,0.695744,0.304256
2024-06-09 07:43:03.593651,Step[29],0.720133,0.692800,0.307200
2024-06-09 07:43:40.222151,Step[30],0.714793,0.684369,0.315631
2024-06-09 07:44:16.948698,Step[31],0.713195,0.681070,0.318930
2024-06-09 07:44:53.689657,Step[32],0.719407,0.684835,0.315165
2024-06-09 07:45:30.375132,Step[33],0.710819,0.681322,0.318678
2024-06-09 07:46:07.005108,Step[34],0.707675,0.687335,0.312665
2024-06-09 07:46:43.632840,Step[35],0.711333,0.704317,0.295683
2024-06-09 07:47:20.265336,Step[36],0.706302,0.684494,0.315506
2024-06-09 07:47:56.911742,Step[37],0.700922,0.677379,0.322621
2024-06-09 07:48:33.639809,Step[38],0.701946,0.687079,0.312921
2024-06-09 07:49:10.337607,Step[39],0.702294,0.678871,0.321129
2024-06-09 07:49:46.993505,Step[40],0.701381,0.674210,0.325790
2024-06-09 07:50:23.729568,Step[41],0.700993,0.683670,0.316330
2024-06-09 07:51:00.363204,Step[42],0.704543,0.676454,0.323546
2024-06-09 07:51:37.007377,Step[43],0.700079,0.681133,0.318867
2024-06-09 07:52:13.640526,Step[44],0.695692,0.670609,0.329391
2024-06-09 07:52:50.358385,Step[45],0.690823,0.673400,0.326600
2024-06-09 07:53:27.067910,Step[46],0.686614,0.671071,0.328929
2024-06-09 07:54:03.721635,Step[47],0.688417,0.671943,0.328057
2024-06-09 07:54:40.353890,Step[48],0.684086,0.678961,0.321039
2024-06-09 07:55:17.001570,Step[49],0.688235,0.673622,0.326378
2024-06-09 07:55:53.563161,Step[50],0.681392,0.670124,0.329876
2024-06-09 07:56:30.231154,Step[51],0.682419,0.670776,0.329224
2024-06-09 07:57:06.856602,Step[52],0.684958,0.676880,0.323120
2024-06-09 07:57:43.445103,Step[53],0.674066,0.673289,0.326711
2024-06-09 07:58:19.998291,Step[54],0.675328,0.667533,0.332467
2024-06-09 07:58:56.655043,Step[55],0.673561,0.669065,0.330935
2024-06-09 07:59:33.242404,Step[56],0.676854,0.661365,0.338635
2024-06-09 08:00:09.925837,Step[57],0.668800,0.667153,0.332847
2024-06-09 08:00:46.507534,Step[58],0.675068,0.666344,0.333656
2024-06-09 08:01:23.125598,Step[59],0.677396,0.669377,0.330623
2024-06-09 08:01:59.684866,Step[60],0.675295,0.667726,0.332274
2024-06-09 08:02:36.242159,Step[61],0.668226,0.672257,0.327743
2024-06-09 08:03:12.802211,Step[62],0.665001,0.666340,0.333660
2024-06-09 08:03:49.381679,Step[63],0.661437,0.663088,0.336912
2024-06-09 08:04:25.978840,Step[64],0.664831,0.660504,0.339496
2024-06-09 08:05:02.692720,Step[65],0.655433,0.661355,0.338645
2024-06-09 08:05:39.286043,Step[66],0.659257,0.662510,0.337490
2024-06-09 08:06:15.847586,Step[67],0.660977,0.665284,0.334716
2024-06-09 08:06:52.405961,Step[68],0.659500,0.671191,0.328809
