Time,Step,Train loss,Validation loss,Validation dice
2024-07-13 07:34:12.727429,Step[1],0.958142,0.924600,0.075400
2024-07-13 07:34:59.226655,Step[2],0.912733,0.852418,0.147582
2024-07-13 07:35:42.062436,Step[3],0.863292,0.833273,0.166727
2024-07-13 07:36:25.225550,Step[4],0.848429,0.820636,0.179364
2024-07-13 07:37:08.447255,Step[5],0.833740,0.814315,0.185685
2024-07-13 07:37:51.834623,Step[6],0.833813,0.802533,0.197467
2024-07-13 07:38:35.595259,Step[7],0.825110,0.802020,0.197980
2024-07-13 07:39:18.959685,Step[8],0.813648,0.804372,0.195628
2024-07-13 07:40:02.227775,Step[9],0.819495,0.779201,0.220799
2024-07-13 07:40:45.585720,Step[10],0.802176,0.771033,0.228967
2024-07-13 07:41:28.859513,Step[11],0.803851,0.808810,0.191190
2024-07-13 07:42:12.225988,Step[12],0.797502,0.759077,0.240923
2024-07-13 07:42:55.594395,Step[13],0.792297,0.773213,0.226787
2024-07-13 07:43:38.809842,Step[14],0.788169,0.759079,0.240921
2024-07-13 07:44:22.292624,Step[15],0.781544,0.759602,0.240398
2024-07-13 07:45:05.552455,Step[16],0.776475,0.751727,0.248273
2024-07-13 07:45:48.823596,Step[17],0.784165,0.759839,0.240161
2024-07-13 07:46:32.340242,Step[18],0.778223,0.755175,0.244825
2024-07-13 07:47:15.554443,Step[19],0.772068,0.747092,0.252908
2024-07-13 07:47:58.822855,Step[20],0.771036,0.790616,0.209384
2024-07-13 07:48:42.057781,Step[21],0.772207,0.747733,0.252267
2024-07-13 07:49:25.258785,Step[22],0.764324,0.746091,0.253909
2024-07-13 07:50:08.580523,Step[23],0.754201,0.734305,0.265695
2024-07-13 07:50:52.063888,Step[24],0.750772,0.730695,0.269305
2024-07-13 07:51:35.350235,Step[25],0.754793,0.722028,0.277972
2024-07-13 07:52:18.956024,Step[26],0.743900,0.731512,0.268488
2024-07-13 07:53:02.163630,Step[27],0.742300,0.721697,0.278303
2024-07-13 07:53:45.332125,Step[28],0.736655,0.707080,0.292920
2024-07-13 07:54:28.885301,Step[29],0.731733,0.721872,0.278128
