Time,Step,Train loss,Validation loss,Validation dice,Learning Rate
2024-07-26 16:19:31.805231,Step[1],0.966219,0.925490,0.074510,5.23e-05
2024-07-26 16:20:23.031913,Step[2],0.913519,0.849675,0.150325,5.23e-05
2024-07-26 16:21:10.806512,Step[3],0.857051,0.806060,0.193940,5.23e-05
2024-07-26 16:21:58.663959,Step[4],0.833066,0.786644,0.213356,5.23e-05
2024-07-26 16:22:46.539876,Step[5],0.805464,0.776196,0.223804,5.23e-05
2024-07-26 16:23:34.404060,Step[6],0.800603,0.767663,0.232337,5.23e-05
2024-07-26 16:24:22.211932,Step[7],0.805661,0.762693,0.237307,5.23e-05
2024-07-26 16:25:09.951706,Step[8],0.791804,0.752753,0.247247,5.23e-05
2024-07-26 16:25:57.708631,Step[9],0.787513,0.752995,0.247005,5.23e-05
2024-07-26 16:26:45.310733,Step[10],0.774984,0.746948,0.253052,5.23e-05
2024-07-26 16:27:33.153012,Step[11],0.769263,0.755874,0.244126,5.23e-05
2024-07-26 16:28:20.675866,Step[12],0.761874,0.737781,0.262219,5.23e-05
2024-07-26 16:29:08.393620,Step[13],0.756117,0.730567,0.269433,5.23e-05
2024-07-26 16:29:56.133070,Step[14],0.748695,0.744633,0.255367,5.23e-05
2024-07-26 16:30:43.710182,Step[15],0.751270,0.726036,0.273964,5.23e-05
2024-07-26 16:31:31.460848,Step[16],0.739139,0.719009,0.280991,5.23e-05
2024-07-26 16:32:19.210979,Step[17],0.739710,0.720211,0.279789,5.23e-05
2024-07-26 16:33:06.834030,Step[18],0.738652,0.715080,0.284920,5.23e-05
2024-07-26 16:33:54.558554,Step[19],0.741092,0.716807,0.283193,5.23e-05
2024-07-26 16:34:42.194031,Step[20],0.726021,0.705519,0.294481,5.23e-05
2024-07-26 16:35:29.946199,Step[21],0.723889,0.703344,0.296656,5.23e-05
2024-07-26 16:36:17.695867,Step[22],0.718473,0.702721,0.297279,5.23e-05
2024-07-26 16:37:05.469669,Step[23],0.719211,0.700902,0.299098,5.23e-05
2024-07-26 16:37:53.199143,Step[24],0.705673,0.699848,0.300152,5.23e-05
2024-07-26 16:38:40.960885,Step[25],0.705852,0.690885,0.309115,5.23e-05
2024-07-26 16:39:28.696079,Step[26],0.697537,0.689421,0.310579,5.23e-05
2024-07-26 16:40:16.492647,Step[27],0.690230,0.696761,0.303239,5.23e-05
2024-07-26 16:41:04.010076,Step[28],0.694214,0.686611,0.313389,5.23e-05
2024-07-26 16:41:51.798229,Step[29],0.688428,0.687055,0.312945,5.23e-05
2024-07-26 16:42:39.342945,Step[30],0.682750,0.690689,0.309311,5.23e-05
2024-07-26 16:43:27.032095,Step[31],0.681538,0.687355,0.312645,5.23e-05
2024-07-26 16:44:14.599565,Step[32],0.690642,0.687867,0.312133,5.23e-05
2024-07-26 16:45:02.122626,Step[33],0.689928,0.685484,0.314516,4.707e-05
2024-07-26 16:45:49.847201,Step[34],0.683359,0.685714,0.314286,4.707e-05
2024-07-26 16:46:37.409550,Step[35],0.675423,0.685407,0.314593,4.707e-05
2024-07-26 16:47:25.164255,Step[36],0.668729,0.675856,0.324144,4.707e-05
2024-07-26 16:48:12.867818,Step[37],0.664028,0.681856,0.318144,4.707e-05
2024-07-26 16:49:00.566240,Step[38],0.669867,0.675243,0.324757,4.707e-05
2024-07-26 16:49:48.272996,Step[39],0.662203,0.678398,0.321602,4.707e-05
2024-07-26 16:50:35.831901,Step[40],0.665294,0.665044,0.334956,4.707e-05
2024-07-26 16:51:23.528220,Step[41],0.655819,0.672482,0.327518,4.707e-05
2024-07-26 16:52:11.058857,Step[42],0.658002,0.679664,0.320336,4.707e-05
2024-07-26 16:52:58.661561,Step[43],0.663837,0.672355,0.327645,4.707e-05
2024-07-26 16:53:46.180429,Step[44],0.659389,0.677657,0.322343,4.707e-05
2024-07-26 16:54:33.765900,Step[45],0.659278,0.668777,0.331223,4.2363e-05
2024-07-26 16:55:21.313073,Step[46],0.651364,0.662991,0.337009,4.2363e-05
2024-07-26 16:56:09.039155,Step[47],0.648875,0.662132,0.337868,4.2363e-05
2024-07-26 16:56:56.791988,Step[48],0.639441,0.659839,0.340161,4.2363e-05
2024-07-26 16:57:44.602986,Step[49],0.639830,0.658395,0.341605,4.2363e-05
2024-07-26 16:58:32.374718,Step[50],0.651251,0.657996,0.342004,4.2363e-05
2024-07-26 16:59:20.099774,Step[51],0.643963,0.669106,0.330894,4.2363e-05
2024-07-26 17:00:07.711140,Step[52],0.633794,0.669641,0.330359,4.2363e-05
2024-07-26 17:00:55.236896,Step[53],0.638640,0.684294,0.315706,4.2363e-05
2024-07-26 17:01:42.763172,Step[54],0.642165,0.686264,0.313736,4.2363e-05
2024-07-26 17:02:30.293920,Step[55],0.634924,0.653476,0.346524,3.81267e-05
2024-07-26 17:03:18.038924,Step[56],0.638257,0.655342,0.344658,3.81267e-05
2024-07-26 17:04:05.605561,Step[57],0.628338,0.666632,0.333368,3.81267e-05
2024-07-26 17:04:53.141355,Step[58],0.628456,0.654975,0.345025,3.81267e-05
2024-07-26 17:05:40.707385,Step[59],0.618365,0.650770,0.349230,3.81267e-05
2024-07-26 17:06:28.476952,Step[60],0.625084,0.639741,0.360259,3.81267e-05
2024-07-26 17:07:16.241856,Step[61],0.610725,0.628589,0.371411,3.81267e-05
2024-07-26 17:08:04.060807,Step[62],0.607994,0.635354,0.364646,3.81267e-05
2024-07-26 17:08:51.676561,Step[63],0.607162,0.630674,0.369326,3.81267e-05
2024-07-26 17:09:39.184794,Step[64],0.637234,0.647809,0.352191,3.81267e-05
