Time,Step,Train loss,Validation loss,Validation dice,Learning Rate
2024-07-28 01:24:58.184096,Step[1],0.946603,0.871416,0.128584,5.23e-05
2024-07-28 01:25:42.705210,Step[2],0.855330,0.820350,0.179650,5.23e-05
2024-07-28 01:26:28.006898,Step[3],0.819029,0.761290,0.238710,5.23e-05
2024-07-28 01:27:12.583389,Step[4],0.785476,0.739617,0.260383,5.23e-05
2024-07-28 01:27:57.151418,Step[5],0.791472,0.734226,0.265774,5.23e-05
2024-07-28 01:28:42.167682,Step[6],0.767035,0.731289,0.268711,5.23e-05
2024-07-28 01:29:26.716652,Step[7],0.748536,0.719048,0.280952,5.23e-05
2024-07-28 01:30:11.385094,Step[8],0.746672,0.717038,0.282962,5.23e-05
2024-07-28 01:30:56.180881,Step[9],0.740122,0.710637,0.289363,5.23e-05
2024-07-28 01:31:40.698313,Step[10],0.737631,0.719774,0.280226,5.23e-05
2024-07-28 01:32:25.672081,Step[11],0.739721,0.712250,0.287750,5.23e-05
2024-07-28 01:33:09.982095,Step[12],0.725632,0.708929,0.291071,5.23e-05
2024-07-28 01:33:54.463726,Step[13],0.721779,0.717567,0.282433,5.23e-05
2024-07-28 01:34:39.459735,Step[14],0.720814,0.698218,0.301782,5.23e-05
2024-07-28 01:35:23.953689,Step[15],0.718344,0.698250,0.301750,5.23e-05
2024-07-28 01:36:08.502686,Step[16],0.716081,0.699338,0.300662,5.23e-05
2024-07-28 01:36:53.186757,Step[17],0.711656,0.693485,0.306515,5.23e-05
2024-07-28 01:37:37.704653,Step[18],0.705470,0.691649,0.308351,5.23e-05
2024-07-28 01:38:22.807096,Step[19],0.704888,0.706137,0.293863,5.23e-05
2024-07-28 01:39:07.138748,Step[20],0.698671,0.687984,0.312016,5.23e-05
2024-07-28 01:39:51.624520,Step[21],0.699881,0.694010,0.305990,5.23e-05
2024-07-28 01:40:36.483218,Step[22],0.701363,0.694944,0.305056,5.23e-05
2024-07-28 01:41:20.806149,Step[23],0.697767,0.682641,0.317359,5.23e-05
2024-07-28 01:42:05.669514,Step[24],0.692891,0.683733,0.316267,5.23e-05
2024-07-28 01:42:50.231662,Step[25],0.693672,0.685879,0.314121,5.23e-05
2024-07-28 01:43:34.535823,Step[26],0.690657,0.679169,0.320831,5.23e-05
2024-07-28 01:44:19.743571,Step[27],0.681670,0.685995,0.314005,5.23e-05
2024-07-28 01:45:04.120789,Step[28],0.684204,0.678459,0.321541,5.23e-05
2024-07-28 01:45:48.628219,Step[29],0.687949,0.677356,0.322644,5.23e-05
2024-07-28 01:46:33.832931,Step[30],0.678329,0.688098,0.311902,5.23e-05
2024-07-28 01:47:18.209486,Step[31],0.675371,0.674723,0.325277,5.23e-05
2024-07-28 01:48:04.867429,Step[32],0.671398,0.669921,0.330079,5.23e-05
2024-07-28 01:48:49.680645,Step[33],0.676084,0.667396,0.332604,5.23e-05
2024-07-28 01:49:34.177422,Step[34],0.689269,0.659390,0.340610,5.23e-05
2024-07-28 01:50:19.212892,Step[35],0.672741,0.671128,0.328872,5.23e-05
2024-07-28 01:51:03.535234,Step[36],0.667276,0.658059,0.341941,5.23e-05
2024-07-28 01:51:48.047622,Step[37],0.666001,0.661169,0.338831,5.23e-05
2024-07-28 01:52:33.071063,Step[38],0.665841,0.658242,0.341758,5.23e-05
2024-07-28 01:53:17.394397,Step[39],0.673533,0.653687,0.346313,5.23e-05
2024-07-28 01:54:02.195597,Step[40],0.658020,0.654193,0.345807,5.23e-05
2024-07-28 01:54:47.046860,Step[41],0.654086,0.662427,0.337573,5.23e-05
2024-07-28 01:55:31.358767,Step[42],0.715747,0.650256,0.349744,5.23e-05
