Time,Step,Train loss,Validation loss,Validation dice
2024-07-01 15:22:00.400171,Step[1],0.957335,0.906974,0.093026
2024-07-01 15:22:51.071202,Step[2],0.910325,0.849390,0.150610
2024-07-01 15:23:39.453950,Step[3],0.865112,0.813875,0.186125
2024-07-01 15:24:27.764198,Step[4],0.840074,0.791400,0.208600
2024-07-01 15:25:16.167194,Step[5],0.824726,0.768313,0.231687
2024-07-01 15:26:04.504095,Step[6],0.822538,0.789827,0.210173
2024-07-01 15:26:52.675474,Step[7],0.813193,0.775349,0.224651
2024-07-01 15:27:40.862711,Step[8],0.806118,0.796315,0.203685
2024-07-01 15:28:29.131209,Step[9],0.809255,0.764394,0.235606
2024-07-01 15:29:17.450312,Step[10],0.800309,0.756019,0.243981
2024-07-01 15:30:05.767676,Step[11],0.788190,0.759688,0.240312
2024-07-01 15:30:53.970816,Step[12],0.788290,0.742543,0.257457
2024-07-01 15:31:42.351154,Step[13],0.769964,0.737959,0.262041
2024-07-01 15:32:30.660536,Step[14],0.762792,0.729214,0.270786
2024-07-01 15:33:18.996423,Step[15],0.758122,0.716100,0.283900
2024-07-01 15:34:07.357565,Step[16],0.758108,0.731770,0.268230
2024-07-01 15:34:55.549727,Step[17],0.748158,0.705389,0.294611
2024-07-01 15:35:43.923516,Step[18],0.744916,0.701066,0.298934
2024-07-01 15:36:32.261355,Step[19],0.746968,0.724945,0.275055
2024-07-01 15:37:20.487309,Step[20],0.739647,0.712692,0.287308
2024-07-01 15:38:08.726101,Step[21],0.733908,0.713929,0.286071
2024-07-01 15:38:56.885187,Step[22],0.733802,0.688812,0.311188
2024-07-01 15:39:45.268550,Step[23],0.733001,0.684229,0.315771
2024-07-01 15:40:33.649980,Step[24],0.731149,0.701189,0.298811
2024-07-01 15:41:21.933873,Step[25],0.729538,0.705112,0.294888
2024-07-01 15:42:10.158409,Step[26],0.729185,0.702972,0.297028
2024-07-01 15:42:58.319818,Step[27],0.721063,0.695980,0.304020
2024-07-01 15:43:46.513348,Step[28],0.718213,0.679727,0.320273
2024-07-01 15:44:34.783414,Step[29],0.714438,0.698103,0.301897
2024-07-01 15:45:22.995255,Step[30],0.714044,0.691521,0.308479
2024-07-01 15:46:11.190359,Step[31],0.714917,0.689531,0.310469
2024-07-01 15:46:59.421649,Step[32],0.707779,0.702766,0.297234
2024-07-01 15:47:47.681137,Step[33],0.716231,0.715348,0.284652
2024-07-01 15:48:35.875528,Step[34],0.701158,0.690203,0.309797
2024-07-01 15:49:24.089832,Step[35],0.702097,0.671774,0.328226
2024-07-01 15:50:12.402711,Step[36],0.699382,0.690035,0.309965
2024-07-01 15:51:00.576221,Step[37],0.699273,0.675587,0.324413
2024-07-01 15:51:48.780874,Step[38],0.695474,0.678663,0.321337
2024-07-01 15:52:37.009234,Step[39],0.692026,0.689731,0.310269
2024-07-01 15:53:25.790536,Step[40],0.688133,0.688707,0.311293
2024-07-01 15:54:14.338096,Step[41],0.688161,0.681222,0.318778
2024-07-01 15:55:02.550135,Step[42],0.689009,0.691161,0.308839
2024-07-01 15:55:50.759059,Step[43],0.686807,0.666147,0.333853
2024-07-01 15:56:39.155349,Step[44],0.689643,0.682318,0.317682
2024-07-01 15:57:27.340586,Step[45],0.689073,0.675967,0.324033
2024-07-01 15:58:15.644279,Step[46],0.684936,0.682141,0.317859
2024-07-01 15:59:03.830156,Step[47],0.682093,0.678453,0.321547
2024-07-01 15:59:52.043234,Step[48],0.682840,0.666457,0.333543
2024-07-01 16:00:40.253430,Step[49],0.678070,0.682556,0.317444
2024-07-01 16:01:28.474695,Step[50],0.679181,0.676297,0.323703
2024-07-01 16:02:16.686474,Step[51],0.678744,0.683674,0.316326
2024-07-01 16:03:04.895652,Step[52],0.675077,0.685128,0.314872
2024-07-01 16:03:53.136519,Step[53],0.681685,0.685197,0.314803
2024-07-01 16:04:41.324806,Step[54],0.668933,0.674399,0.325601
2024-07-01 16:05:29.549899,Step[55],0.673390,0.677649,0.322351
2024-07-01 16:06:17.759452,Step[56],0.667542,0.665735,0.334265
2024-07-01 16:07:06.070104,Step[57],0.661420,0.671690,0.328310
2024-07-01 16:07:54.296872,Step[58],0.666987,0.678813,0.321187
2024-07-01 16:08:42.497292,Step[59],0.663607,0.649950,0.350050
2024-07-01 16:09:30.850153,Step[60],0.660679,0.651495,0.348505
2024-07-01 16:10:19.025704,Step[61],0.656465,0.659161,0.340839
2024-07-01 16:11:07.228447,Step[62],0.662327,0.679955,0.320045
2024-07-01 16:11:55.432660,Step[63],0.660513,0.639069,0.360931
2024-07-01 16:12:43.851431,Step[64],0.650762,0.658375,0.341625
2024-07-01 16:13:32.065662,Step[65],0.652785,0.660791,0.339209
2024-07-01 16:14:20.293459,Step[66],0.666673,0.669629,0.330371
