Time,Step,Train loss,Validation loss,Validation dice,Learning Rate
2024-07-29 11:27:33.271016,Step[1],0.959025,0.896794,0.103206,5.23e-05
2024-07-29 11:28:18.135784,Step[2],0.906127,0.816406,0.183594,5.23e-05
2024-07-29 11:29:03.028736,Step[3],0.867951,0.784640,0.215360,5.23e-05
2024-07-29 11:29:47.991233,Step[4],0.842766,0.780172,0.219828,5.23e-05
2024-07-29 11:30:32.929141,Step[5],0.825876,0.763929,0.236071,5.23e-05
2024-07-29 11:31:17.992025,Step[6],0.818315,0.753735,0.246265,5.23e-05
2024-07-29 11:32:02.895704,Step[7],0.811035,0.740204,0.259796,5.23e-05
2024-07-29 11:32:47.838793,Step[8],0.808412,0.732461,0.267539,5.23e-05
2024-07-29 11:33:32.805176,Step[9],0.795206,0.729063,0.270937,5.23e-05
2024-07-29 11:34:17.680740,Step[10],0.795266,0.731710,0.268290,5.23e-05
2024-07-29 11:35:02.493481,Step[11],0.784697,0.715769,0.284231,5.23e-05
2024-07-29 11:35:47.414647,Step[12],0.784682,0.712462,0.287538,5.23e-05
2024-07-29 11:36:32.337238,Step[13],0.775795,0.708275,0.291725,5.23e-05
2024-07-29 11:37:17.371885,Step[14],0.771365,0.707677,0.292323,5.23e-05
2024-07-29 11:38:02.257082,Step[15],0.772811,0.704664,0.295336,5.23e-05
2024-07-29 11:38:47.131898,Step[16],0.767208,0.694649,0.305351,5.23e-05
2024-07-29 11:39:32.060469,Step[17],0.757750,0.693246,0.306754,5.23e-05
2024-07-29 11:40:16.914598,Step[18],0.753858,0.697468,0.302532,5.23e-05
2024-07-29 11:41:01.638879,Step[19],0.752876,0.685601,0.314399,5.23e-05
2024-07-29 11:41:46.561709,Step[20],0.744172,0.683385,0.316615,5.23e-05
2024-07-29 11:42:31.517283,Step[21],0.741342,0.675692,0.324308,5.23e-05
2024-07-29 11:43:16.557920,Step[22],0.734625,0.673062,0.326938,5.23e-05
2024-07-29 11:44:01.429271,Step[23],0.734278,0.673843,0.326157,5.23e-05
2024-07-29 11:44:46.093829,Step[24],0.727957,0.680823,0.319177,5.23e-05
2024-07-29 11:45:30.881918,Step[25],0.733853,0.668554,0.331446,5.23e-05
2024-07-29 11:46:15.769394,Step[26],0.721450,0.700971,0.299029,5.23e-05
2024-07-29 11:47:00.507548,Step[27],0.724409,0.665218,0.334782,5.23e-05
2024-07-29 11:47:45.460248,Step[28],0.727165,0.678993,0.321007,5.23e-05
2024-07-29 11:48:30.135565,Step[29],0.723386,0.659188,0.340812,5.23e-05
2024-07-29 11:49:15.091204,Step[30],0.711880,0.659152,0.340848,5.23e-05
2024-07-29 11:50:00.022943,Step[31],0.712175,0.665494,0.334506,5.23e-05
2024-07-29 11:50:44.733180,Step[32],0.708309,0.655070,0.344930,5.23e-05
2024-07-29 11:51:29.663319,Step[33],0.702918,0.661099,0.338901,5.23e-05
2024-07-29 11:52:14.471121,Step[34],0.706328,0.655373,0.344627,5.23e-05
2024-07-29 11:52:59.190735,Step[35],0.696497,0.645895,0.354105,5.23e-05
2024-07-29 11:53:44.112181,Step[36],0.695325,0.642968,0.357032,5.23e-05
2024-07-29 11:54:28.979915,Step[37],0.701776,0.642179,0.357821,5.23e-05
2024-07-29 11:55:13.914031,Step[38],0.699958,0.661683,0.338317,5.23e-05
2024-07-29 11:55:58.596038,Step[39],0.688585,0.641102,0.358898,5.23e-05
2024-07-29 11:56:43.475790,Step[40],0.682582,0.637123,0.362877,5.23e-05
2024-07-29 11:57:28.448186,Step[41],0.687110,0.642949,0.357051,5.23e-05
2024-07-29 11:58:13.170824,Step[42],0.683618,0.642472,0.357528,5.23e-05
2024-07-29 11:58:57.878992,Step[43],0.684928,0.656699,0.343301,5.23e-05
2024-07-29 11:59:42.515029,Step[44],0.679778,0.630789,0.369211,5.23e-05
