Time,Step,Train loss,Validation loss,Validation dice,Learning Rate
2024-08-14 21:35:02.259685,Step[1],0.961036,0.905044,0.094956,5.23e-05
2024-08-14 21:35:47.997835,Step[2],0.885384,0.841946,0.158054,5.23e-05
2024-08-14 21:36:34.097928,Step[3],0.819761,0.798263,0.201737,5.23e-05
2024-08-14 21:37:19.719969,Step[4],0.779555,0.796744,0.203256,5.23e-05
2024-08-14 21:38:05.700687,Step[5],0.768280,0.772585,0.227415,5.23e-05
2024-08-14 21:38:51.418225,Step[6],0.746977,0.759813,0.240187,5.23e-05
2024-08-14 21:39:37.054816,Step[7],0.734546,0.772736,0.227264,5.23e-05
2024-08-14 21:40:23.116272,Step[8],0.729422,0.758271,0.241729,5.23e-05
2024-08-14 21:41:08.767670,Step[9],0.723127,0.755143,0.244857,5.23e-05
2024-08-14 21:41:54.713687,Step[10],0.716694,0.755195,0.244805,5.23e-05
2024-08-14 21:42:40.720381,Step[11],0.712521,0.756985,0.243015,5.23e-05
2024-08-14 21:43:26.328670,Step[12],0.708683,0.759145,0.240855,5.23e-05
2024-08-14 21:44:12.441145,Step[13],0.702846,0.743946,0.256054,5.23e-05
2024-08-14 21:45:00.749075,Step[14],0.702588,0.748155,0.251845,5.23e-05
2024-08-14 21:45:46.369007,Step[15],0.697668,0.749187,0.250813,5.23e-05
2024-08-14 21:46:32.463438,Step[16],0.693911,0.742162,0.257838,5.23e-05
2024-08-14 21:47:18.219303,Step[17],0.690018,0.747022,0.252978,5.23e-05
2024-08-14 21:48:04.075188,Step[18],0.686957,0.746507,0.253493,5.23e-05
2024-08-14 21:48:49.773643,Step[19],0.688372,0.757708,0.242292,5.23e-05
2024-08-14 21:49:35.227968,Step[20],0.695656,0.748375,0.251625,5.23e-05
2024-08-14 21:50:21.305708,Step[21],0.681502,0.736599,0.263401,5.23e-05
2024-08-14 21:51:07.120455,Step[22],0.675211,0.732346,0.267654,5.23e-05
2024-08-14 21:51:52.941130,Step[23],0.666101,0.740110,0.259890,5.23e-05
2024-08-14 21:52:38.760080,Step[24],0.669831,0.734541,0.265459,5.23e-05
2024-08-14 21:53:24.312598,Step[25],0.663148,0.731689,0.268311,5.23e-05
2024-08-14 21:54:10.598173,Step[26],0.701241,0.746802,0.253198,5.23e-05
2024-08-14 21:54:56.227366,Step[27],0.694638,0.747423,0.252577,5.23e-05
2024-08-14 21:55:41.744570,Step[28],0.668015,0.739550,0.260450,5.23e-05
2024-08-14 21:56:27.660501,Step[29],0.662903,0.738701,0.261299,5.23e-05
2024-08-14 21:57:13.161809,Step[30],0.663423,0.739708,0.260292,5.23e-05
2024-08-14 21:57:58.707013,Step[31],0.663832,0.728809,0.271191,4.707e-05
2024-08-14 21:58:44.570364,Step[32],0.660138,0.734636,0.265364,4.707e-05
2024-08-14 21:59:30.074284,Step[33],0.655628,0.737531,0.262469,4.707e-05
2024-08-14 22:00:16.370767,Step[34],0.654306,0.733516,0.266484,4.707e-05
2024-08-14 22:01:01.856251,Step[35],0.659759,0.726285,0.273715,4.707e-05
2024-08-14 22:01:47.598044,Step[36],0.644757,0.729972,0.270028,4.707e-05
2024-08-14 22:02:33.814379,Step[37],0.645217,0.719327,0.280673,4.707e-05
2024-08-14 22:03:19.548024,Step[38],0.645772,0.699639,0.300361,4.707e-05
2024-08-14 22:04:05.692006,Step[39],0.642132,0.706766,0.293234,4.707e-05
2024-08-14 22:04:51.359963,Step[40],0.640740,0.717365,0.282635,4.707e-05
2024-08-14 22:05:36.842647,Step[41],0.638019,0.709248,0.290752,4.707e-05
2024-08-14 22:06:22.989032,Step[42],0.644722,0.688113,0.311887,4.707e-05
2024-08-14 22:07:08.764608,Step[43],0.635091,0.661685,0.338315,4.707e-05
2024-08-14 22:07:54.560332,Step[44],0.614361,0.659758,0.340242,4.707e-05
2024-08-14 22:08:40.893876,Step[45],0.609848,0.624357,0.375643,4.707e-05
2024-08-14 22:09:26.585852,Step[46],0.592478,0.616677,0.383323,4.707e-05
2024-08-14 22:10:12.852191,Step[47],0.601717,0.607101,0.392899,4.707e-05
2024-08-14 22:10:58.759099,Step[48],0.575086,0.665209,0.334791,4.707e-05
2024-08-14 22:11:44.360167,Step[49],0.623427,0.595731,0.404269,4.707e-05
2024-08-14 22:12:30.848822,Step[50],0.562540,0.565150,0.434850,4.707e-05
2024-08-14 22:13:16.663098,Step[51],0.545924,0.588690,0.411310,4.707e-05
2024-08-14 22:14:02.553582,Step[52],0.532669,0.542120,0.457880,4.707e-05
2024-08-14 22:14:48.402558,Step[53],0.545288,0.572098,0.427902,4.707e-05
2024-08-14 22:15:33.965674,Step[54],0.554885,0.570251,0.429749,4.707e-05
2024-08-14 22:16:20.163840,Step[55],0.527713,0.459926,0.540074,4.707e-05
2024-08-14 22:17:05.849160,Step[56],0.482652,0.447093,0.552907,4.707e-05
2024-08-14 22:17:51.629653,Step[57],0.526783,0.489057,0.510943,4.707e-05
2024-08-14 22:18:37.581696,Step[58],0.515398,0.465857,0.534143,4.707e-05
2024-08-14 22:19:23.249040,Step[59],0.484067,0.461441,0.538559,4.707e-05
2024-08-14 22:20:10.760432,Step[60],0.470585,0.419158,0.580842,4.707e-05
2024-08-14 22:20:56.705387,Step[61],0.474022,0.461007,0.538993,4.707e-05
2024-08-14 22:21:42.345319,Step[62],0.480539,0.415819,0.584181,4.707e-05
2024-08-14 22:22:28.865665,Step[63],0.476538,0.443895,0.556105,4.707e-05
2024-08-14 22:23:14.526772,Step[64],0.555188,0.428253,0.571747,4.707e-05
2024-08-14 22:24:00.110023,Step[65],0.446294,0.415427,0.584573,4.707e-05
2024-08-14 22:24:46.177556,Step[66],0.440863,0.393839,0.606161,4.707e-05
2024-08-14 22:25:31.940977,Step[67],0.434460,0.363429,0.636571,4.707e-05
2024-08-14 22:26:18.369258,Step[68],0.407314,0.388105,0.611895,4.707e-05
2024-08-14 22:27:04.027557,Step[69],0.446554,0.404281,0.595719,4.707e-05
2024-08-14 22:27:49.591064,Step[70],0.429552,0.448913,0.551087,4.707e-05
2024-08-14 22:28:35.585597,Step[71],0.454298,0.412354,0.587646,4.707e-05
2024-08-14 22:29:21.164622,Step[72],0.451549,0.413594,0.586406,4.707e-05
2024-08-14 22:30:07.087396,Step[73],0.440346,0.389827,0.610173,4.2363e-05
2024-08-14 22:30:52.895371,Step[74],0.454009,0.426149,0.573851,4.2363e-05
2024-08-14 22:31:38.576239,Step[75],0.434086,0.385322,0.614678,4.2363e-05
