Time,Step,Train loss,Validation loss,Validation dice
2024-04-18 12:22:37.056141,Step[1],0.376773,0.370638,0.629362
2024-04-18 12:23:01.560849,Step[2],0.386665,0.406615,0.593385
2024-04-18 12:23:26.403580,Step[3],0.380821,0.527242,0.472758
2024-04-18 12:23:50.857690,Step[4],0.399354,0.572104,0.427896
2024-04-18 12:24:14.926860,Step[5],0.502097,0.574812,0.425188
2024-04-18 12:24:39.380011,Step[6],0.424728,0.571309,0.428691
2024-04-18 12:25:03.393861,Step[7],0.385602,0.571265,0.428735
2024-04-18 12:25:27.792074,Step[8],0.388650,0.570913,0.429087
2024-04-18 12:25:51.947807,Step[9],0.401151,0.571639,0.428361
2024-04-18 12:26:16.232792,Step[10],0.401163,0.571607,0.428393
2024-04-18 12:26:40.141167,Step[11],0.372966,0.554056,0.445944
2024-04-18 12:27:04.475720,Step[12],0.376176,0.533814,0.466186
2024-04-18 12:27:29.270764,Step[13],0.363865,0.517405,0.482595
2024-04-18 12:27:53.192907,Step[14],0.429754,0.569407,0.430593
2024-04-18 12:28:17.208694,Step[15],0.451659,0.526566,0.473434
2024-04-18 12:28:42.738736,Step[16],0.398086,0.403530,0.596470
2024-04-18 12:29:07.044523,Step[17],0.425583,0.569702,0.430298
2024-04-18 12:29:31.635064,Step[18],0.386271,0.464286,0.535714
2024-04-18 12:29:56.523884,Step[19],0.369114,0.453916,0.546084
2024-04-18 12:30:21.318978,Step[20],0.345697,0.441809,0.558191
2024-04-18 12:30:45.421277,Step[21],0.359842,0.419814,0.580186
2024-04-18 12:31:09.625520,Step[22],0.371213,0.404173,0.595827
2024-04-18 12:31:34.228913,Step[23],0.351352,0.407942,0.592058
2024-04-18 12:31:58.594230,Step[24],0.365877,0.557912,0.442088
2024-04-18 12:32:22.668138,Step[25],0.395738,0.514382,0.485618
2024-04-18 12:32:47.188166,Step[26],0.354023,0.497472,0.502528
2024-04-18 12:33:11.220792,Step[27],0.390590,0.528986,0.471014
2024-04-18 12:33:35.004430,Step[28],0.409126,0.568057,0.431943
2024-04-18 12:33:59.637062,Step[29],0.374221,0.554602,0.445398
2024-04-18 12:34:24.354676,Step[30],0.382795,0.530871,0.469129
2024-04-18 12:34:48.337509,Step[31],0.396624,0.560513,0.439487
2024-04-18 12:35:13.082196,Step[32],0.351336,0.569057,0.430943
2024-04-18 12:35:38.173204,Step[33],0.362859,0.575271,0.424729
2024-04-18 12:36:01.220878,Step[34],0.421400,0.558714,0.441286
2024-04-18 12:36:23.790894,Step[35],0.370207,0.554352,0.445648
2024-04-18 12:36:46.377364,Step[36],0.378971,0.573525,0.426475
2024-04-18 12:37:08.956330,Step[37],0.375044,0.551545,0.448455
2024-04-18 12:37:31.587402,Step[38],0.361992,0.571523,0.428477
2024-04-18 12:37:54.093390,Step[39],0.392418,0.556588,0.443412
2024-04-18 12:38:16.620275,Step[40],0.353381,0.562408,0.437592
2024-04-18 12:38:39.114631,Step[41],0.349087,0.540393,0.459607
2024-04-18 12:39:01.603599,Step[42],0.347898,0.524380,0.475620
2024-04-18 12:39:24.119509,Step[43],0.342529,0.391447,0.608553
2024-04-18 12:39:46.686315,Step[44],0.358081,0.371955,0.628045
2024-04-18 12:40:09.303308,Step[45],0.349945,0.367512,0.632488
2024-04-18 12:40:31.874366,Step[46],0.334977,0.355024,0.644976
2024-04-18 12:40:54.595148,Step[47],0.346940,0.426167,0.573833
2024-04-18 12:41:17.155580,Step[48],0.337044,0.368740,0.631260
2024-04-18 12:41:39.627019,Step[49],0.333982,0.363619,0.636381
2024-04-18 12:42:02.185739,Step[50],0.374817,0.481430,0.518570
2024-04-18 12:42:24.802175,Step[51],0.367936,0.400663,0.599337
2024-04-18 12:42:47.388157,Step[52],0.359874,0.497874,0.502126
2024-04-18 12:43:10.013224,Step[53],0.357972,0.421509,0.578491
2024-04-18 12:43:32.521613,Step[54],0.362402,0.410535,0.589465
2024-04-18 12:43:55.058079,Step[55],0.354779,0.443633,0.556367
2024-04-18 12:44:17.658436,Step[56],0.364176,0.382618,0.617382
2024-04-18 12:44:40.221012,Step[57],0.363765,0.405386,0.594614
2024-04-18 12:45:02.766736,Step[58],0.335110,0.345982,0.654018
2024-04-18 12:45:25.432002,Step[59],0.351493,0.342177,0.657823
2024-04-18 12:45:48.045604,Step[60],0.342340,0.333653,0.666347
2024-04-18 12:46:10.640871,Step[61],0.323478,0.344813,0.655187
2024-04-18 12:46:33.354735,Step[62],0.331591,0.342705,0.657295
2024-04-18 12:46:55.927105,Step[63],0.339362,0.324149,0.675851
2024-04-18 12:47:18.489576,Step[64],0.345023,0.386539,0.613461
2024-04-18 12:47:41.045235,Step[65],0.331523,0.392110,0.607890
2024-04-18 12:48:03.511294,Step[66],0.330556,0.386463,0.613537
2024-04-18 12:48:26.034452,Step[67],0.330305,0.465176,0.534824
2024-04-18 12:48:48.736530,Step[68],0.333954,0.439611,0.560389
2024-04-18 12:49:11.252002,Step[69],0.341529,0.410981,0.589019
2024-04-18 12:49:33.816903,Step[70],0.342137,0.397046,0.602954
2024-04-18 12:49:56.426232,Step[71],0.332849,0.385053,0.614947
2024-04-18 12:50:18.858679,Step[72],0.332654,0.354489,0.645511
2024-04-18 12:50:41.387880,Step[73],0.340545,0.352472,0.647528
2024-04-18 12:51:03.917503,Step[74],0.330654,0.337191,0.662809
2024-04-18 12:51:26.584481,Step[75],0.325486,0.370365,0.629635
2024-04-18 12:51:49.103898,Step[76],0.314267,0.341287,0.658713
2024-04-18 12:52:11.752389,Step[77],0.332949,0.431816,0.568184
2024-04-18 12:52:34.370936,Step[78],0.342650,0.408287,0.591713
2024-04-18 12:52:56.921348,Step[79],0.345273,0.381102,0.618898
2024-04-18 12:53:19.402692,Step[80],0.364751,0.345734,0.654266
2024-04-18 12:53:41.954546,Step[81],0.346358,0.333523,0.666477
2024-04-18 12:54:04.492611,Step[82],0.324415,0.335271,0.664729
2024-04-18 12:54:27.100977,Step[83],0.346635,0.367409,0.632591
2024-04-18 12:54:49.583303,Step[84],0.334471,0.348538,0.651462
2024-04-18 12:55:12.068706,Step[85],0.329779,0.327269,0.672731
2024-04-18 12:55:34.609586,Step[86],0.328754,0.341498,0.658502
2024-04-18 12:55:57.151464,Step[87],0.325927,0.342283,0.657717
2024-04-18 12:56:19.654629,Step[88],0.326305,0.353379,0.646621
2024-04-18 12:56:42.278040,Step[89],0.329383,0.331153,0.668847
2024-04-18 12:57:04.716536,Step[90],0.315295,0.343575,0.656425
2024-04-18 12:57:27.229691,Step[91],0.330619,0.351244,0.648756
2024-04-18 12:57:49.787456,Step[92],0.334557,0.345371,0.654629
2024-04-18 12:58:12.289211,Step[93],0.346287,0.538287,0.461713
2024-04-18 12:58:34.830612,Step[94],0.407168,0.482335,0.517665
2024-04-18 12:58:57.407554,Step[95],0.351006,0.486523,0.513477
2024-04-18 12:59:19.923389,Step[96],0.365178,0.472789,0.527211
2024-04-18 12:59:42.408695,Step[97],0.369237,0.427671,0.572329
2024-04-18 13:00:04.957309,Step[98],0.350916,0.414642,0.585358
2024-04-18 13:00:27.519976,Step[99],0.329356,0.398256,0.601744
2024-04-18 13:00:50.087184,Step[100],0.332191,0.371508,0.628492
2024-04-18 13:01:12.675969,Step[101],0.330985,0.350632,0.649368
2024-04-18 13:01:35.290165,Step[102],0.327515,0.414661,0.585339
2024-04-18 13:01:57.785272,Step[103],0.340893,0.443454,0.556546
2024-04-18 13:02:20.303616,Step[104],0.355927,0.378091,0.621909
2024-04-18 13:02:42.872567,Step[105],0.313615,0.345002,0.654998
2024-04-18 13:03:05.351957,Step[106],0.315867,0.361898,0.638102
2024-04-18 13:03:27.948365,Step[107],0.322403,0.344705,0.655295
2024-04-18 13:03:50.544474,Step[108],0.319052,0.402953,0.597047
2024-04-18 13:04:13.137812,Step[109],0.323747,0.346556,0.653444
2024-04-18 13:04:35.749609,Step[110],0.310474,0.351686,0.648314
2024-04-18 13:04:58.314031,Step[111],0.317165,0.341887,0.658113
2024-04-18 13:05:20.871511,Step[112],0.323544,0.338247,0.661753
2024-04-18 13:05:43.339189,Step[113],0.312472,0.340540,0.659460
2024-04-18 13:06:05.755405,Step[114],0.308859,0.337538,0.662462
2024-04-18 13:06:28.438590,Step[115],0.304021,0.351729,0.648271
2024-04-18 13:06:51.031624,Step[116],0.308449,0.350481,0.649519
2024-04-18 13:07:13.591543,Step[117],0.317560,0.344013,0.655987
2024-04-18 13:07:36.100031,Step[118],0.314961,0.346485,0.653515
