Time,Step,Train loss,Validation loss,Validation dice
34:12.9,Step[1],0.955833,0.897158,0.102842
34:50.4,Step[2],0.896342,0.848326,0.151674
35:27.6,Step[3],0.858933,0.809897,0.190103
36:04.8,Step[4],0.836956,0.793379,0.206621
36:42.0,Step[5],0.816946,0.782916,0.217084
37:19.1,Step[6],0.806519,0.774696,0.225304
37:56.3,Step[7],0.801026,0.769848,0.230152
38:33.8,Step[8],0.79345,0.772725,0.227275
39:11.1,Step[9],0.784977,0.777235,0.222765
39:47.9,Step[10],0.782987,0.768853,0.231147
40:24.9,Step[11],0.778744,0.753809,0.246191
41:02.1,Step[12],0.774374,0.752263,0.247737
41:39.5,Step[13],0.768248,0.748749,0.251251
42:16.7,Step[14],0.766683,0.752218,0.247782
42:53.7,Step[15],0.760194,0.745092,0.254908
43:30.7,Step[16],0.757865,0.75649,0.24351
44:07.7,Step[17],0.755833,0.748458,0.251542
44:44.6,Step[18],0.751411,0.745977,0.254023
45:21.5,Step[19],0.74862,0.734632,0.265368
45:58.6,Step[20],0.741918,0.73387,0.26613
46:35.9,Step[21],0.736969,0.734151,0.265849
47:12.9,Step[22],0.739745,0.730038,0.269962
47:49.8,Step[23],0.739746,0.730408,0.269592
48:26.8,Step[24],0.734147,0.731416,0.268584
49:03.6,Step[25],0.733025,0.725549,0.274451
49:40.6,Step[26],0.732768,0.72501,0.27499
50:17.8,Step[27],0.738385,0.730665,0.269335
50:55.0,Step[28],0.727101,0.728493,0.271507
51:31.8,Step[29],0.727801,0.725474,0.274526
52:08.7,Step[30],0.71865,0.721735,0.278265
52:45.6,Step[31],0.71869,0.722944,0.277056
53:22.7,Step[32],0.720438,0.721528,0.278472
53:59.6,Step[33],0.723152,0.719856,0.280144
54:36.8,Step[34],0.713129,0.726626,0.273374
55:14.0,Step[35],0.715621,0.71757,0.28243
55:50.8,Step[36],0.713769,0.718077,0.281923
56:27.9,Step[37],0.710365,0.721758,0.278242
57:04.6,Step[38],0.710707,0.714998,0.285002
57:41.5,Step[39],0.710048,0.71991,0.28009
58:18.7,Step[40],0.704182,0.725168,0.274832
58:55.6,Step[41],0.707876,0.707757,0.292243
59:32.4,Step[42],0.702156,0.714186,0.285814
00:09.4,Step[43],0.702903,0.709955,0.290045
00:46.2,Step[44],0.706917,0.704177,0.295823
01:23.2,Step[45],0.699453,0.707849,0.292151
02:00.5,Step[46],0.692741,0.711281,0.288719
02:37.2,Step[47],0.695753,0.719426,0.280574
03:14.1,Step[48],0.697557,0.70565,0.29435
03:50.8,Step[49],0.693434,0.710245,0.289755
04:27.7,Step[50],0.689312,0.710815,0.289185
05:04.6,Step[51],0.686521,0.703358,0.296642
05:41.5,Step[52],0.683076,0.709203,0.290797
06:18.7,Step[53],0.680512,0.697529,0.302471
06:55.7,Step[54],0.682621,0.702371,0.297629
07:33.0,Step[55],0.678081,0.696718,0.303282
08:09.7,Step[56],0.680158,0.704835,0.295165
08:46.7,Step[57],0.67926,0.698756,0.301244
09:23.5,Step[58],0.673361,0.698862,0.301138
10:00.2,Step[59],0.673643,0.699093,0.300907
10:37.1,Step[60],0.669625,0.691579,0.308421
11:13.9,Step[61],0.659797,0.692036,0.307964
11:51.0,Step[62],0.666981,0.690554,0.309446
12:27.9,Step[63],0.662059,0.692561,0.307439
13:04.8,Step[64],0.657541,0.689237,0.310763
13:41.7,Step[65],0.659712,0.68917,0.31083
14:18.9,Step[66],0.654087,0.687593,0.312407
14:56.0,Step[67],0.650254,0.679915,0.320085
15:33.2,Step[68],0.656576,0.688472,0.311528
16:10.2,Step[69],0.648388,0.712232,0.287768
16:47.1,Step[70],0.659721,0.679959,0.320041
17:23.9,Step[71],0.649312,0.668948,0.331052
18:00.8,Step[72],0.650579,0.667906,0.332094
18:37.9,Step[73],0.634348,0.652769,0.347231
19:15.2,Step[74],0.638707,0.653728,0.346272
19:52.2,Step[75],0.632897,0.632398,0.367602
20:29.1,Step[76],0.619004,0.617883,0.382117
21:06.2,Step[77],0.613324,0.625275,0.374725
21:43.3,Step[78],0.609156,0.6127,0.3873
22:20.2,Step[79],0.596824,0.58967,0.41033
22:57.4,Step[80],0.57731,0.588099,0.411901
23:34.6,Step[81],0.580178,0.55885,0.44115
24:11.7,Step[82],0.579706,0.576997,0.423003
24:48.7,Step[83],0.557643,0.565952,0.434048
25:25.3,Step[84],0.557373,0.540213,0.459787
26:02.2,Step[85],0.552979,0.498078,0.501922
26:39.4,Step[86],0.555422,0.529046,0.470954
27:16.4,Step[87],0.564354,0.497276,0.502724
27:53.3,Step[88],0.542849,0.48826,0.51174
28:30.3,Step[89],0.532724,0.444524,0.555476
29:07.4,Step[90],0.503566,0.439901,0.560099
29:44.7,Step[91],0.488695,0.434113,0.565887
30:22.2,Step[92],0.504996,0.407502,0.592498
30:59.3,Step[93],0.474721,0.406705,0.593295
31:36.5,Step[94],0.504116,0.510715,0.489285
32:13.7,Step[95],0.476836,0.395823,0.604177
32:50.9,Step[96],0.456503,0.396025,0.603975
33:28.1,Step[97],0.45732,0.385537,0.614463
34:05.0,Step[98],0.454813,0.384986,0.615014
34:42.4,Step[99],0.497209,0.488919,0.511081
35:19.7,Step[100],0.487539,0.38239,0.61761
35:56.8,Step[101],0.442447,0.36901,0.63099
36:34.1,Step[102],0.440057,0.364743,0.635257
37:11.2,Step[103],0.414859,0.3508,0.6492
37:48.5,Step[104],0.439575,0.368949,0.631051
38:25.7,Step[105],0.439824,0.353065,0.646935
39:02.6,Step[106],0.433826,0.361277,0.638723
39:39.5,Step[107],0.397892,0.356499,0.643501
40:16.5,Step[108],0.411227,0.332042,0.667958
40:53.6,Step[109],0.399672,0.343695,0.656305
41:30.8,Step[110],0.400436,0.337229,0.662771
42:07.7,Step[111],0.409862,0.345417,0.654583
42:44.5,Step[112],0.405696,0.340863,0.659137
43:21.4,Step[113],0.399108,0.327472,0.672528
43:58.4,Step[114],0.398472,0.330596,0.669404
44:35.4,Step[115],0.405833,0.336147,0.663853
45:12.3,Step[116],0.401622,0.349464,0.650536
45:49.3,Step[117],0.401119,0.340938,0.659062
46:26.1,Step[118],0.38485,0.322816,0.677184
47:03.1,Step[119],0.447358,0.371282,0.628718
47:40.2,Step[120],0.430894,0.361153,0.638847
48:17.1,Step[121],0.404272,0.332426,0.667574
48:54.0,Step[122],0.39886,0.334702,0.665298
49:30.9,Step[123],0.425466,0.310485,0.689515
50:08.1,Step[124],0.388578,0.32235,0.67765
50:45.2,Step[125],0.39631,0.316242,0.683758
51:22.1,Step[126],0.391526,0.315031,0.684969
51:59.0,Step[127],0.377084,0.309049,0.690951
52:35.9,Step[128],0.409123,0.329156,0.670844
53:13.2,Step[129],0.391437,0.319646,0.680354
53:50.0,Step[130],0.375841,0.325433,0.674567
54:27.0,Step[131],0.40501,0.326415,0.673585
55:03.9,Step[132],0.368132,0.319238,0.680762
55:40.6,Step[133],0.367483,0.301566,0.698434
56:17.7,Step[134],0.378493,0.308213,0.691787
56:54.7,Step[135],0.360277,0.28513,0.71487
57:31.6,Step[136],0.369246,0.293674,0.706326
58:08.9,Step[137],0.378635,0.288631,0.711369
58:45.6,Step[138],0.367958,0.285822,0.714178
59:22.5,Step[139],0.361397,0.31076,0.68924
59:59.2,Step[140],0.36357,0.301253,0.698747
00:36.2,Step[141],0.380275,0.328593,0.671407
01:13.0,Step[142],0.352751,0.296933,0.703067
01:50.0,Step[143],0.358386,0.280934,0.719066
02:26.9,Step[144],0.355892,0.302111,0.697889
03:04.0,Step[145],0.362909,0.306465,0.693535
03:40.9,Step[146],0.365553,0.295601,0.704399
04:17.8,Step[147],0.356499,0.312196,0.687804
04:54.7,Step[148],0.36532,0.310701,0.689299
