Time,Step,Train loss,Validation loss,Validation dice
2024-05-15 18:57:48.960359,Step[1],0.963276,0.921471,0.078529
2024-05-15 19:01:42.403658,Step[2],0.881862,0.829099,0.170901
2024-05-15 19:03:19.262711,Step[3],0.821973,0.803188,0.196812
2024-05-15 19:03:58.589903,Step[4],0.796445,0.810382,0.189618
2024-05-15 19:04:36.016109,Step[5],0.774528,0.764750,0.235250
2024-05-15 19:05:13.493165,Step[6],0.764224,0.761256,0.238744
2024-05-15 19:05:51.120782,Step[7],0.754110,0.749587,0.250413
2024-05-15 19:06:28.682015,Step[8],0.746754,0.741863,0.258137
2024-05-15 19:07:06.312132,Step[9],0.735665,0.742353,0.257647
2024-05-15 19:07:43.360625,Step[10],0.730430,0.736373,0.263627
2024-05-15 19:08:20.229211,Step[11],0.730284,0.740226,0.259774
2024-05-15 19:08:57.065859,Step[12],0.727198,0.730625,0.269375
2024-05-15 19:09:33.997928,Step[13],0.720597,0.729949,0.270051
2024-05-15 19:10:10.928672,Step[14],0.717470,0.726478,0.273522
2024-05-15 19:10:47.932951,Step[15],0.713691,0.722325,0.277675
2024-05-15 19:11:24.892322,Step[16],0.711877,0.720292,0.279708
2024-05-15 19:12:01.838986,Step[17],0.708333,0.717772,0.282228
2024-05-15 19:12:38.740949,Step[18],0.694567,0.713693,0.286307
2024-05-15 19:13:15.849711,Step[19],0.695836,0.710473,0.289527
2024-05-15 19:13:52.831732,Step[20],0.695757,0.710323,0.289677
2024-05-15 19:14:29.797085,Step[21],0.695888,0.710416,0.289584
2024-05-15 19:15:06.667247,Step[22],0.682257,0.714303,0.285697
2024-05-15 19:15:43.524741,Step[23],0.695550,0.708002,0.291998
2024-05-15 19:16:20.409949,Step[24],0.690128,0.703581,0.296419
2024-05-15 19:16:57.298765,Step[25],0.676018,0.704719,0.295281
2024-05-15 19:17:34.215395,Step[26],0.683165,0.706390,0.293610
2024-05-15 19:18:11.064174,Step[27],0.673182,0.704024,0.295976
2024-05-15 19:18:48.031508,Step[28],0.668964,0.698532,0.301468
2024-05-15 19:19:25.004040,Step[29],0.674755,0.697910,0.302090
2024-05-15 19:20:01.951270,Step[30],0.669336,0.713381,0.286619
2024-05-15 19:20:38.759262,Step[31],0.669298,0.707836,0.292164
2024-05-15 19:21:15.568474,Step[32],0.668093,0.696776,0.303224
2024-05-15 19:21:52.612336,Step[33],0.669298,0.694334,0.305666
2024-05-15 19:22:29.542220,Step[34],0.657824,0.697092,0.302908
2024-05-15 19:23:06.383093,Step[35],0.652236,0.715833,0.284167
2024-05-15 19:23:43.231814,Step[36],0.659484,0.695418,0.304582
2024-05-15 19:24:20.086802,Step[37],0.656155,0.694485,0.305515
2024-05-15 19:24:56.934835,Step[38],0.658149,0.689777,0.310223
2024-05-15 19:25:33.915376,Step[39],0.654803,0.692225,0.307775
2024-05-15 19:26:10.779165,Step[40],0.648438,0.693025,0.306975
2024-05-15 19:26:47.677575,Step[41],0.641318,0.695682,0.304318
2024-05-15 19:27:24.549664,Step[42],0.648293,0.693472,0.306528
2024-05-15 19:28:01.409170,Step[43],0.637311,0.679938,0.320062
2024-05-15 19:28:38.376959,Step[44],0.632967,0.682466,0.317534
2024-05-15 19:29:15.114998,Step[45],0.632626,0.678620,0.321380
2024-05-15 19:29:52.076965,Step[46],0.630780,0.677770,0.322230
2024-05-15 19:30:29.047092,Step[47],0.635272,0.686417,0.313583
2024-05-15 19:31:05.947947,Step[48],0.630384,0.676360,0.323640
