Time,Step,Train loss,Validation loss,Validation dice
2024-05-30 06:01:32.608702,Step[1],0.954069,0.911656,0.088344
2024-05-30 06:02:29.796149,Step[2],0.866279,0.790392,0.209608
2024-05-30 06:03:26.522143,Step[3],0.813933,0.767952,0.232048
2024-05-30 06:04:22.949799,Step[4],0.792045,0.756150,0.243850
2024-05-30 06:05:19.625630,Step[5],0.777715,0.753117,0.246883
2024-05-30 06:06:16.787664,Step[6],0.765721,0.752654,0.247346
2024-05-30 06:07:13.400068,Step[7],0.758590,0.744097,0.255903
2024-05-30 06:08:10.237577,Step[8],0.744693,0.740457,0.259543
2024-05-30 06:09:08.045559,Step[9],0.745644,0.737178,0.262822
2024-05-30 06:10:03.706966,Step[10],0.743529,0.738089,0.261911
2024-05-30 06:10:57.266631,Step[11],0.736534,0.733310,0.266690
2024-05-30 06:11:50.983627,Step[12],0.735786,0.731495,0.268505
2024-05-30 06:12:44.709195,Step[13],0.730120,0.728998,0.271002
2024-05-30 06:13:38.339323,Step[14],0.728427,0.726011,0.273989
2024-05-30 06:14:31.981869,Step[15],0.721742,0.725263,0.274737
2024-05-30 06:15:25.630769,Step[16],0.719920,0.722735,0.277265
2024-05-30 06:16:19.351085,Step[17],0.714751,0.723812,0.276188
2024-05-30 06:17:12.907631,Step[18],0.710791,0.726969,0.273031
2024-05-30 06:18:06.363041,Step[19],0.710552,0.716598,0.283402
2024-05-30 06:18:59.887924,Step[20],0.713345,0.709122,0.290878
2024-05-30 06:19:53.642202,Step[21],0.710720,0.710853,0.289147
2024-05-30 06:20:47.183718,Step[22],0.704471,0.702572,0.297428
2024-05-30 06:21:40.802982,Step[23],0.705646,0.732550,0.267450
2024-05-30 06:22:34.302437,Step[24],0.712577,0.706388,0.293612
2024-05-30 06:23:27.812358,Step[25],0.707329,0.721114,0.278886
2024-05-30 06:24:21.358589,Step[26],0.699938,0.705856,0.294144
2024-05-30 06:25:14.921280,Step[27],0.690918,0.702185,0.297815
2024-05-30 06:26:08.519209,Step[28],0.696145,0.699472,0.300528
2024-05-30 06:27:02.097711,Step[29],0.692807,0.695481,0.304519
2024-05-30 06:27:55.794862,Step[30],0.689356,0.696517,0.303483
2024-05-30 06:28:49.415289,Step[31],0.687538,0.694844,0.305156
2024-05-30 06:29:43.059313,Step[32],0.681316,0.701667,0.298333
2024-05-30 06:30:36.524130,Step[33],0.690488,0.689557,0.310443
2024-05-30 06:31:30.127640,Step[34],0.684621,0.684636,0.315364
2024-05-30 06:32:24.010374,Step[35],0.679577,0.694825,0.305175
2024-05-30 06:33:17.481362,Step[36],0.679482,0.695421,0.304579
2024-05-30 06:34:10.976919,Step[37],0.675900,0.686026,0.313974
2024-05-30 06:35:04.384869,Step[38],0.703378,0.709893,0.290107
2024-05-30 06:35:57.915415,Step[39],0.693139,0.686778,0.313222
2024-05-30 06:36:51.480193,Step[40],0.674944,0.680329,0.319671
2024-05-30 06:37:45.084305,Step[41],0.671739,0.676580,0.323420
2024-05-30 06:38:38.651351,Step[42],0.677496,0.708919,0.291081
2024-05-30 06:39:32.171917,Step[43],0.665789,0.662143,0.337857
2024-05-30 06:40:25.889218,Step[44],0.652956,0.654751,0.345249
2024-05-30 06:41:19.427247,Step[45],0.651069,0.649938,0.350062
2024-05-30 06:42:13.093707,Step[46],0.760957,0.851487,0.148513
2024-05-30 06:43:06.618183,Step[47],0.706742,0.667365,0.332635
2024-05-30 06:44:00.183448,Step[48],0.626741,0.631150,0.368850
2024-05-30 06:44:53.868087,Step[49],0.616774,0.618778,0.381222
2024-05-30 06:45:47.484280,Step[50],0.604858,0.603869,0.396131
2024-05-30 06:46:41.144235,Step[51],0.590591,0.599297,0.400703
2024-05-30 06:47:34.899067,Step[52],0.598255,0.638910,0.361090
2024-05-30 06:48:28.518009,Step[53],0.586610,0.591158,0.408842
2024-05-30 06:49:22.135890,Step[54],0.655940,0.783736,0.216264
2024-05-30 06:50:15.650189,Step[55],0.659482,0.590299,0.409701
2024-05-30 06:51:09.243949,Step[56],0.554607,0.574509,0.425491
2024-05-30 06:52:03.048962,Step[57],0.538045,0.543831,0.456169
2024-05-30 06:52:56.679603,Step[58],0.513810,0.536739,0.463261
2024-05-30 06:53:50.328327,Step[59],0.647756,0.557180,0.442820
2024-05-30 06:54:43.826938,Step[60],0.527330,0.544855,0.455145
2024-05-30 06:55:37.452861,Step[61],0.502388,0.524479,0.475521
2024-05-30 06:56:31.327850,Step[62],0.495810,0.521697,0.478303
2024-05-30 06:57:24.943227,Step[63],0.510777,0.541048,0.458952
2024-05-30 06:58:18.440893,Step[64],0.497525,0.506200,0.493800
2024-05-30 06:59:12.079307,Step[65],0.485991,0.500357,0.499643
2024-05-30 07:00:05.859007,Step[66],0.499604,0.501826,0.498174
2024-05-30 07:00:59.417820,Step[67],0.502264,0.504670,0.495330
2024-05-30 07:01:52.972175,Step[68],0.469915,0.503671,0.496329
2024-05-30 07:02:46.470281,Step[69],0.473361,0.482825,0.517175
2024-05-30 07:03:40.129353,Step[70],0.458656,0.481910,0.518090
2024-05-30 07:04:33.901984,Step[71],0.523854,0.486944,0.513056
2024-05-30 07:05:27.422110,Step[72],0.475951,0.480491,0.519509
2024-05-30 07:06:21.137832,Step[73],0.475731,0.489991,0.510009
2024-05-30 07:07:14.629669,Step[74],0.468375,0.487673,0.512327
2024-05-30 07:08:08.237986,Step[75],0.475840,0.534086,0.465914
2024-05-30 07:09:01.731516,Step[76],0.460335,0.494504,0.505496
2024-05-30 07:09:55.291176,Step[77],0.443306,0.479127,0.520873
2024-05-30 07:10:49.029453,Step[78],0.462509,0.478163,0.521837
2024-05-30 07:11:42.891443,Step[79],0.485283,0.569081,0.430919
2024-05-30 07:12:36.468772,Step[80],0.474820,0.482186,0.517814
2024-05-30 07:13:30.049504,Step[81],0.525216,0.507837,0.492163
2024-05-30 07:14:23.523090,Step[82],0.465694,0.516358,0.483642
2024-05-30 07:15:17.118437,Step[83],0.468386,0.510011,0.489989
2024-05-30 07:16:10.846281,Step[84],0.454852,0.503649,0.496351
2024-05-30 07:17:04.501709,Step[85],0.426545,0.498312,0.501688
2024-05-30 07:17:58.012404,Step[86],0.436443,0.487259,0.512741
2024-05-30 07:18:51.487870,Step[87],0.416264,0.484186,0.515814
2024-05-30 07:19:45.095501,Step[88],0.433487,0.489282,0.510718
2024-05-30 07:20:38.721138,Step[89],0.449179,0.482743,0.517257
2024-05-30 07:21:32.240680,Step[90],0.406231,0.472786,0.527214
2024-05-30 07:22:26.022012,Step[91],0.429911,0.477694,0.522306
2024-05-30 07:23:19.472463,Step[92],0.418455,0.474566,0.525434
2024-05-30 07:24:13.075996,Step[93],0.418028,0.481721,0.518279
2024-05-30 07:25:06.566589,Step[94],0.441924,0.481806,0.518194
2024-05-30 07:26:00.178506,Step[95],0.430392,0.486470,0.513530
2024-05-30 07:26:53.660858,Step[96],0.427909,0.472640,0.527360
2024-05-30 07:27:47.371515,Step[97],0.437013,0.444465,0.555535
2024-05-30 07:28:41.134293,Step[98],0.409473,0.458181,0.541819
