Time,Step,Train loss,Validation loss,Validation dice
2024-09-09 16:09:00.756935,Step[1],0.962852,0.885389,0.114611
2024-09-09 16:09:51.431806,Step[2],0.906740,0.782742,0.217258
2024-09-09 16:10:37.655086,Step[3],0.859897,0.752855,0.247145
2024-09-09 16:11:24.079183,Step[4],0.834947,0.756198,0.243802
2024-09-09 16:12:10.596639,Step[5],0.827143,0.733631,0.266369
2024-09-09 16:12:57.295044,Step[6],0.814833,0.719624,0.280376
2024-09-09 16:13:43.947439,Step[7],0.801376,0.713746,0.286254
2024-09-09 16:14:30.715279,Step[8],0.796679,0.709309,0.290691
2024-09-09 16:15:17.455301,Step[9],0.788220,0.702271,0.297729
2024-09-09 16:16:04.341335,Step[10],0.787450,0.708157,0.291843
2024-09-09 16:16:50.989170,Step[11],0.780500,0.690367,0.309633
2024-09-09 16:17:37.675398,Step[12],0.777600,0.686759,0.313241
2024-09-09 16:18:24.418322,Step[13],0.767883,0.681241,0.318759
2024-09-09 16:19:11.141774,Step[14],0.767979,0.684115,0.315885
2024-09-09 16:19:57.755490,Step[15],0.763100,0.676965,0.323035
2024-09-09 16:20:44.667243,Step[16],0.755946,0.697804,0.302196
2024-09-09 16:21:31.379027,Step[17],0.755534,0.670529,0.329471
2024-09-09 16:22:18.229009,Step[18],0.751880,0.663007,0.336993
2024-09-09 16:23:05.109239,Step[19],0.746024,0.658893,0.341107
2024-09-09 16:23:51.890026,Step[20],0.746135,0.666937,0.333063
2024-09-09 16:24:38.663249,Step[21],0.744323,0.664793,0.335207
2024-09-09 16:25:25.444332,Step[22],0.737341,0.676163,0.323837
2024-09-09 16:26:12.424049,Step[23],0.748834,0.660775,0.339225
2024-09-09 16:26:59.200209,Step[24],0.733139,0.667856,0.332144
2024-09-09 16:27:45.924440,Step[25],0.730231,0.658037,0.341963
2024-09-09 16:28:32.984484,Step[26],0.734781,0.656609,0.343391
2024-09-09 16:29:19.874665,Step[27],0.731376,0.656852,0.343148
2024-09-09 16:30:06.685347,Step[28],0.719882,0.670418,0.329582
2024-09-09 16:30:53.421568,Step[29],0.719297,0.646777,0.353223
2024-09-09 16:31:40.264473,Step[30],0.713078,0.644367,0.355633
2024-09-09 16:32:27.162065,Step[31],0.721160,0.653096,0.346904
2024-09-09 16:33:13.879407,Step[32],0.724455,0.647145,0.352855
2024-09-09 16:34:02.100667,Step[33],0.711356,0.658834,0.341166
2024-09-09 16:34:54.944547,Step[34],0.716659,0.648593,0.351407
2024-09-09 16:35:48.021544,Step[35],0.711578,0.649537,0.350463
2024-09-09 16:36:40.569467,Step[36],0.710792,0.650568,0.349432
2024-09-09 16:37:33.475876,Step[37],0.711179,0.650562,0.349438
2024-09-09 16:38:26.631732,Step[38],0.707148,0.644868,0.355132
2024-09-09 16:39:19.856826,Step[39],0.705167,0.647650,0.352350
2024-09-09 16:40:07.196246,Step[40],0.699658,0.650738,0.349262
2024-09-09 16:40:53.934603,Step[41],0.701595,0.646668,0.353332
2024-09-09 16:41:40.589904,Step[42],0.706018,0.658613,0.341387
2024-09-09 16:42:27.328977,Step[43],0.705114,0.641301,0.358699
2024-09-09 16:43:14.291016,Step[44],0.696982,0.642838,0.357162
2024-09-09 16:44:00.966982,Step[45],0.696426,0.639055,0.360945
2024-09-09 16:44:47.779081,Step[46],0.703436,0.638545,0.361455
2024-09-09 16:45:34.506955,Step[47],0.695016,0.649575,0.350425
2024-09-09 16:46:21.161881,Step[48],0.695925,0.638571,0.361429
2024-09-09 16:47:07.871751,Step[49],0.700957,0.641697,0.358303
2024-09-09 16:47:54.434928,Step[50],0.686599,0.640526,0.359474
2024-09-09 16:48:41.139104,Step[51],0.692925,0.641487,0.358513
2024-09-09 16:49:27.804148,Step[52],0.687284,0.636369,0.363631
2024-09-09 16:50:14.595202,Step[53],0.684508,0.647491,0.352509
2024-09-09 16:51:01.321297,Step[54],0.686407,0.637514,0.362486
2024-09-09 16:51:47.973972,Step[55],0.681841,0.634552,0.365448
2024-09-09 16:52:34.826606,Step[56],0.684571,0.635375,0.364625
2024-09-09 16:53:21.534887,Step[57],0.674997,0.639081,0.360919
2024-09-09 16:54:08.268180,Step[58],0.681168,0.630221,0.369779
2024-09-09 16:54:55.144273,Step[59],0.680495,0.638314,0.361686
2024-09-09 16:55:41.861321,Step[60],0.678442,0.634662,0.365338
2024-09-09 16:56:28.759709,Step[61],0.678982,0.633686,0.366314
2024-09-09 16:57:15.522726,Step[62],0.677528,0.638775,0.361225
2024-09-09 16:58:02.269749,Step[63],0.677668,0.633256,0.366744
2024-09-09 16:58:48.991988,Step[64],0.673256,0.631758,0.368242
2024-09-09 16:59:35.654153,Step[65],0.667715,0.632338,0.367662
2024-09-09 17:00:22.506634,Step[66],0.672495,0.632351,0.367649
2024-09-09 17:01:09.403401,Step[67],0.668736,0.640143,0.359857
2024-09-09 17:01:56.146872,Step[68],0.665671,0.639175,0.360825
2024-09-09 17:02:42.887138,Step[69],0.664745,0.632400,0.367600
2024-09-09 17:03:29.586228,Step[70],0.666442,0.640702,0.359298
2024-09-09 17:04:16.473685,Step[71],0.658920,0.627027,0.372973
2024-09-09 17:05:03.440743,Step[72],0.655704,0.619914,0.380086
2024-09-09 17:05:50.201701,Step[73],0.654746,0.637304,0.362696
2024-09-09 17:06:37.022896,Step[74],0.670424,0.625490,0.374510
2024-09-09 17:07:23.735501,Step[75],0.652939,0.623447,0.376553
2024-09-09 17:08:10.440603,Step[76],0.651607,0.614882,0.385118
2024-09-09 17:08:57.396349,Step[77],0.651719,0.627579,0.372421
2024-09-09 17:09:43.987368,Step[78],0.645215,0.618711,0.381289
2024-09-09 17:10:30.692626,Step[79],0.643018,0.600898,0.399102
2024-09-09 17:11:17.606564,Step[80],0.645771,0.598075,0.401925
2024-09-09 17:12:04.583114,Step[81],0.635010,0.604375,0.395625
2024-09-09 17:12:51.308246,Step[82],0.635757,0.591648,0.408352
2024-09-09 17:13:38.135105,Step[83],0.637368,0.590496,0.409504
2024-09-09 17:14:25.058787,Step[84],0.641906,0.593749,0.406251
2024-09-09 17:15:11.823257,Step[85],0.621762,0.567320,0.432680
2024-09-09 17:15:58.709796,Step[86],0.639132,0.588600,0.411400
2024-09-09 17:16:45.432799,Step[87],0.612451,0.573812,0.426188
2024-09-09 17:17:32.109791,Step[88],0.606719,0.580831,0.419169
2024-09-09 17:18:18.898227,Step[89],0.597728,0.558953,0.441047
2024-09-09 17:19:05.799574,Step[90],0.599380,0.543458,0.456542
2024-09-09 17:19:52.538547,Step[91],0.589949,0.561996,0.438004
2024-09-09 17:20:39.285162,Step[92],0.590246,0.538433,0.461567
2024-09-09 17:21:26.058217,Step[93],0.565223,0.556428,0.443572
2024-09-09 17:22:12.854353,Step[94],0.595786,0.521040,0.478960
2024-09-09 17:22:59.702913,Step[95],0.555751,0.535272,0.464728
2024-09-09 17:23:46.404845,Step[96],0.547641,0.531218,0.468782
2024-09-09 17:24:33.150336,Step[97],0.549480,0.526176,0.473824
2024-09-09 17:25:19.860245,Step[98],0.536959,0.509361,0.490639
2024-09-09 17:26:06.718967,Step[99],0.534018,0.490114,0.509886
2024-09-09 17:26:53.613305,Step[100],0.545956,0.504854,0.495146
2024-09-09 17:27:40.226276,Step[101],0.536940,0.488747,0.511253
2024-09-09 17:28:27.185555,Step[102],0.537705,0.488629,0.511371
2024-09-09 17:29:14.075017,Step[103],0.536721,0.492837,0.507163
2024-09-09 17:30:00.741814,Step[104],0.544668,0.562812,0.437188
2024-09-09 17:30:47.420059,Step[105],0.510178,0.485917,0.514083
2024-09-09 17:31:34.191060,Step[106],0.481182,0.469130,0.530870
2024-09-09 17:32:21.163237,Step[107],0.475976,0.461391,0.538609
2024-09-09 17:33:08.009871,Step[108],0.482750,0.478715,0.521285
2024-09-09 17:33:54.641553,Step[109],0.490070,0.450112,0.549888
2024-09-09 17:34:41.464794,Step[110],0.480325,0.456191,0.543809
2024-09-09 17:35:28.186553,Step[111],0.511064,0.468385,0.531615
2024-09-09 17:36:14.923632,Step[112],0.508770,0.485834,0.514166
2024-09-09 17:37:01.758050,Step[113],0.478310,0.478791,0.521209
2024-09-09 17:37:48.387839,Step[114],0.488256,0.450172,0.549828
2024-09-09 17:38:35.079626,Step[115],0.457415,0.421836,0.578164
2024-09-09 17:39:21.909074,Step[116],0.476941,0.425952,0.574048
2024-09-09 17:40:08.751179,Step[117],0.452856,0.444131,0.555869
2024-09-09 17:40:55.466056,Step[118],0.451980,0.418762,0.581238
2024-09-09 17:41:42.277607,Step[119],0.452141,0.445530,0.554470
2024-09-09 17:42:29.119988,Step[120],0.462491,0.399846,0.600154
2024-09-09 17:43:16.036379,Step[121],0.416055,0.396419,0.603581
2024-09-09 17:44:02.933618,Step[122],0.416671,0.402254,0.597746
2024-09-09 17:44:49.735788,Step[123],0.420396,0.420325,0.579675
2024-09-09 17:45:36.395733,Step[124],0.432936,0.440272,0.559728
2024-09-09 17:46:23.198685,Step[125],0.441006,0.411685,0.588315
2024-09-09 17:47:09.948888,Step[126],0.430086,0.383937,0.616063
2024-09-09 17:47:56.819938,Step[127],0.482943,0.447163,0.552837
2024-09-09 17:48:43.630906,Step[128],0.445588,0.425185,0.574815
2024-09-09 17:49:30.344463,Step[129],0.438247,0.395176,0.604824
2024-09-09 17:50:17.157051,Step[130],0.418634,0.402611,0.597389
2024-09-09 17:51:04.047744,Step[131],0.439206,0.416945,0.583055
2024-09-09 17:51:50.723888,Step[132],0.433748,0.414607,0.585393
2024-09-09 17:52:37.589947,Step[133],0.425333,0.420131,0.579869
2024-09-09 17:53:24.325205,Step[134],0.412159,0.405610,0.594390
2024-09-09 17:54:11.161498,Step[135],0.413963,0.392210,0.607790
2024-09-09 17:54:57.967684,Step[136],0.403581,0.415403,0.584597
2024-09-09 17:55:44.674191,Step[137],0.417435,0.390282,0.609718
2024-09-09 17:56:31.536815,Step[138],0.414186,0.399139,0.600861
2024-09-09 17:57:18.336242,Step[139],0.393943,0.381743,0.618257
2024-09-09 17:58:05.240447,Step[140],0.397690,0.382223,0.617777
2024-09-09 17:58:51.967418,Step[141],0.386297,0.397751,0.602249
2024-09-09 17:59:38.643093,Step[142],0.383917,0.397147,0.602853
2024-09-09 18:00:25.427982,Step[143],0.378951,0.365691,0.634309
2024-09-09 18:01:12.466595,Step[144],0.383635,0.381925,0.618075
2024-09-09 18:01:59.171846,Step[145],0.371068,0.375515,0.624485
2024-09-09 18:02:45.952685,Step[146],0.381382,0.356686,0.643314
2024-09-09 18:03:32.882378,Step[147],0.368820,0.382542,0.617458
2024-09-09 18:04:19.737911,Step[148],0.366023,0.376803,0.623197
2024-09-09 18:05:06.594771,Step[149],0.373101,0.369128,0.630872
2024-09-09 18:05:53.267490,Step[150],0.381246,0.412478,0.587522
2024-09-09 18:06:40.016916,Step[151],0.376282,0.366026,0.633974
2024-09-09 18:07:26.795846,Step[152],0.379956,0.373067,0.626933
2024-09-09 18:08:13.577035,Step[153],0.366546,0.365706,0.634294
