Time,Step,Train loss,Validation loss,Validation dice
2024-04-25 16:38:04.483966,Step[1],0.954192,0.969050,0.030950
2024-04-25 16:38:25.983618,Step[2],0.926039,0.953072,0.046928
2024-04-25 16:38:44.753743,Step[3],0.906150,0.937088,0.062912
2024-04-25 16:39:03.545714,Step[4],0.883574,0.895375,0.104625
2024-04-25 16:39:22.427942,Step[5],0.861852,0.877886,0.122114
2024-04-25 16:39:41.281006,Step[6],0.838360,0.895415,0.104585
2024-04-25 16:40:00.130904,Step[7],0.837978,0.871583,0.128417
2024-04-25 16:40:18.918107,Step[8],0.813213,0.867493,0.132507
2024-04-25 16:40:37.807770,Step[9],0.804274,0.855116,0.144884
2024-04-25 16:40:56.823321,Step[10],0.804694,0.856925,0.143075
2024-04-25 16:41:15.745860,Step[11],0.787221,0.859870,0.140130
2024-04-25 16:41:34.453918,Step[12],0.793004,0.854919,0.145081
2024-04-25 16:41:53.234257,Step[13],0.790114,0.852654,0.147346
2024-04-25 16:42:12.096548,Step[14],0.770031,0.837667,0.162333
2024-04-25 16:42:30.966790,Step[15],0.775676,0.849456,0.150544
2024-04-25 16:42:49.807670,Step[16],0.771096,0.824213,0.175787
2024-04-25 16:43:08.586052,Step[17],0.765229,0.835120,0.164880
2024-04-25 16:43:27.470608,Step[18],0.757461,0.822962,0.177038
2024-04-25 16:43:46.238160,Step[19],0.753187,0.821065,0.178935
2024-04-25 16:44:05.180638,Step[20],0.744302,0.823129,0.176871
2024-04-25 16:44:24.090599,Step[21],0.745743,0.830484,0.169516
2024-04-25 16:44:42.808862,Step[22],0.739719,0.817259,0.182741
2024-04-25 16:45:01.661918,Step[23],0.747941,0.816404,0.183596
2024-04-25 16:45:20.720875,Step[24],0.737157,0.846618,0.153382
2024-04-25 16:45:39.746991,Step[25],0.744204,0.812312,0.187688
2024-04-25 16:45:58.556814,Step[26],0.741378,0.825362,0.174638
2024-04-25 16:46:17.531282,Step[27],0.728698,0.825002,0.174998
2024-04-25 16:46:36.241042,Step[28],0.728350,0.805199,0.194801
2024-04-25 16:46:54.991936,Step[29],0.726817,0.822940,0.177060
2024-04-25 16:47:13.879110,Step[30],0.726405,0.809232,0.190768
2024-04-25 16:47:32.589853,Step[31],0.709870,0.810578,0.189422
2024-04-25 16:47:51.280310,Step[32],0.706866,0.805533,0.194467
2024-04-25 16:48:10.024533,Step[33],0.710170,0.798587,0.201413
2024-04-25 16:48:28.830406,Step[34],0.705974,0.814499,0.185501
2024-04-25 16:48:47.781054,Step[35],0.700699,0.788157,0.211843
2024-04-25 16:49:06.524251,Step[36],0.700453,0.802848,0.197152
2024-04-25 16:49:25.329504,Step[37],0.703874,0.815284,0.184716
2024-04-25 16:49:45.030193,Step[38],0.710122,0.805713,0.194287
2024-04-25 16:50:03.823478,Step[39],0.693957,0.788752,0.211248
2024-04-25 16:50:22.469773,Step[40],0.693653,0.785526,0.214474
2024-04-25 16:50:41.235289,Step[41],0.686436,0.807102,0.192898
2024-04-25 16:51:00.253152,Step[42],0.692722,0.828375,0.171625
2024-04-25 16:51:18.950960,Step[43],0.693780,0.799604,0.200396
2024-04-25 16:51:37.664176,Step[44],0.705523,0.796641,0.203359
2024-04-25 16:51:56.273254,Step[45],0.677600,0.782123,0.217877
2024-04-25 16:52:15.055816,Step[46],0.666694,0.783475,0.216525
2024-04-25 16:52:34.004066,Step[47],0.672239,0.782508,0.217492
2024-04-25 16:52:52.663958,Step[48],0.671599,0.790129,0.209871
2024-04-25 16:53:11.341830,Step[49],0.675609,0.785867,0.214133
2024-04-25 16:53:29.985342,Step[50],0.664776,0.778786,0.221214
2024-04-25 16:53:48.762889,Step[51],0.663152,0.807635,0.192365
2024-04-25 16:54:07.676879,Step[52],0.667836,0.779657,0.220343
2024-04-25 16:54:26.366400,Step[53],0.668919,0.783632,0.216368
2024-04-25 16:54:45.059577,Step[54],0.653402,0.791463,0.208537
2024-04-25 16:55:03.717738,Step[55],0.663513,0.775593,0.224407
2024-04-25 16:55:22.553569,Step[56],0.656513,0.760278,0.239722
2024-04-25 16:55:41.611410,Step[57],0.642662,0.772699,0.227301
2024-04-25 16:56:00.481679,Step[58],0.657317,0.771862,0.228138
2024-04-25 16:56:19.144759,Step[59],0.638211,0.764954,0.235046
2024-04-25 16:56:37.850617,Step[60],0.632248,0.770373,0.229627
2024-04-25 16:56:56.547719,Step[61],0.632448,0.772169,0.227831
2024-04-25 16:57:15.277279,Step[62],0.630747,0.776511,0.223489
2024-04-25 16:57:34.021076,Step[63],0.634786,0.779181,0.220819
2024-04-25 16:57:52.755930,Step[64],0.651781,0.771637,0.228363
