Time,Step,Train loss,Validation loss,Validation dice
2024-05-04 23:28:31.589760,Step[1],0.967326,0.954898,0.045102
2024-05-04 23:28:49.148854,Step[2],0.946241,0.938380,0.061620
2024-05-04 23:29:06.696383,Step[3],0.916223,0.882858,0.117142
2024-05-04 23:29:24.250977,Step[4],0.882756,0.867785,0.132215
2024-05-04 23:29:41.875008,Step[5],0.879857,0.852377,0.147623
2024-05-04 23:29:59.449664,Step[6],0.886034,0.874166,0.125834
2024-05-04 23:30:16.946354,Step[7],0.857988,0.844667,0.155333
2024-05-04 23:30:34.579510,Step[8],0.851584,0.845967,0.154033
2024-05-04 23:30:52.071187,Step[9],0.855878,0.818945,0.181055
2024-05-04 23:31:09.619115,Step[10],0.844988,0.823317,0.176683
2024-05-04 23:31:27.060849,Step[11],0.841900,0.871667,0.128333
2024-05-04 23:31:44.545772,Step[12],0.838975,0.859188,0.140812
2024-05-04 23:32:02.011382,Step[13],0.830688,0.830421,0.169579
2024-05-04 23:32:19.439669,Step[14],0.827607,0.849411,0.150589
2024-05-04 23:32:36.892901,Step[15],0.826017,0.848287,0.151713
2024-05-04 23:32:54.369747,Step[16],0.822898,0.802773,0.197227
2024-05-04 23:33:11.875203,Step[17],0.818844,0.793209,0.206791
2024-05-04 23:33:29.383243,Step[18],0.811879,0.804531,0.195469
2024-05-04 23:33:46.856874,Step[19],0.808603,0.803208,0.196792
2024-05-04 23:34:04.328274,Step[20],0.798342,0.804282,0.195718
2024-05-04 23:34:21.770449,Step[21],0.792485,0.812839,0.187161
2024-05-04 23:34:39.267017,Step[22],0.797662,0.786043,0.213957
2024-05-04 23:34:56.784638,Step[23],0.803265,0.794584,0.205416
2024-05-04 23:35:14.261962,Step[24],0.786445,0.771637,0.228363
2024-05-04 23:35:31.757764,Step[25],0.803488,0.790831,0.209169
2024-05-04 23:35:49.211770,Step[26],0.783009,0.809743,0.190257
2024-05-04 23:36:06.688511,Step[27],0.787269,0.802232,0.197768
2024-05-04 23:36:24.161794,Step[28],0.785314,0.779724,0.220276
2024-05-04 23:36:41.607141,Step[29],0.776745,0.757535,0.242465
2024-05-04 23:36:59.110853,Step[30],0.779653,0.768998,0.231002
2024-05-04 23:37:16.538380,Step[31],0.765583,0.775113,0.224887
2024-05-04 23:37:34.017518,Step[32],0.764256,0.782796,0.217204
2024-05-04 23:37:51.519624,Step[33],0.762437,0.743521,0.256479
2024-05-04 23:38:09.025301,Step[34],0.758969,0.781363,0.218637
2024-05-04 23:38:26.483318,Step[35],0.760060,0.743509,0.256491
2024-05-04 23:38:44.006940,Step[36],0.754407,0.735690,0.264310
2024-05-04 23:39:01.492696,Step[37],0.754493,0.739408,0.260592
2024-05-04 23:39:18.950840,Step[38],0.745076,0.747922,0.252078
2024-05-04 23:39:36.384015,Step[39],0.747512,0.748151,0.251849
2024-05-04 23:39:53.836789,Step[40],0.738453,0.747406,0.252594
2024-05-04 23:40:11.284703,Step[41],0.744093,0.745145,0.254855
2024-05-04 23:40:28.717654,Step[42],0.737925,0.743812,0.256188
2024-05-04 23:40:46.140764,Step[43],0.729171,0.744763,0.255237
2024-05-04 23:41:03.556520,Step[44],0.733647,0.727343,0.272657
2024-05-04 23:41:21.085215,Step[45],0.724364,0.774356,0.225644
2024-05-04 23:41:38.622742,Step[46],0.728344,0.766249,0.233751
2024-05-04 23:41:56.106558,Step[47],0.722456,0.747712,0.252288
2024-05-04 23:42:13.578378,Step[48],0.721128,0.710610,0.289390
2024-05-04 23:42:31.171695,Step[49],0.738671,0.715726,0.284274
2024-05-04 23:42:48.655570,Step[50],0.731571,0.749662,0.250338
2024-05-04 23:43:06.137904,Step[51],0.728385,0.736597,0.263403
2024-05-04 23:43:23.605025,Step[52],0.727868,0.724000,0.276000
2024-05-04 23:43:41.087613,Step[53],0.722289,0.719804,0.280196
2024-05-04 23:43:58.556405,Step[54],0.719143,0.702238,0.297762
2024-05-04 23:44:16.043100,Step[55],0.723423,0.715592,0.284408
2024-05-04 23:44:33.472225,Step[56],0.710344,0.715966,0.284034
