Time,Step,Train loss,Validation loss,Validation dice
2024-04-28 00:47:17.083599,Step[1],0.945955,0.906758,0.093242
2024-04-28 00:47:47.811601,Step[2],0.916397,0.878797,0.121203
2024-04-28 00:48:18.497800,Step[3],0.891535,0.861916,0.138084
2024-04-28 00:48:49.322165,Step[4],0.860243,0.830318,0.169682
2024-04-28 00:49:20.048550,Step[5],0.844598,0.814360,0.185640
2024-04-28 00:49:50.695848,Step[6],0.827565,0.775906,0.224094
2024-04-28 00:50:21.354881,Step[7],0.819321,0.800784,0.199216
2024-04-28 00:50:51.879077,Step[8],0.819131,0.785613,0.214387
2024-04-28 00:51:22.291370,Step[9],0.802651,0.770067,0.229933
2024-04-28 00:51:52.894521,Step[10],0.789372,0.757080,0.242920
2024-04-28 00:52:23.467584,Step[11],0.781911,0.756038,0.243962
2024-04-28 00:52:54.079020,Step[12],0.791984,0.757546,0.242454
2024-04-28 00:53:24.495055,Step[13],0.773701,0.723699,0.276301
2024-04-28 00:53:55.062527,Step[14],0.771216,0.754585,0.245415
2024-04-28 00:54:25.452043,Step[15],0.748452,0.746019,0.253981
2024-04-28 00:54:55.838464,Step[16],0.736872,0.667718,0.332282
2024-04-28 00:55:26.436722,Step[17],0.723177,0.714712,0.285288
2024-04-28 00:55:56.780794,Step[18],0.712664,0.658722,0.341278
2024-04-28 00:56:27.365205,Step[19],0.689436,0.599043,0.400957
2024-04-28 00:56:57.993734,Step[20],0.719543,0.745418,0.254582
2024-04-28 00:57:28.361272,Step[21],0.786008,0.755247,0.244753
2024-04-28 00:57:58.760536,Step[22],0.719339,0.574857,0.425143
2024-04-28 00:58:29.386325,Step[23],0.666578,0.588963,0.411037
2024-04-28 00:58:59.767846,Step[24],0.682693,0.636265,0.363735
2024-04-28 00:59:30.162149,Step[25],0.669154,0.613083,0.386917
2024-04-28 01:00:00.519326,Step[26],0.659163,0.628093,0.371907
2024-04-28 01:00:30.850021,Step[27],0.653325,0.637589,0.362411
2024-04-28 01:01:01.209470,Step[28],0.661838,0.604360,0.395640
2024-04-28 01:01:31.605986,Step[29],0.706635,0.620302,0.379698
2024-04-28 01:02:01.984938,Step[30],0.650576,0.654341,0.345659
2024-04-28 01:02:32.328320,Step[31],0.681896,0.694393,0.305607
2024-04-28 01:03:02.733167,Step[32],0.669038,0.646910,0.353090
2024-04-28 01:03:33.124905,Step[33],0.659266,0.627338,0.372662
2024-04-28 01:04:03.400526,Step[34],0.642195,0.638083,0.361917
2024-04-28 01:04:33.791676,Step[35],0.635331,0.656370,0.343630
2024-04-28 01:05:04.281793,Step[36],0.641411,0.620792,0.379208
2024-04-28 01:05:34.693965,Step[37],0.623714,0.619886,0.380114
2024-04-28 01:06:05.082839,Step[38],0.627633,0.606872,0.393128
2024-04-28 01:06:35.436799,Step[39],0.627474,0.596727,0.403273
2024-04-28 01:07:05.818570,Step[40],0.603097,0.585726,0.414274
2024-04-28 01:07:36.164466,Step[41],0.603473,0.602215,0.397785
2024-04-28 01:08:06.551806,Step[42],0.619534,0.599523,0.400477
2024-04-28 01:08:36.902313,Step[43],0.609427,0.615501,0.384499
2024-04-28 01:09:07.309781,Step[44],0.595198,0.588787,0.411213
2024-04-28 01:09:37.704885,Step[45],0.613530,0.592128,0.407872
2024-04-28 01:10:08.095613,Step[46],0.605709,0.592236,0.407764
2024-04-28 01:10:38.516741,Step[47],0.617109,0.592003,0.407997
2024-04-28 01:11:08.854522,Step[48],0.614722,0.592236,0.407764
2024-04-28 01:11:39.191754,Step[49],0.609616,0.592236,0.407764
2024-04-28 01:12:09.567312,Step[50],0.607391,0.592237,0.407763
2024-04-28 01:12:39.952554,Step[51],0.607392,0.592236,0.407764
2024-04-28 01:13:10.399084,Step[52],0.607213,0.592236,0.407764
2024-04-28 01:13:40.781560,Step[53],0.607380,0.592236,0.407764
2024-04-28 01:14:11.155063,Step[54],0.607380,0.592236,0.407764
2024-04-28 01:14:41.505743,Step[55],0.607381,0.592236,0.407764
2024-04-28 01:15:11.889359,Step[56],0.607380,0.592236,0.407764
2024-04-28 01:15:42.285316,Step[57],0.607380,0.592236,0.407764
2024-04-28 01:16:12.689631,Step[58],0.607380,0.592236,0.407764
2024-04-28 01:16:43.084288,Step[59],0.607380,0.592236,0.407764
2024-04-28 01:17:13.505424,Step[60],0.607380,0.592236,0.407764
2024-04-28 01:17:43.874677,Step[61],0.607380,0.592236,0.407764
2024-04-28 01:18:14.234426,Step[62],0.607380,0.592236,0.407764
2024-04-28 01:18:44.557150,Step[63],0.607380,0.592236,0.407764
2024-04-28 01:19:14.897383,Step[64],0.607380,0.592236,0.407764
2024-04-28 01:19:45.283353,Step[65],0.607380,0.592236,0.407764
2024-04-28 01:20:15.634422,Step[66],0.607380,0.592236,0.407764
2024-04-28 01:20:46.088863,Step[67],0.607380,0.592236,0.407764
2024-04-28 01:21:16.536150,Step[68],0.607380,0.592236,0.407764
2024-04-28 01:21:46.937257,Step[69],0.607380,0.592236,0.407764
2024-04-28 01:22:17.274973,Step[70],0.607380,0.592236,0.407764
2024-04-28 01:22:47.690308,Step[71],0.607380,0.592236,0.407764
2024-04-28 01:23:18.039546,Step[72],0.607380,0.592236,0.407764
2024-04-28 01:23:48.383574,Step[73],0.607380,0.592236,0.407764
2024-04-28 01:24:18.717240,Step[74],0.607380,0.592236,0.407764
2024-04-28 01:24:49.089650,Step[75],0.607380,0.592236,0.407764
2024-04-28 01:25:19.514411,Step[76],0.607380,0.592236,0.407764
2024-04-28 01:25:49.876325,Step[77],0.607380,0.592236,0.407764
2024-04-28 01:26:20.264568,Step[78],0.607380,0.592236,0.407764
2024-04-28 01:26:50.703852,Step[79],0.607380,0.592236,0.407764
2024-04-28 01:27:21.027796,Step[80],0.607380,0.592236,0.407764
2024-04-28 01:27:51.415120,Step[81],0.607380,0.592236,0.407764
2024-04-28 01:28:21.733421,Step[82],0.607380,0.592236,0.407764
2024-04-28 01:28:52.091952,Step[83],0.607380,0.592236,0.407764
2024-04-28 01:29:22.470157,Step[84],0.607380,0.592236,0.407764
2024-04-28 01:29:52.827118,Step[85],0.607380,0.592236,0.407764
2024-04-28 01:30:23.184457,Step[86],0.607380,0.592236,0.407764
2024-04-28 01:30:53.524911,Step[87],0.607380,0.592236,0.407764
2024-04-28 01:31:23.835831,Step[88],0.607380,0.592236,0.407764
2024-04-28 01:31:54.179121,Step[89],0.607380,0.592236,0.407764
2024-04-28 01:32:24.568556,Step[90],0.607380,0.592236,0.407764
2024-04-28 01:32:54.982488,Step[91],0.607380,0.592236,0.407764
2024-04-28 01:33:25.314897,Step[92],0.607380,0.592236,0.407764
2024-04-28 01:33:55.618288,Step[93],0.607380,0.592236,0.407764
2024-04-28 01:34:25.932081,Step[94],0.607380,0.592236,0.407764
2024-04-28 01:34:56.332412,Step[95],0.607380,0.592236,0.407764
2024-04-28 01:35:26.707284,Step[96],0.607380,0.592236,0.407764
2024-04-28 01:35:57.013136,Step[97],0.607380,0.592236,0.407764
2024-04-28 01:36:27.404260,Step[98],0.607380,0.592236,0.407764
2024-04-28 01:36:57.908825,Step[99],0.607380,0.592236,0.407764
2024-04-28 01:37:28.285677,Step[100],0.607380,0.592236,0.407764
2024-04-28 01:37:58.617452,Step[101],0.607380,0.592236,0.407764
2024-04-28 01:38:28.952117,Step[102],0.607380,0.592236,0.407764
