Time,Step,Train loss,Validation loss,Validation dice
2024-05-04 04:37:13.740056,Step[1],0.936278,0.899251,0.100749
2024-05-04 04:37:51.131196,Step[2],0.824209,0.795955,0.204045
2024-05-04 04:38:28.904731,Step[3],0.793367,0.772052,0.227948
2024-05-04 04:39:06.630200,Step[4],0.768233,0.762395,0.237605
2024-05-04 04:39:44.241636,Step[5],0.762693,0.758676,0.241324
2024-05-04 04:40:21.674368,Step[6],0.747356,0.748533,0.251467
2024-05-04 04:40:59.477550,Step[7],0.746922,0.756815,0.243185
2024-05-04 04:41:36.898844,Step[8],0.742698,0.750136,0.249864
2024-05-04 04:42:14.610581,Step[9],0.742642,0.750338,0.249662
2024-05-04 04:42:52.184206,Step[10],0.733424,0.742206,0.257794
2024-05-04 04:43:29.503619,Step[11],0.725153,0.737199,0.262801
2024-05-04 04:44:07.060685,Step[12],0.721922,0.734842,0.265158
2024-05-04 04:44:44.748244,Step[13],0.715194,0.725364,0.274636
2024-05-04 04:45:22.211638,Step[14],0.719701,0.732423,0.267577
2024-05-04 04:45:59.929321,Step[15],0.717089,0.730923,0.269077
2024-05-04 04:46:37.586376,Step[16],0.717000,0.732229,0.267771
2024-05-04 04:47:15.258990,Step[17],0.721789,0.723832,0.276168
2024-05-04 04:47:53.084362,Step[18],0.719056,0.723184,0.276816
2024-05-04 04:48:30.606931,Step[19],0.709098,0.724406,0.275594
2024-05-04 04:49:08.145269,Step[20],0.705727,0.727927,0.272073
2024-05-04 04:49:45.411869,Step[21],0.704077,0.716343,0.283657
2024-05-04 04:50:23.114759,Step[22],0.698521,0.721661,0.278339
2024-05-04 04:51:00.713974,Step[23],0.695242,0.727297,0.272703
2024-05-04 04:51:37.912421,Step[24],0.703306,0.722273,0.277727
2024-05-04 04:52:15.260405,Step[25],0.696649,0.713387,0.286613
2024-05-04 04:52:52.613120,Step[26],0.697242,0.709172,0.290828
2024-05-04 04:53:29.989827,Step[27],0.699854,0.724642,0.275358
2024-05-04 04:54:07.640622,Step[28],0.698618,0.718848,0.281152
2024-05-04 04:54:45.155364,Step[29],0.691141,0.706153,0.293847
2024-05-04 04:55:22.504489,Step[30],0.687705,0.710775,0.289225
2024-05-04 04:55:59.913282,Step[31],0.683969,0.706550,0.293450
2024-05-04 04:56:37.739996,Step[32],0.678888,0.695278,0.304722
2024-05-04 04:57:15.553498,Step[33],0.674865,0.692520,0.307480
2024-05-04 04:57:53.413567,Step[34],0.675326,0.696654,0.303346
2024-05-04 04:58:30.882327,Step[35],0.676847,0.702390,0.297610
2024-05-04 04:59:08.292765,Step[36],0.700081,0.707985,0.292015
2024-05-04 04:59:45.523971,Step[37],0.684394,0.654549,0.345451
2024-05-04 05:00:23.178475,Step[38],0.716605,0.699797,0.300203
2024-05-04 05:01:00.802787,Step[39],0.660215,0.648709,0.351291
2024-05-04 05:01:38.572814,Step[40],0.611319,0.608974,0.391026
2024-05-04 05:02:16.389803,Step[41],0.641589,0.688809,0.311191
2024-05-04 05:02:53.974626,Step[42],0.677944,0.659015,0.340985
2024-05-04 05:03:31.679676,Step[43],0.653644,0.642946,0.357054
2024-05-04 05:04:09.184800,Step[44],0.643378,0.633877,0.366123
2024-05-04 05:04:46.421823,Step[45],0.633878,0.627860,0.372140
2024-05-04 05:05:23.719226,Step[46],0.631090,0.623662,0.376338
2024-05-04 05:06:01.393810,Step[47],0.619277,0.620961,0.379039
2024-05-04 05:06:39.035870,Step[48],0.601865,0.526210,0.473790
2024-05-04 05:07:16.782210,Step[49],0.610339,0.617307,0.382693
2024-05-04 05:07:54.419313,Step[50],0.575350,0.500309,0.499691
2024-05-04 05:08:31.873031,Step[51],0.556979,0.606143,0.393857
2024-05-04 05:09:09.161454,Step[52],0.609788,0.613546,0.386454
2024-05-04 05:09:46.808220,Step[53],0.621568,0.612530,0.387470
2024-05-04 05:10:24.481388,Step[54],0.606635,0.611665,0.388335
2024-05-04 05:11:01.723466,Step[55],0.619913,0.610920,0.389080
2024-05-04 05:11:39.174814,Step[56],0.603293,0.610309,0.389691
2024-05-04 05:12:16.929790,Step[57],0.621067,0.609807,0.390193
2024-05-04 05:12:54.588787,Step[58],0.613005,0.609357,0.390643
2024-05-04 05:13:32.136948,Step[59],0.597944,0.608920,0.391080
2024-05-04 05:14:09.795618,Step[60],0.609703,0.608546,0.391454
2024-05-04 05:14:47.476269,Step[61],0.619638,0.608190,0.391810
2024-05-04 05:15:24.973273,Step[62],0.610877,0.607833,0.392167
2024-05-04 05:16:02.321887,Step[63],0.610350,0.607547,0.392453
2024-05-04 05:16:39.826585,Step[64],0.610084,0.607284,0.392716
2024-05-04 05:17:17.227521,Step[65],0.609809,0.607031,0.392969
2024-05-04 05:17:54.896584,Step[66],0.609589,0.606806,0.393194
2024-05-04 05:18:32.447614,Step[67],0.609351,0.606599,0.393401
2024-05-04 05:19:09.623948,Step[68],0.609132,0.606402,0.393598
2024-05-04 05:19:47.073467,Step[69],0.608962,0.606236,0.393764
2024-05-04 05:20:24.354771,Step[70],0.608782,0.606074,0.393926
2024-05-04 05:21:01.950904,Step[71],0.608832,0.605918,0.394082
2024-05-04 05:21:39.644263,Step[72],0.608488,0.605775,0.394225
2024-05-04 05:22:17.338183,Step[73],0.608340,0.605639,0.394361
2024-05-04 05:22:54.830777,Step[74],0.608301,0.605506,0.394494
2024-05-04 05:23:32.524496,Step[75],0.608069,0.605392,0.394608
2024-05-04 05:24:10.215175,Step[76],0.607955,0.605287,0.394713
2024-05-04 05:24:47.928033,Step[77],0.607857,0.605185,0.394815
2024-05-04 05:25:25.614794,Step[78],0.607790,0.605080,0.394920
2024-05-04 05:26:02.958009,Step[79],0.607647,0.604984,0.395016
2024-05-04 05:26:40.645614,Step[80],0.608913,0.604931,0.395069
2024-05-04 05:27:18.105193,Step[81],0.607511,0.604839,0.395161
2024-05-04 05:27:55.848661,Step[82],0.607405,0.604753,0.395247
2024-05-04 05:28:33.533170,Step[83],0.607321,0.604668,0.395332
2024-05-04 05:29:10.776833,Step[84],0.607247,0.604594,0.395406
2024-05-04 05:29:48.246645,Step[85],0.607161,0.604517,0.395483
2024-05-04 05:30:25.993400,Step[86],0.607081,0.604448,0.395552
2024-05-04 05:31:03.641099,Step[87],0.607014,0.604386,0.395614
2024-05-04 05:31:41.371527,Step[88],0.606958,0.604326,0.395674
2024-05-04 05:32:18.997840,Step[89],0.606896,0.604268,0.395732
2024-05-04 05:32:56.766223,Step[90],0.606843,0.604214,0.395786
2024-05-04 05:33:34.486825,Step[91],0.606785,0.604160,0.395840
2024-05-04 05:34:11.747200,Step[92],0.606726,0.604106,0.395894
2024-05-04 05:34:48.973459,Step[93],0.606674,0.604058,0.395942
2024-05-04 05:35:26.474816,Step[94],0.606631,0.604013,0.395987
2024-05-04 05:36:04.055989,Step[95],0.606586,0.603969,0.396031
2024-05-04 05:36:41.674705,Step[96],0.606537,0.603924,0.396076
2024-05-04 05:37:19.143141,Step[97],0.606498,0.603882,0.396118
2024-05-04 05:37:56.633011,Step[98],0.606454,0.603842,0.396158
2024-05-04 05:38:34.233868,Step[99],0.606410,0.603804,0.396196
2024-05-04 05:39:11.922662,Step[100],0.606376,0.603768,0.396232
2024-05-04 05:39:49.498513,Step[101],0.606342,0.603732,0.396268
2024-05-04 05:40:27.090945,Step[102],0.606304,0.603696,0.396304
2024-05-04 05:41:04.318035,Step[103],0.606265,0.603662,0.396338
2024-05-04 05:41:41.563633,Step[104],0.606233,0.603627,0.396373
2024-05-04 05:42:18.820727,Step[105],0.606201,0.603597,0.396403
2024-05-04 05:42:56.396190,Step[106],0.606168,0.603568,0.396432
2024-05-04 05:43:34.071248,Step[107],0.606142,0.603538,0.396462
2024-05-04 05:44:11.754288,Step[108],0.606112,0.603510,0.396490
2024-05-04 05:44:49.358612,Step[109],0.606083,0.603481,0.396519
2024-05-04 05:45:26.772727,Step[110],0.606055,0.603453,0.396547
2024-05-04 05:46:04.026079,Step[111],0.606025,0.603429,0.396571
2024-05-04 05:46:41.547831,Step[112],0.606000,0.603404,0.396596
2024-05-04 05:47:18.845442,Step[113],0.605977,0.603380,0.396620
2024-05-04 05:47:56.429079,Step[114],0.605955,0.603356,0.396644
2024-05-04 05:48:33.706345,Step[115],0.605932,0.603332,0.396668
2024-05-04 05:49:10.947666,Step[116],0.605905,0.603309,0.396691
2024-05-04 05:49:48.181734,Step[117],0.605882,0.603288,0.396712
2024-05-04 05:50:25.824315,Step[118],0.605861,0.603268,0.396732
2024-05-04 05:51:03.459153,Step[119],0.605841,0.603247,0.396753
2024-05-04 05:51:41.073424,Step[120],0.605822,0.603227,0.396773
2024-05-04 05:52:18.758802,Step[121],0.605799,0.603207,0.396793
2024-05-04 05:52:56.200390,Step[122],0.605780,0.603187,0.396813
2024-05-04 05:53:33.672571,Step[123],0.605762,0.603170,0.396830
2024-05-04 05:54:11.361429,Step[124],0.605745,0.603152,0.396848
2024-05-04 05:54:48.972254,Step[125],0.605725,0.603135,0.396865
2024-05-04 05:55:26.588196,Step[126],0.605708,0.603118,0.396882
2024-05-04 05:56:04.255783,Step[127],0.605692,0.603101,0.396899
2024-05-04 05:56:41.508078,Step[128],0.605674,0.603084,0.396916
2024-05-04 05:57:18.791615,Step[129],0.605660,0.603070,0.396930
2024-05-04 05:57:56.048728,Step[130],0.605644,0.603055,0.396945
2024-05-04 05:58:33.443733,Step[131],0.605628,0.603040,0.396960
2024-05-04 05:59:11.114117,Step[132],0.605614,0.603026,0.396974
2024-05-04 05:59:48.689742,Step[133],0.605600,0.603011,0.396989
2024-05-04 06:00:26.334324,Step[134],0.605584,0.602997,0.397003
2024-05-04 06:01:03.991705,Step[135],0.605571,0.602984,0.397016
2024-05-04 06:01:41.624629,Step[136],0.605558,0.602971,0.397029
2024-05-04 06:02:19.246760,Step[137],0.605546,0.602959,0.397041
2024-05-04 06:02:56.581618,Step[138],0.605533,0.602947,0.397053
2024-05-04 06:03:34.134237,Step[139],0.605521,0.602934,0.397066
2024-05-04 06:04:11.463214,Step[140],0.605507,0.602922,0.397078
2024-05-04 06:04:49.011373,Step[141],0.605497,0.602911,0.397089
2024-05-04 06:05:26.625747,Step[142],0.605483,0.602900,0.397100
2024-05-04 06:06:04.135560,Step[143],0.605473,0.602889,0.397111
2024-05-04 06:06:41.220486,Step[144],0.605463,0.602878,0.397122
2024-05-04 06:07:18.618440,Step[145],0.605451,0.602868,0.397132
2024-05-04 06:07:55.984394,Step[146],0.605441,0.602857,0.397143
2024-05-04 06:08:33.647819,Step[147],0.605431,0.602848,0.397152
2024-05-04 06:09:11.197270,Step[148],0.605421,0.602838,0.397162
2024-05-04 06:09:48.836950,Step[149],0.605411,0.602829,0.397171
2024-05-04 06:10:26.417549,Step[150],0.605403,0.602820,0.397180
2024-05-04 06:11:03.869763,Step[151],0.605394,0.602810,0.397190
2024-05-04 06:11:40.950378,Step[152],0.605383,0.602801,0.397199
2024-05-04 06:12:18.250168,Step[153],0.605376,0.602792,0.397208
2024-05-04 06:12:55.461322,Step[154],0.605367,0.602784,0.397216
2024-05-04 06:13:33.190997,Step[155],0.605359,0.602776,0.397224
2024-05-04 06:14:10.721018,Step[156],0.605350,0.602768,0.397232
2024-05-04 06:14:48.294582,Step[157],0.605341,0.602760,0.397240
2024-05-04 06:15:25.936092,Step[158],0.605332,0.602752,0.397248
2024-05-04 06:16:03.632268,Step[159],0.605325,0.602745,0.397255
2024-05-04 06:16:41.187386,Step[160],0.605318,0.602738,0.397262
2024-05-04 06:17:18.862634,Step[161],0.605311,0.602731,0.397269
2024-05-04 06:17:56.204564,Step[162],0.605304,0.602723,0.397277
2024-05-04 06:18:33.439817,Step[163],0.605297,0.602717,0.397283
2024-05-04 06:19:10.625635,Step[164],0.605290,0.602710,0.397290
2024-05-04 06:19:48.048412,Step[165],0.605283,0.602703,0.397297
2024-05-04 06:20:25.772090,Step[166],0.605276,0.602697,0.397303
2024-05-04 06:21:03.447573,Step[167],0.605271,0.602691,0.397309
2024-05-04 06:21:41.147375,Step[168],0.605265,0.602685,0.397315
2024-05-04 06:22:18.765268,Step[169],0.605258,0.602679,0.397321
2024-05-04 06:22:56.260191,Step[170],0.605252,0.602673,0.397327
2024-05-04 06:23:33.667467,Step[171],0.605247,0.602667,0.397333
2024-05-04 06:24:11.099762,Step[172],0.605241,0.602662,0.397338
2024-05-04 06:24:48.823961,Step[173],0.605235,0.602656,0.397344
2024-05-04 06:25:26.072074,Step[174],0.605229,0.602651,0.397349
2024-05-04 06:26:03.292510,Step[175],0.605224,0.602645,0.397355
2024-05-04 06:26:40.689650,Step[176],0.605218,0.602640,0.397360
2024-05-04 06:27:18.421965,Step[177],0.605213,0.602635,0.397365
2024-05-04 06:27:56.141217,Step[178],0.605209,0.602630,0.397370
2024-05-04 06:28:33.853632,Step[179],0.605204,0.602626,0.397374
2024-05-04 06:29:11.557695,Step[180],0.605199,0.602621,0.397379
2024-05-04 06:29:49.016839,Step[181],0.605194,0.602616,0.397384
2024-05-04 06:30:26.417924,Step[182],0.605189,0.602612,0.397388
2024-05-04 06:31:03.973153,Step[183],0.605185,0.602607,0.397393
2024-05-04 06:31:41.636465,Step[184],0.605180,0.602603,0.397397
2024-05-04 06:32:19.369404,Step[185],0.605176,0.602599,0.397401
2024-05-04 06:32:56.998775,Step[186],0.605173,0.602595,0.397405
2024-05-04 06:33:34.396559,Step[187],0.605168,0.602591,0.397409
2024-05-04 06:34:11.766481,Step[188],0.605164,0.602586,0.397414
2024-05-04 06:34:49.456082,Step[189],0.605160,0.602583,0.397417
2024-05-04 06:35:26.693184,Step[190],0.605156,0.602579,0.397421
2024-05-04 06:36:04.363838,Step[191],0.605152,0.602575,0.397425
2024-05-04 06:36:42.066050,Step[192],0.605149,0.602572,0.397428
2024-05-04 06:37:19.776450,Step[193],0.605145,0.602568,0.397432
2024-05-04 06:37:57.428234,Step[194],0.605141,0.602565,0.397435
2024-05-04 06:38:35.073641,Step[195],0.605138,0.602561,0.397439
2024-05-04 06:39:12.773182,Step[196],0.605135,0.602558,0.397442
2024-05-04 06:39:50.296640,Step[197],0.605131,0.602555,0.397445
2024-05-04 06:40:27.797478,Step[198],0.605128,0.602551,0.397449
2024-05-04 06:41:05.486614,Step[199],0.605124,0.602548,0.397452
2024-05-04 06:41:43.079438,Step[200],0.605121,0.602545,0.397455
2024-05-04 06:42:20.726735,Step[201],0.605119,0.602542,0.397458
2024-05-04 06:42:58.392960,Step[202],0.605116,0.602539,0.397461
2024-05-04 06:43:36.038388,Step[203],0.605113,0.602537,0.397463
2024-05-04 06:44:13.695043,Step[204],0.605110,0.602534,0.397466
2024-05-04 06:44:51.356364,Step[205],0.605106,0.602531,0.397469
2024-05-04 06:45:29.019872,Step[206],0.605104,0.602528,0.397472
2024-05-04 06:46:06.305390,Step[207],0.605101,0.602526,0.397474
2024-05-04 06:46:43.933886,Step[208],0.605099,0.602523,0.397477
2024-05-04 06:47:21.594880,Step[209],0.605096,0.602521,0.397479
2024-05-04 06:47:59.131634,Step[210],0.605094,0.602518,0.397482
2024-05-04 06:48:38.014823,Step[211],0.605091,0.602516,0.397484
2024-05-04 06:49:19.847404,Step[212],0.605089,0.602513,0.397487
2024-05-04 06:50:03.463794,Step[213],0.605087,0.602511,0.397489
2024-05-04 06:50:46.282125,Step[214],0.605084,0.602509,0.397491
2024-05-04 06:51:28.828073,Step[215],0.605082,0.602506,0.397494
2024-05-04 06:52:12.248036,Step[216],0.605080,0.602504,0.397496
2024-05-04 06:52:55.796828,Step[217],0.605077,0.602502,0.397498
2024-05-04 06:53:40.115357,Step[218],0.605075,0.602500,0.397500
2024-05-04 06:54:23.909925,Step[219],0.605074,0.602498,0.397502
2024-05-04 06:55:07.426714,Step[220],0.605071,0.602496,0.397504
2024-05-04 06:55:52.059604,Step[221],0.605069,0.602494,0.397506
2024-05-04 06:56:36.046757,Step[222],0.605067,0.602492,0.397508
2024-05-04 06:57:17.633838,Step[223],0.605065,0.602490,0.397510
2024-05-04 06:57:55.165021,Step[224],0.605063,0.602488,0.397512
2024-05-04 06:58:32.704870,Step[225],0.605064,0.602486,0.397514
2024-05-04 06:59:09.991379,Step[226],0.605060,0.602485,0.397515
2024-05-04 06:59:47.496683,Step[227],0.605058,0.602483,0.397517
2024-05-04 07:00:24.967351,Step[228],0.605057,0.602481,0.397519
2024-05-04 07:01:02.483880,Step[229],0.605054,0.602480,0.397520
2024-05-04 07:01:39.941252,Step[230],0.605053,0.602478,0.397522
2024-05-04 07:02:17.178649,Step[231],0.605051,0.602476,0.397524
2024-05-04 07:02:54.382097,Step[232],0.605049,0.602475,0.397525
2024-05-04 07:03:31.685034,Step[233],0.605048,0.602473,0.397527
2024-05-04 07:04:08.982957,Step[234],0.605046,0.602472,0.397528
2024-05-04 07:04:46.209600,Step[235],0.605045,0.602470,0.397530
2024-05-04 07:05:23.469043,Step[236],0.605044,0.602469,0.397531
2024-05-04 07:06:00.718939,Step[237],0.605042,0.602468,0.397532
2024-05-04 07:06:38.118638,Step[238],0.605041,0.602466,0.397534
2024-05-04 07:07:15.606209,Step[239],0.605039,0.602465,0.397535
2024-05-04 07:07:53.097580,Step[240],0.605038,0.602464,0.397536
2024-05-04 07:08:30.570147,Step[241],0.605037,0.602462,0.397538
2024-05-04 07:09:08.045337,Step[242],0.605035,0.602461,0.397539
2024-05-04 07:09:45.543917,Step[243],0.605034,0.602460,0.397540
2024-05-04 07:10:22.994082,Step[244],0.605033,0.602459,0.397541
2024-05-04 07:11:00.391364,Step[245],0.605031,0.602457,0.397543
2024-05-04 07:11:37.841192,Step[246],0.605031,0.602456,0.397544
2024-05-04 07:12:15.071988,Step[247],0.605029,0.602455,0.397545
2024-05-04 07:12:52.323996,Step[248],0.605028,0.602454,0.397546
2024-05-04 07:13:29.559349,Step[249],0.605027,0.602453,0.397547
2024-05-04 07:14:06.914885,Step[250],0.605026,0.602452,0.397548
2024-05-04 07:14:44.310848,Step[251],0.605025,0.602451,0.397549
2024-05-04 07:15:21.737029,Step[252],0.605024,0.602450,0.397550
2024-05-04 07:15:59.214303,Step[253],0.605023,0.602449,0.397551
2024-05-04 07:16:36.716958,Step[254],0.605022,0.602448,0.397552
2024-05-04 07:17:14.171735,Step[255],0.605021,0.602447,0.397553
2024-05-04 07:17:51.522554,Step[256],0.605020,0.602446,0.397554
2024-05-04 07:18:28.952786,Step[257],0.605019,0.602445,0.397555
2024-05-04 07:19:06.445799,Step[258],0.605018,0.602444,0.397556
2024-05-04 07:19:43.904986,Step[259],0.605017,0.602443,0.397557
2024-05-04 07:20:21.350256,Step[260],0.605016,0.602442,0.397558
2024-05-04 07:20:58.800265,Step[261],0.605015,0.602441,0.397559
2024-05-04 07:21:36.301572,Step[262],0.605014,0.602440,0.397560
2024-05-04 07:22:13.574572,Step[263],0.605013,0.602440,0.397560
2024-05-04 07:22:51.051005,Step[264],0.605013,0.602439,0.397561
2024-05-04 07:23:28.355761,Step[265],0.605012,0.602438,0.397562
2024-05-04 07:24:05.825023,Step[266],0.605011,0.602437,0.397563
2024-05-04 07:24:43.232956,Step[267],0.605010,0.602436,0.397564
2024-05-04 07:25:20.688077,Step[268],0.605009,0.602436,0.397564
2024-05-04 07:25:58.108023,Step[269],0.605008,0.602435,0.397565
2024-05-04 07:26:35.618667,Step[270],0.605008,0.602434,0.397566
2024-05-04 07:27:12.969578,Step[271],0.605007,0.602433,0.397567
2024-05-04 07:27:50.447007,Step[272],0.605006,0.602433,0.397567
2024-05-04 07:28:27.905599,Step[273],0.605006,0.602432,0.397568
2024-05-04 07:29:05.368044,Step[274],0.605005,0.602431,0.397569
2024-05-04 07:29:42.746281,Step[275],0.605005,0.602431,0.397569
2024-05-04 07:30:20.160105,Step[276],0.605004,0.602430,0.397570
2024-05-04 07:30:57.541369,Step[277],0.605003,0.602429,0.397571
2024-05-04 07:31:34.967382,Step[278],0.605002,0.602429,0.397571
2024-05-04 07:32:12.232953,Step[279],0.605002,0.602428,0.397572
2024-05-04 07:32:49.561201,Step[280],0.605001,0.602428,0.397572
2024-05-04 07:33:27.030162,Step[281],0.605001,0.602427,0.397573
2024-05-04 07:34:04.318954,Step[282],0.605000,0.602426,0.397574
2024-05-04 07:34:41.568891,Step[283],0.604999,0.602426,0.397574
2024-05-04 07:35:18.820166,Step[284],0.604999,0.602425,0.397575
2024-05-04 07:35:56.037412,Step[285],0.604998,0.602425,0.397575
2024-05-04 07:36:33.352487,Step[286],0.604998,0.602424,0.397576
2024-05-04 07:37:10.844513,Step[287],0.604997,0.602424,0.397576
2024-05-04 07:37:48.152895,Step[288],0.604997,0.602423,0.397577
2024-05-04 07:38:25.447960,Step[289],0.604996,0.602423,0.397577
2024-05-04 07:39:02.944454,Step[290],0.604996,0.602422,0.397578
2024-05-04 07:39:40.387326,Step[291],0.604995,0.602422,0.397578
2024-05-04 07:40:17.766854,Step[292],0.604995,0.602421,0.397579
2024-05-04 07:40:55.136609,Step[293],0.604994,0.602421,0.397579
2024-05-04 07:41:32.565485,Step[294],0.604994,0.602420,0.397580
2024-05-04 07:42:10.019016,Step[295],0.604993,0.602420,0.397580
2024-05-04 07:42:47.527923,Step[296],0.604993,0.602419,0.397581
2024-05-04 07:43:25.025129,Step[297],0.604993,0.602419,0.397581
2024-05-04 07:44:02.474768,Step[298],0.604992,0.602419,0.397581
2024-05-04 07:44:39.926826,Step[299],0.604992,0.602418,0.397582
2024-05-04 07:45:17.260955,Step[300],0.604991,0.602418,0.397582
