Time,Step,Train loss,Validation loss,Validation dice
2024-05-22 07:51:52.462560,Step[1],0.975357,0.975976,0.024024
2024-05-22 07:52:52.016750,Step[2],0.973791,0.972960,0.027040
2024-05-22 07:53:49.466611,Step[3],0.960073,0.949723,0.050277
2024-05-22 07:54:47.095779,Step[4],0.944241,0.942151,0.057849
2024-05-22 07:55:45.076381,Step[5],0.934345,0.931893,0.068107
2024-05-22 07:56:42.874631,Step[6],0.918936,0.915946,0.084054
2024-05-22 07:57:40.880684,Step[7],0.899526,0.912103,0.087897
2024-05-22 07:58:38.641273,Step[8],0.886723,0.910071,0.089929
2024-05-22 07:59:36.832859,Step[9],0.870011,0.874740,0.125260
2024-05-22 08:00:34.600027,Step[10],0.848081,0.857035,0.142965
2024-05-22 08:01:32.636110,Step[11],0.836391,0.853571,0.146429
2024-05-22 08:02:30.427404,Step[12],0.835987,0.855290,0.144710
2024-05-22 08:03:28.359987,Step[13],0.818371,0.830564,0.169436
2024-05-22 08:04:26.055893,Step[14],0.798703,0.820100,0.179900
2024-05-22 08:05:23.733161,Step[15],0.790054,0.823964,0.176036
2024-05-22 08:06:21.405897,Step[16],0.789267,0.812949,0.187051
2024-05-22 08:07:19.456217,Step[17],0.772525,0.810382,0.189618
2024-05-22 08:08:17.169571,Step[18],0.770981,0.792423,0.207577
2024-05-22 08:09:14.865024,Step[19],0.756352,0.795101,0.204899
2024-05-22 08:10:12.469862,Step[20],0.756816,0.801977,0.198023
2024-05-22 08:11:10.434008,Step[21],0.743207,0.787826,0.212174
2024-05-22 08:12:08.202021,Step[22],0.743418,0.788753,0.211247
2024-05-22 08:13:05.954707,Step[23],0.735100,0.790682,0.209318
2024-05-22 08:14:03.642318,Step[24],0.730938,0.787131,0.212869
2024-05-22 08:15:01.584375,Step[25],0.730735,0.774701,0.225299
2024-05-22 08:15:59.455415,Step[26],0.729675,0.774639,0.225361
2024-05-22 08:16:57.158736,Step[27],0.721186,0.782836,0.217164
2024-05-22 08:17:54.763753,Step[28],0.721201,0.774985,0.225015
2024-05-22 08:18:52.453112,Step[29],0.720224,0.769420,0.230580
2024-05-22 08:19:50.377128,Step[30],0.712841,0.773724,0.226276
2024-05-22 08:20:47.950821,Step[31],0.715477,0.764917,0.235083
2024-05-22 08:21:45.660646,Step[32],0.720996,0.768600,0.231400
2024-05-22 08:22:43.276721,Step[33],0.717065,0.768723,0.231277
2024-05-22 08:23:41.239751,Step[34],0.709840,0.759730,0.240270
2024-05-22 08:24:38.935927,Step[35],0.707419,0.759810,0.240190
2024-05-22 08:25:36.730120,Step[36],0.698421,0.752930,0.247070
2024-05-22 08:26:34.473064,Step[37],0.696940,0.764978,0.235022
2024-05-22 08:27:32.421580,Step[38],0.703290,0.759641,0.240359
2024-05-22 08:28:30.022909,Step[39],0.696071,0.759989,0.240011
2024-05-22 08:29:27.817807,Step[40],0.699111,0.763049,0.236951
2024-05-22 08:30:25.437432,Step[41],0.689155,0.748056,0.251944
2024-05-22 08:31:23.495981,Step[42],0.686716,0.746605,0.253395
2024-05-22 08:32:21.188681,Step[43],0.685921,0.750315,0.249685
2024-05-22 08:33:18.775664,Step[44],0.679944,0.749248,0.250752
2024-05-22 08:34:16.398991,Step[45],0.679118,0.742399,0.257601
2024-05-22 08:35:14.464041,Step[46],0.680825,0.760120,0.239880
2024-05-22 08:36:12.066584,Step[47],0.678264,0.746743,0.253257
2024-05-22 08:37:09.659460,Step[48],0.679941,0.737804,0.262196
2024-05-22 08:38:07.399015,Step[49],0.672564,0.746025,0.253975
2024-05-22 08:39:05.350726,Step[50],0.679901,0.741501,0.258499
2024-05-22 08:40:03.046499,Step[51],0.671464,0.739217,0.260783
2024-05-22 08:41:00.652018,Step[52],0.663451,0.735739,0.264261
2024-05-22 08:41:58.362653,Step[53],0.671969,0.744344,0.255656
2024-05-22 08:42:56.089665,Step[54],0.670097,0.733522,0.266478
2024-05-22 08:43:53.889232,Step[55],0.665903,0.743485,0.256515
2024-05-22 08:44:51.604017,Step[56],0.664281,0.729328,0.270672
2024-05-22 08:45:49.400000,Step[57],0.660115,0.757717,0.242283
2024-05-22 08:46:47.083012,Step[58],0.672918,0.735206,0.264794
2024-05-22 08:47:44.990015,Step[59],0.660731,0.717498,0.282502
2024-05-22 08:48:42.676189,Step[60],0.658418,0.726278,0.273722
2024-05-22 08:49:40.285436,Step[61],0.658082,0.745067,0.254933
2024-05-22 08:50:37.906795,Step[62],0.653631,0.734228,0.265772
2024-05-22 08:51:35.860220,Step[63],0.652197,0.734924,0.265076
2024-05-22 08:52:33.459757,Step[64],0.650293,0.716594,0.283406
2024-05-22 08:53:31.485987,Step[65],0.645921,0.723822,0.276178
2024-05-22 08:54:29.130207,Step[66],0.645617,0.730462,0.269538
2024-05-22 08:55:27.139416,Step[67],0.642987,0.731493,0.268507
2024-05-22 08:56:24.749274,Step[68],0.636473,0.722250,0.277750
2024-05-22 08:57:22.616242,Step[69],0.646330,0.758601,0.241399
2024-05-22 08:58:20.284145,Step[70],0.649072,0.731797,0.268203
2024-05-22 08:59:18.200712,Step[71],0.641415,0.724533,0.275467
2024-05-22 09:00:15.792461,Step[72],0.637581,0.717082,0.282918
2024-05-22 09:01:13.723429,Step[73],0.626086,0.712554,0.287446
2024-05-22 09:02:11.448191,Step[74],0.624235,0.719853,0.280147
2024-05-22 09:03:09.389694,Step[75],0.624874,0.701194,0.298806
2024-05-22 09:04:07.153679,Step[76],0.625712,0.711669,0.288331
2024-05-22 09:05:04.768366,Step[77],0.626477,0.709495,0.290505
2024-05-22 09:06:02.373782,Step[78],0.621020,0.717660,0.282340
2024-05-22 09:07:00.194452,Step[79],0.626396,0.719740,0.280260
2024-05-22 09:07:57.927696,Step[80],0.625033,0.718488,0.281512
2024-05-22 09:08:55.631872,Step[81],0.621811,0.699046,0.300954
2024-05-22 09:09:53.517685,Step[82],0.617442,0.698922,0.301078
2024-05-22 09:10:51.399201,Step[83],0.623093,0.693478,0.306522
2024-05-22 09:11:49.482394,Step[84],0.612713,0.687559,0.312441
2024-05-22 09:12:47.254211,Step[85],0.611141,0.693295,0.306705
2024-05-22 09:13:44.906016,Step[86],0.604728,0.679127,0.320873
2024-05-22 09:14:42.698768,Step[87],0.616601,0.711921,0.288079
2024-05-22 09:15:40.391849,Step[88],0.609471,0.680592,0.319408
2024-05-22 09:16:38.049641,Step[89],0.586782,0.668892,0.331108
2024-05-22 09:17:35.870774,Step[90],0.593408,0.663597,0.336403
2024-05-22 09:18:33.775066,Step[91],0.603926,0.683587,0.316413
2024-05-22 09:19:31.640033,Step[92],0.609515,0.684215,0.315785
2024-05-22 09:20:29.406984,Step[93],0.595359,0.640176,0.359824
2024-05-22 09:21:27.389370,Step[94],0.607204,0.651062,0.348938
2024-05-22 09:22:25.159861,Step[95],0.577789,0.663482,0.336518
2024-05-22 09:23:23.028415,Step[96],0.600920,0.652714,0.347286
2024-05-22 09:24:20.813356,Step[97],0.554129,0.658848,0.341152
2024-05-22 09:25:18.680807,Step[98],0.571221,0.617990,0.382010
2024-05-22 09:26:16.434442,Step[99],0.560632,0.609543,0.390457
2024-05-22 09:27:14.285975,Step[100],0.532298,0.598030,0.401970
2024-05-22 09:28:12.080440,Step[101],0.539930,0.577328,0.422672
2024-05-22 09:29:09.870410,Step[102],0.514989,0.585740,0.414260
2024-05-22 09:30:07.585165,Step[103],0.503069,0.581808,0.418192
2024-05-22 09:31:05.276001,Step[104],0.508070,0.584024,0.415976
2024-05-22 09:32:02.927023,Step[105],0.518619,0.585805,0.414195
2024-05-22 09:33:00.629481,Step[106],0.531450,0.623010,0.376990
2024-05-22 09:33:58.415018,Step[107],0.571350,0.630769,0.369231
2024-05-22 09:34:56.217154,Step[108],0.525753,0.573393,0.426607
2024-05-22 09:35:54.125135,Step[109],0.502499,0.540707,0.459293
2024-05-22 09:36:52.065997,Step[110],0.476510,0.537179,0.462821
2024-05-22 09:37:50.001087,Step[111],0.480524,0.518322,0.481678
2024-05-22 09:38:47.924193,Step[112],0.465059,0.509421,0.490579
2024-05-22 09:39:45.861739,Step[113],0.447605,0.521054,0.478946
2024-05-22 09:40:43.517934,Step[114],0.607525,0.593299,0.406701
2024-05-22 09:41:41.190949,Step[115],0.569190,0.539992,0.460008
2024-05-22 09:42:38.851985,Step[116],0.478271,0.509391,0.490609
2024-05-22 09:43:36.684348,Step[117],0.535260,0.567909,0.432091
2024-05-22 09:44:34.347513,Step[118],0.494206,0.493552,0.506448
2024-05-22 09:45:32.125752,Step[119],0.457107,0.473813,0.526187
2024-05-22 09:46:29.885058,Step[120],0.447641,0.504478,0.495522
2024-05-22 09:47:27.816246,Step[121],0.439936,0.482386,0.517614
2024-05-22 09:48:25.627291,Step[122],0.491525,0.533707,0.466293
2024-05-22 09:49:23.550685,Step[123],0.572263,0.556224,0.443776
2024-05-22 09:50:21.307633,Step[124],0.485028,0.514615,0.485385
2024-05-22 09:51:19.064228,Step[125],0.428555,0.464573,0.535427
2024-05-22 09:52:16.809458,Step[126],0.446739,0.454681,0.545319
2024-05-22 09:53:14.693329,Step[127],0.433657,0.460731,0.539269
2024-05-22 09:54:12.356106,Step[128],0.429426,0.492465,0.507535
2024-05-22 09:55:10.060544,Step[129],0.467955,0.439134,0.560866
2024-05-22 09:56:07.818489,Step[130],0.473028,0.517236,0.482764
2024-05-22 09:57:05.502212,Step[131],0.504854,0.489286,0.510714
2024-05-22 09:58:03.132206,Step[132],0.453984,0.454093,0.545907
2024-05-22 09:59:00.797173,Step[133],0.463219,0.478679,0.521321
2024-05-22 09:59:58.464127,Step[134],0.452936,0.468080,0.531920
2024-05-22 10:00:56.132741,Step[135],0.433214,0.446742,0.553258
2024-05-22 10:01:53.808755,Step[136],0.424612,0.440753,0.559247
2024-05-22 10:02:51.454183,Step[137],0.402085,0.428918,0.571082
2024-05-22 10:03:49.205685,Step[138],0.395573,0.432044,0.567956
2024-05-22 10:04:46.849855,Step[139],0.382937,0.431953,0.568047
2024-05-22 10:05:44.519999,Step[140],0.384680,0.434952,0.565048
2024-05-22 10:06:42.264475,Step[141],0.361209,0.416433,0.583567
2024-05-22 10:07:40.134523,Step[142],0.373216,0.410567,0.589433
2024-05-22 10:08:37.894998,Step[143],0.368397,0.410729,0.589271
2024-05-22 10:09:35.622733,Step[144],0.366474,0.441047,0.558953
2024-05-22 10:10:33.261076,Step[145],0.366737,0.447457,0.552543
2024-05-22 10:11:30.891283,Step[146],0.366096,0.438201,0.561799
2024-05-22 10:12:28.510310,Step[147],0.362617,0.400237,0.599763
2024-05-22 10:13:26.275416,Step[148],0.363756,0.443127,0.556873
2024-05-22 10:14:23.920537,Step[149],0.370190,0.428925,0.571075
2024-05-22 10:15:21.674753,Step[150],0.347986,0.434454,0.565546
2024-05-22 10:16:19.302782,Step[151],0.341564,0.445296,0.554704
2024-05-22 10:17:16.930828,Step[152],0.360060,0.429804,0.570196
2024-05-22 10:18:14.565043,Step[153],0.345270,0.428418,0.571582
2024-05-22 10:19:12.273560,Step[154],0.339970,0.434623,0.565377
2024-05-22 10:20:09.961060,Step[155],0.350111,0.434501,0.565499
2024-05-22 10:21:07.590290,Step[156],0.347256,0.412285,0.587715
