Time,Step,Train loss,Validation loss,Validation dice
2024-05-24 19:58:23.929357,Step[1],0.976616,0.975994,0.024006
2024-05-24 19:59:00.529269,Step[2],0.972822,0.970048,0.029952
2024-05-24 19:59:37.078906,Step[3],0.964217,0.958012,0.041988
2024-05-24 20:00:13.665266,Step[4],0.951079,0.945372,0.054628
2024-05-24 20:00:50.225888,Step[5],0.940652,0.936343,0.063657
2024-05-24 20:01:26.800161,Step[6],0.928370,0.919668,0.080332
2024-05-24 20:02:03.369289,Step[7],0.902268,0.882009,0.117991
2024-05-24 20:02:39.961928,Step[8],0.872190,0.857923,0.142077
2024-05-24 20:03:16.564145,Step[9],0.844203,0.843789,0.156211
2024-05-24 20:03:53.143022,Step[10],0.828507,0.835039,0.164961
2024-05-24 20:04:29.705821,Step[11],0.820719,0.830904,0.169096
2024-05-24 20:05:06.341676,Step[12],0.807660,0.823028,0.176972
2024-05-24 20:05:42.937080,Step[13],0.801761,0.812982,0.187018
2024-05-24 20:06:19.533381,Step[14],0.788799,0.810447,0.189553
2024-05-24 20:06:56.108640,Step[15],0.782207,0.805123,0.194877
2024-05-24 20:07:32.669244,Step[16],0.777961,0.795105,0.204895
2024-05-24 20:08:09.225731,Step[17],0.767253,0.793637,0.206363
2024-05-24 20:08:45.772439,Step[18],0.764466,0.790622,0.209378
2024-05-24 20:09:22.374766,Step[19],0.753308,0.791195,0.208805
2024-05-24 20:09:58.783686,Step[20],0.750746,0.783228,0.216772
2024-05-24 20:10:35.340554,Step[21],0.750411,0.776912,0.223088
2024-05-24 20:11:11.971641,Step[22],0.741269,0.773860,0.226140
2024-05-24 20:11:48.569341,Step[23],0.736531,0.774724,0.225276
2024-05-24 20:12:24.994167,Step[24],0.738425,0.764618,0.235382
2024-05-24 20:13:01.580547,Step[25],0.726254,0.759406,0.240594
2024-05-24 20:13:38.161412,Step[26],0.724491,0.766777,0.233223
2024-05-24 20:14:14.607601,Step[27],0.726284,0.754164,0.245836
2024-05-24 20:14:51.143320,Step[28],0.715428,0.752932,0.247068
2024-05-24 20:15:27.770377,Step[29],0.715963,0.760232,0.239768
2024-05-24 20:16:04.168200,Step[30],0.714239,0.752687,0.247313
2024-05-24 20:16:40.740399,Step[31],0.708770,0.756690,0.243310
2024-05-24 20:17:17.239084,Step[32],0.704656,0.744256,0.255744
2024-05-24 20:17:53.817461,Step[33],0.699849,0.747084,0.252916
2024-05-24 20:18:30.220173,Step[34],0.697776,0.744565,0.255435
2024-05-24 20:19:06.703704,Step[35],0.699294,0.739736,0.260264
2024-05-24 20:19:43.284732,Step[36],0.687774,0.732068,0.267932
2024-05-24 20:20:19.901599,Step[37],0.689286,0.737204,0.262796
2024-05-24 20:20:56.327658,Step[38],0.687629,0.729388,0.270612
2024-05-24 20:21:32.901295,Step[39],0.686281,0.729129,0.270871
2024-05-24 20:22:09.411363,Step[40],0.685431,0.728426,0.271574
2024-05-24 20:22:45.944019,Step[41],0.683207,0.731057,0.268943
2024-05-24 20:23:22.446025,Step[42],0.675515,0.730568,0.269432
2024-05-24 20:23:58.892422,Step[43],0.671300,0.729187,0.270813
2024-05-24 20:24:35.314624,Step[44],0.673948,0.729021,0.270979
2024-05-24 20:25:11.808061,Step[45],0.666138,0.725261,0.274739
2024-05-24 20:25:48.377206,Step[46],0.666235,0.725863,0.274137
2024-05-24 20:26:24.825203,Step[47],0.668547,0.735205,0.264795
2024-05-24 20:27:01.271866,Step[48],0.667720,0.724326,0.275674
2024-05-24 20:27:37.835826,Step[49],0.663263,0.726559,0.273441
2024-05-24 20:28:14.290956,Step[50],0.661108,0.718344,0.281656
2024-05-24 20:28:50.799290,Step[51],0.660173,0.719185,0.280815
2024-05-24 20:29:27.277548,Step[52],0.662857,0.717466,0.282534
2024-05-24 20:30:03.830729,Step[53],0.660548,0.718698,0.281302
2024-05-24 20:30:40.282028,Step[54],0.655050,0.715960,0.284040
2024-05-24 20:31:16.940243,Step[55],0.651253,0.721755,0.278245
2024-05-24 20:31:53.378914,Step[56],0.653331,0.722265,0.277735
2024-05-24 20:32:29.811650,Step[57],0.649395,0.716753,0.283247
