Time,Step,Train loss,Validation loss,Validation dice
2024-04-23 09:06:52.995662,Step[1],0.949685,0.940222,0.059778
2024-04-23 09:07:02.908099,Step[2],0.921657,0.887032,0.112968
2024-04-23 09:07:10.455440,Step[3],0.898847,0.863225,0.136775
2024-04-23 09:07:18.002455,Step[4],0.876149,0.845680,0.154320
2024-04-23 09:07:25.560998,Step[5],0.849850,0.832442,0.167558
2024-04-23 09:07:33.169255,Step[6],0.833764,0.802429,0.197571
2024-04-23 09:07:40.794897,Step[7],0.806248,0.801058,0.198942
2024-04-23 09:07:48.420323,Step[8],0.787284,0.771437,0.228563
2024-04-23 09:07:56.076481,Step[9],0.778039,0.763014,0.236986
2024-04-23 09:08:03.756283,Step[10],0.760949,0.746559,0.253441
2024-04-23 09:08:11.431216,Step[11],0.746594,0.736739,0.263261
2024-04-23 09:08:19.112629,Step[12],0.735325,0.765609,0.234391
2024-04-23 09:08:26.795293,Step[13],0.734133,0.737951,0.262049
2024-04-23 09:08:34.519682,Step[14],0.726375,0.736639,0.263361
2024-04-23 09:08:42.232888,Step[15],0.713045,0.806212,0.193788
2024-04-23 09:08:49.971084,Step[16],0.786848,0.741344,0.258656
2024-04-23 09:08:57.706036,Step[17],0.729556,0.718011,0.281989
2024-04-23 09:09:05.441082,Step[18],0.703188,0.684250,0.315750
2024-04-23 09:09:13.170175,Step[19],0.708733,0.649280,0.350720
2024-04-23 09:09:20.901280,Step[20],0.704634,0.688364,0.311636
2024-04-23 09:09:28.623129,Step[21],0.706153,0.645263,0.354737
2024-04-23 09:09:36.357622,Step[22],0.686741,0.676153,0.323847
2024-04-23 09:09:44.110082,Step[23],0.693020,0.640301,0.359699
2024-04-23 09:09:51.853251,Step[24],0.620385,0.658340,0.341660
2024-04-23 09:09:59.588867,Step[25],0.564999,0.518832,0.481168
2024-04-23 09:10:07.326327,Step[26],0.498513,0.644533,0.355467
2024-04-23 09:10:15.068642,Step[27],0.619018,0.530821,0.469179
2024-04-23 09:10:22.815392,Step[28],0.480417,0.498793,0.501207
2024-04-23 09:10:30.560884,Step[29],0.517509,0.545501,0.454499
2024-04-23 09:10:38.315779,Step[30],0.521630,0.501022,0.498978
2024-04-23 09:10:46.064747,Step[31],0.486024,0.505478,0.494522
2024-04-23 09:10:53.801451,Step[32],0.497681,0.525167,0.474833
2024-04-23 09:11:01.546663,Step[33],0.495717,0.544752,0.455248
2024-04-23 09:11:09.295379,Step[34],0.469359,0.492008,0.507992
2024-04-23 09:11:17.050007,Step[35],0.494901,0.530247,0.469753
2024-04-23 09:11:24.800678,Step[36],0.471951,0.487530,0.512470
2024-04-23 09:11:32.532125,Step[37],0.482503,0.507893,0.492107
2024-04-23 09:11:40.285055,Step[38],0.499207,0.486091,0.513909
2024-04-23 09:11:48.041248,Step[39],0.458877,0.489289,0.510711
2024-04-23 09:11:55.773091,Step[40],0.437528,0.487006,0.512994
