Time,Step,Train loss,Validation loss,Validation dice,Learning Rate
11:08.7,Step[1],0.955743,0.9358,0.0642,5.23E-05
11:55.3,Step[2],0.899667,0.8866,0.1134,5.23E-05
12:41.8,Step[3],0.832441,0.843462,0.156538,5.23E-05
13:28.1,Step[4],0.792184,0.83537,0.16463,5.23E-05
14:14.4,Step[5],0.770652,0.800267,0.199733,5.23E-05
15:00.8,Step[6],0.753388,0.792916,0.207084,5.23E-05
15:47.3,Step[7],0.742756,0.794337,0.205663,5.23E-05
16:33.4,Step[8],0.738203,0.793187,0.206813,5.23E-05
17:19.5,Step[9],0.724327,0.776812,0.223188,5.23E-05
18:06.2,Step[10],0.716252,0.77564,0.22436,5.23E-05
18:52.7,Step[11],0.710254,0.778467,0.221533,5.23E-05
19:38.8,Step[12],0.711275,0.781047,0.218953,5.23E-05
20:24.9,Step[13],0.702927,0.771222,0.228778,5.23E-05
21:11.2,Step[14],0.700486,0.773685,0.226315,5.23E-05
21:57.2,Step[15],0.691485,0.788704,0.211296,5.23E-05
22:43.4,Step[16],0.685748,0.776797,0.223203,5.23E-05
23:29.5,Step[17],0.691632,0.761365,0.238635,5.23E-05
24:16.4,Step[18],0.69013,0.766462,0.233538,5.23E-05
25:02.3,Step[19],0.683892,0.763395,0.236605,5.23E-05
25:48.5,Step[20],0.679206,0.755266,0.244734,5.23E-05
26:34.9,Step[21],0.674591,0.759364,0.240636,5.23E-05
27:21.1,Step[22],0.672578,0.750606,0.249394,5.23E-05
28:07.6,Step[23],0.666524,0.751151,0.248849,5.23E-05
28:53.6,Step[24],0.661885,0.744574,0.255426,5.23E-05
29:40.1,Step[25],0.65824,0.75743,0.24257,5.23E-05
30:26.2,Step[26],0.659834,0.753949,0.246051,5.23E-05
31:12.2,Step[27],0.659777,0.74553,0.25447,5.23E-05
31:58.3,Step[28],0.661193,0.746797,0.253203,5.23E-05
32:44.5,Step[29],0.658752,0.744681,0.255319,5.23E-05
33:30.4,Step[30],0.656563,0.743204,0.256796,4.71E-05
34:16.8,Step[31],0.651919,0.749608,0.250392,4.71E-05
35:02.8,Step[32],0.649445,0.74072,0.25928,4.71E-05
35:49.2,Step[33],0.643496,0.747501,0.252499,4.71E-05
36:35.3,Step[34],0.637911,0.746875,0.253125,4.71E-05
37:21.3,Step[35],0.636613,0.7368,0.2632,4.71E-05
