Time,Step,Train loss,Validation loss,Validation dice
2024-04-29 02:24:56.885451,Step[1],0.966879,0.918633,0.081367
2024-04-29 02:25:31.716412,Step[2],0.901817,0.812077,0.187923
2024-04-29 02:26:06.624851,Step[3],0.846937,0.769363,0.230637
2024-04-29 02:26:41.493736,Step[4],0.807530,0.758741,0.241259
2024-04-29 02:27:16.363122,Step[5],0.785176,0.751583,0.248417
2024-04-29 02:27:51.319168,Step[6],0.781041,0.745158,0.254842
2024-04-29 02:28:26.226221,Step[7],0.770659,0.744585,0.255415
2024-04-29 02:29:01.068212,Step[8],0.772604,0.738957,0.261043
2024-04-29 02:29:35.969672,Step[9],0.759924,0.737555,0.262445
2024-04-29 02:30:10.865532,Step[10],0.762636,0.733396,0.266604
2024-04-29 02:30:45.723509,Step[11],0.748832,0.730576,0.269424
2024-04-29 02:31:20.579701,Step[12],0.752431,0.731471,0.268529
2024-04-29 02:31:55.386729,Step[13],0.742706,0.733000,0.267000
2024-04-29 02:32:30.173408,Step[14],0.743787,0.721702,0.278298
2024-04-29 02:33:05.072782,Step[15],0.739187,0.720514,0.279486
2024-04-29 02:33:39.977311,Step[16],0.737985,0.716391,0.283609
2024-04-29 02:34:14.829843,Step[17],0.738303,0.725739,0.274261
2024-04-29 02:34:49.589547,Step[18],0.744289,0.717046,0.282954
2024-04-29 02:35:24.351527,Step[19],0.741418,0.715794,0.284206
2024-04-29 02:35:59.295709,Step[20],0.725817,0.715359,0.284641
2024-04-29 02:36:34.206562,Step[21],0.729834,0.714200,0.285800
2024-04-29 02:37:09.091334,Step[22],0.725490,0.721014,0.278986
2024-04-29 02:37:43.863824,Step[23],0.731429,0.710458,0.289542
2024-04-29 02:38:18.752899,Step[24],0.718923,0.708086,0.291914
2024-04-29 02:38:53.620742,Step[25],0.724333,0.707921,0.292079
2024-04-29 02:39:28.498030,Step[26],0.721062,0.704451,0.295549
2024-04-29 02:40:03.500016,Step[27],0.719976,0.702441,0.297559
2024-04-29 02:40:38.378465,Step[28],0.716990,0.701141,0.298859
2024-04-29 02:41:13.252647,Step[29],0.717639,0.704493,0.295507
2024-04-29 02:41:48.071116,Step[30],0.711585,0.707015,0.292985
2024-04-29 02:42:22.886309,Step[31],0.706076,0.719632,0.280368
2024-04-29 02:42:57.664817,Step[32],0.711711,0.725691,0.274309
2024-04-29 02:43:32.459954,Step[33],0.702112,0.700213,0.299787
2024-04-29 02:44:07.421505,Step[34],0.710060,0.697016,0.302984
2024-04-29 02:44:42.312187,Step[35],0.703291,0.694292,0.305708
2024-04-29 02:45:17.211831,Step[36],0.705897,0.717612,0.282388
2024-04-29 02:45:52.017279,Step[37],0.700135,0.692106,0.307894
2024-04-29 02:46:26.892314,Step[38],0.698165,0.700866,0.299134
2024-04-29 02:47:01.621081,Step[39],0.697926,0.693488,0.306512
2024-04-29 02:47:36.389540,Step[40],0.705427,0.694276,0.305724
2024-04-29 02:48:11.175559,Step[41],0.692242,0.690229,0.309771
2024-04-29 02:48:46.035876,Step[42],0.692344,0.685114,0.314886
2024-04-29 02:49:20.901293,Step[43],0.686511,0.684403,0.315597
2024-04-29 02:49:55.818203,Step[44],0.691341,0.686949,0.313051
2024-04-29 02:50:30.561359,Step[45],0.691137,0.690243,0.309757
2024-04-29 02:51:05.320882,Step[46],0.683273,0.683807,0.316193
2024-04-29 02:51:40.250626,Step[47],0.677303,0.678818,0.321182
2024-04-29 02:52:15.131646,Step[48],0.671201,0.678817,0.321183
2024-04-29 02:52:49.912622,Step[49],0.670063,0.675964,0.324036
2024-04-29 02:53:24.778113,Step[50],0.676554,0.683512,0.316488
2024-04-29 02:53:59.566302,Step[51],0.671231,0.685535,0.314465
2024-04-29 02:54:34.369253,Step[52],0.670690,0.672558,0.327442
2024-04-29 02:55:09.241833,Step[53],0.661551,0.669881,0.330119
2024-04-29 02:55:44.114815,Step[54],0.663904,0.670656,0.329344
2024-04-29 02:56:18.912683,Step[55],0.663929,0.672960,0.327040
2024-04-29 02:56:53.692153,Step[56],0.662509,0.669780,0.330220
2024-04-29 02:57:28.513438,Step[57],0.664586,0.667873,0.332127
2024-04-29 02:58:03.374793,Step[58],0.655457,0.669350,0.330650
2024-04-29 02:58:38.122672,Step[59],0.656028,0.666513,0.333487
2024-04-29 02:59:13.018442,Step[60],0.650306,0.676272,0.323728
2024-04-29 02:59:47.834555,Step[61],0.658356,0.678075,0.321925
2024-04-29 03:00:22.640521,Step[62],0.653507,0.663641,0.336359
2024-04-29 03:00:57.587854,Step[63],0.641351,0.660226,0.339774
2024-04-29 03:01:32.543597,Step[64],0.648706,0.661943,0.338057
2024-04-29 03:02:07.305571,Step[65],0.642751,0.661378,0.338622
2024-04-29 03:02:42.139297,Step[66],0.643300,0.663852,0.336148
2024-04-29 03:03:17.052384,Step[67],0.640747,0.652239,0.347761
2024-04-29 03:03:52.142450,Step[68],0.632251,0.657302,0.342698
2024-04-29 03:04:26.998866,Step[69],0.636163,0.656339,0.343661
2024-04-29 03:05:01.827914,Step[70],0.641706,0.653585,0.346415
2024-04-29 03:05:36.604355,Step[71],0.629380,0.641375,0.358625
2024-04-29 03:06:11.614030,Step[72],0.621850,0.645882,0.354118
2024-04-29 03:06:46.473895,Step[73],0.616377,0.611616,0.388384
2024-04-29 03:07:21.439193,Step[74],0.613093,0.613445,0.386555
2024-04-29 03:07:56.350538,Step[75],0.607005,0.612776,0.387224
2024-04-29 03:08:31.184412,Step[76],0.618987,0.608186,0.391814
2024-04-29 03:09:06.041547,Step[77],0.618368,0.564424,0.435576
2024-04-29 03:09:40.926736,Step[78],0.596798,0.551487,0.448513
2024-04-29 03:10:15.818201,Step[79],0.646055,0.567530,0.432470
2024-04-29 03:10:50.653180,Step[80],0.683001,0.602138,0.397862
2024-04-29 03:11:25.453877,Step[81],0.621206,0.534666,0.465334
2024-04-29 03:12:00.352121,Step[82],0.589146,0.560686,0.439314
2024-04-29 03:12:35.157193,Step[83],0.579864,0.560248,0.439752
2024-04-29 03:13:09.958755,Step[84],0.567635,0.469640,0.530360
2024-04-29 03:13:44.863855,Step[85],0.552933,0.521777,0.478223
2024-04-29 03:14:19.664787,Step[86],0.558433,0.464442,0.535558
2024-04-29 03:14:54.477863,Step[87],0.529043,0.455395,0.544605
2024-04-29 03:15:29.357250,Step[88],0.536056,0.432035,0.567965
2024-04-29 03:16:04.282793,Step[89],0.527173,0.506089,0.493911
2024-04-29 03:16:39.144244,Step[90],0.502375,0.465270,0.534730
2024-04-29 03:17:13.919453,Step[91],0.514810,0.485494,0.514506
2024-04-29 03:17:48.695345,Step[92],0.578039,0.448606,0.551394
2024-04-29 03:18:23.431573,Step[93],0.552484,0.478572,0.521428
2024-04-29 03:18:58.181424,Step[94],0.526879,0.457870,0.542130
2024-04-29 03:19:32.918483,Step[95],0.531850,0.448161,0.551839
2024-04-29 03:20:07.650325,Step[96],0.524290,0.395968,0.604032
2024-04-29 03:20:42.507756,Step[97],0.483598,0.387045,0.612955
2024-04-29 03:21:17.361030,Step[98],0.469599,0.383079,0.616921
2024-04-29 03:21:52.207677,Step[99],0.477243,0.366882,0.633118
2024-04-29 03:22:27.036722,Step[100],0.463249,0.415533,0.584467
2024-04-29 03:23:01.783067,Step[101],0.533538,0.447960,0.552040
2024-04-29 03:23:36.525893,Step[102],0.514297,0.391908,0.608092
2024-04-29 03:24:11.300672,Step[103],0.478873,0.433501,0.566499
2024-04-29 03:24:46.088521,Step[104],0.461366,0.378513,0.621487
2024-04-29 03:25:20.854405,Step[105],0.498018,0.387711,0.612289
2024-04-29 03:25:55.652360,Step[106],0.510633,0.381098,0.618902
2024-04-29 03:26:30.385399,Step[107],0.464405,0.371165,0.628835
2024-04-29 03:27:05.162846,Step[108],0.505747,0.418101,0.581899
2024-04-29 03:27:39.962831,Step[109],0.471049,0.392037,0.607963
2024-04-29 03:28:14.754153,Step[110],0.470412,0.376094,0.623906
2024-04-29 03:28:49.510371,Step[111],0.443735,0.368335,0.631665
2024-04-29 03:29:24.311249,Step[112],0.480647,0.391548,0.608452
2024-04-29 03:29:59.120899,Step[113],0.495193,0.388783,0.611217
2024-04-29 03:30:33.887283,Step[114],0.558937,0.536328,0.463672
2024-04-29 03:31:08.637404,Step[115],0.596662,0.476271,0.523729
2024-04-29 03:31:43.488112,Step[116],0.551678,0.409107,0.590893
2024-04-29 03:32:18.283175,Step[117],0.500200,0.393236,0.606764
2024-04-29 03:32:53.137393,Step[118],0.470269,0.385645,0.614355
2024-04-29 03:33:27.927669,Step[119],0.468046,0.363646,0.636354
2024-04-29 03:34:02.831672,Step[120],0.452788,0.377781,0.622219
