Time,Step,Train loss,Validation loss,Validation dice
2024-04-22 20:07:10.699978,Step[1],0.952094,0.879452,0.120548
2024-04-22 20:07:25.510522,Step[2],0.919999,0.880397,0.119603
2024-04-22 20:07:40.326672,Step[3],0.902438,0.856681,0.143319
2024-04-22 20:07:55.081573,Step[4],0.893996,0.891030,0.108970
2024-04-22 20:08:10.068740,Step[5],0.890681,0.854553,0.145447
2024-04-22 20:08:24.882082,Step[6],0.883959,0.823279,0.176721
2024-04-22 20:08:39.822032,Step[7],0.877499,0.819103,0.180897
2024-04-22 20:08:54.700424,Step[8],0.862028,0.767520,0.232480
2024-04-22 20:09:09.496498,Step[9],0.846705,0.798942,0.201058
2024-04-22 20:09:24.316464,Step[10],0.841483,0.793212,0.206788
2024-04-22 20:09:38.955864,Step[11],0.833941,0.796527,0.203473
2024-04-22 20:09:53.815847,Step[12],0.833433,0.768278,0.231722
2024-04-22 20:10:08.707703,Step[13],0.820195,0.760990,0.239010
2024-04-22 20:10:23.490899,Step[14],0.813058,0.782784,0.217216
2024-04-22 20:10:38.382231,Step[15],0.804545,0.739648,0.260352
2024-04-22 20:10:53.179497,Step[16],0.797779,0.745611,0.254389
2024-04-22 20:11:07.839743,Step[17],0.793531,0.752704,0.247296
2024-04-22 20:11:22.607620,Step[18],0.796678,0.742119,0.257881
2024-04-22 20:11:37.297021,Step[19],0.780384,0.739732,0.260268
2024-04-22 20:11:52.268728,Step[20],0.767373,0.722679,0.277321
2024-04-22 20:12:07.101248,Step[21],0.764277,0.735930,0.264070
2024-04-22 20:12:21.821863,Step[22],0.777789,0.739780,0.260220
2024-04-22 20:12:36.480759,Step[23],0.758730,0.726433,0.273567
2024-04-22 20:12:51.279954,Step[24],0.766125,0.737681,0.262319
2024-04-22 20:13:06.094618,Step[25],0.770236,0.740903,0.259097
2024-04-22 20:13:20.831156,Step[26],0.769145,0.738737,0.261263
2024-04-22 20:13:35.586186,Step[27],0.755363,0.727101,0.272899
2024-04-22 20:13:50.340281,Step[28],0.779879,0.722829,0.277171
2024-04-22 20:14:05.183910,Step[29],0.767935,0.716100,0.283900
2024-04-22 20:14:19.925900,Step[30],0.772985,0.735312,0.264688
2024-04-22 20:14:34.917156,Step[31],0.767584,0.722168,0.277832
2024-04-22 20:14:49.751241,Step[32],0.767528,0.702460,0.297540
2024-04-22 20:15:04.646001,Step[33],0.736318,0.692679,0.307321
2024-04-22 20:15:19.616675,Step[34],0.737109,0.696126,0.303874
2024-04-22 20:15:34.351484,Step[35],0.767160,0.757893,0.242107
2024-04-22 20:15:49.315920,Step[36],0.797336,0.727824,0.272176
2024-04-22 20:16:04.138289,Step[37],0.751372,0.748894,0.251106
2024-04-22 20:16:18.997398,Step[38],0.731545,0.487734,0.512266
2024-04-22 20:16:33.767168,Step[39],0.753452,0.744778,0.255222
2024-04-22 20:16:48.603338,Step[40],0.768678,0.673379,0.326621
2024-04-22 20:17:03.433500,Step[41],0.772071,0.733069,0.266931
2024-04-22 20:17:18.309364,Step[42],0.812044,0.774859,0.225141
2024-04-22 20:17:33.144979,Step[43],0.806952,0.792225,0.207775
2024-04-22 20:17:47.882485,Step[44],0.785923,0.772849,0.227151
2024-04-22 20:18:02.621225,Step[45],0.766651,0.752611,0.247389
2024-04-22 20:18:17.451241,Step[46],0.753199,0.711444,0.288556
2024-04-22 20:18:32.156609,Step[47],0.740120,0.674145,0.325855
2024-04-22 20:18:46.875703,Step[48],0.741470,0.657123,0.342877
2024-04-22 20:19:01.597864,Step[49],0.705956,0.639072,0.360928
2024-04-22 20:19:16.569605,Step[50],0.652999,0.610568,0.389432
2024-04-22 20:19:31.416482,Step[51],0.629258,0.603395,0.396605
2024-04-22 20:19:46.343084,Step[52],0.639537,0.596958,0.403042
2024-04-22 20:20:01.221021,Step[53],0.637811,0.582968,0.417032
2024-04-22 20:20:15.878574,Step[54],0.602613,0.547317,0.452683
2024-04-22 20:20:30.652495,Step[55],0.577673,0.471505,0.528495
2024-04-22 20:20:45.435800,Step[56],0.529087,0.502971,0.497029
2024-04-22 20:21:00.175728,Step[57],0.544511,0.484460,0.515540
2024-04-22 20:21:14.932414,Step[58],0.500037,0.468086,0.531914
2024-04-22 20:21:29.732492,Step[59],0.513715,0.480581,0.519419
2024-04-22 20:21:44.547565,Step[60],0.487579,0.441263,0.558737
2024-04-22 20:21:59.392324,Step[61],0.502765,0.472587,0.527413
