Time,Step,Train loss,Validation loss,Validation dice
2024-05-04 22:00:58.630110,Step[1],0.957219,0.959422,0.040578
2024-05-04 22:01:16.152212,Step[2],0.931531,0.941242,0.058758
2024-05-04 22:01:33.694925,Step[3],0.894767,0.912526,0.087474
2024-05-04 22:01:51.246047,Step[4],0.864226,0.859249,0.140751
2024-05-04 22:02:08.749020,Step[5],0.858168,0.859991,0.140009
2024-05-04 22:02:26.210722,Step[6],0.850144,0.845360,0.154640
2024-05-04 22:02:43.725017,Step[7],0.839358,0.863059,0.136941
2024-05-04 22:03:01.186696,Step[8],0.837688,0.879563,0.120437
2024-05-04 22:03:18.655452,Step[9],0.836143,0.835575,0.164425
2024-05-04 22:03:36.140095,Step[10],0.830409,0.887084,0.112916
2024-05-04 22:03:53.609938,Step[11],0.818030,0.827133,0.172867
2024-05-04 22:04:11.169986,Step[12],0.816993,0.833405,0.166595
2024-05-04 22:04:28.596108,Step[13],0.821142,0.803148,0.196852
2024-05-04 22:04:46.122492,Step[14],0.825093,0.811954,0.188046
2024-05-04 22:05:03.614364,Step[15],0.800750,0.801424,0.198576
2024-05-04 22:05:21.161884,Step[16],0.794726,0.806341,0.193659
2024-05-04 22:05:38.712857,Step[17],0.794031,0.796042,0.203958
2024-05-04 22:05:56.261876,Step[18],0.792979,0.801241,0.198759
2024-05-04 22:06:13.715361,Step[19],0.791418,0.789068,0.210932
2024-05-04 22:06:31.259856,Step[20],0.785489,0.806944,0.193056
2024-05-04 22:06:48.729900,Step[21],0.780299,0.804610,0.195390
2024-05-04 22:07:06.212345,Step[22],0.781736,0.806931,0.193069
2024-05-04 22:07:23.707858,Step[23],0.775071,0.787534,0.212466
2024-05-04 22:07:41.216349,Step[24],0.771196,0.785755,0.214245
2024-05-04 22:07:58.756274,Step[25],0.775844,0.760793,0.239207
2024-05-04 22:08:16.306645,Step[26],0.757741,0.788603,0.211397
2024-05-04 22:08:33.763162,Step[27],0.752689,0.762793,0.237207
2024-05-04 22:08:51.261336,Step[28],0.755200,0.793726,0.206274
2024-05-04 22:09:08.730516,Step[29],0.771296,0.777207,0.222793
2024-05-04 22:09:26.220915,Step[30],0.753340,0.749947,0.250053
2024-05-04 22:09:43.772312,Step[31],0.761636,0.755693,0.244307
2024-05-04 22:10:01.253815,Step[32],0.754046,0.742849,0.257151
2024-05-04 22:10:18.757251,Step[33],0.747443,0.768609,0.231391
2024-05-04 22:10:36.214105,Step[34],0.749897,0.736110,0.263890
2024-05-04 22:10:53.739844,Step[35],0.745865,0.742861,0.257139
2024-05-04 22:11:11.204624,Step[36],0.746269,0.735054,0.264946
2024-05-04 22:11:28.746091,Step[37],0.728216,0.746433,0.253567
2024-05-04 22:11:46.230198,Step[38],0.729709,0.730880,0.269120
2024-05-04 22:12:03.751688,Step[39],0.728813,0.755361,0.244639
2024-05-04 22:12:21.237145,Step[40],0.724094,0.737982,0.262018
2024-05-04 22:12:38.728735,Step[41],0.718201,0.736838,0.263162
2024-05-04 22:12:56.190468,Step[42],0.721330,0.713264,0.286736
2024-05-04 22:13:13.686124,Step[43],0.714189,0.743015,0.256985
2024-05-04 22:13:31.154197,Step[44],0.713144,0.742651,0.257349
2024-05-04 22:13:48.697200,Step[45],0.721133,0.746691,0.253309
2024-05-04 22:14:06.179915,Step[46],0.733304,0.786496,0.213504
2024-05-04 22:14:23.655433,Step[47],0.728009,0.730124,0.269876
2024-05-04 22:14:41.154794,Step[48],0.713338,0.716961,0.283039
2024-05-04 22:14:58.689240,Step[49],0.715191,0.732913,0.267087
2024-05-04 22:15:16.162828,Step[50],0.706668,0.711683,0.288317
2024-05-04 22:15:33.672670,Step[51],0.697254,0.736310,0.263690
2024-05-04 22:15:51.141795,Step[52],0.695853,0.702714,0.297286
2024-05-04 22:16:08.671527,Step[53],0.686665,0.703223,0.296777
