Time,Step,Train loss,Validation loss,Validation dice
2024-05-24 00:01:28.838592,Step[1],0.957149,0.922303,0.077697
2024-05-24 00:02:05.394498,Step[2],0.906925,0.884698,0.115302
2024-05-24 00:02:41.974367,Step[3],0.874406,0.862695,0.137305
2024-05-24 00:03:19.074036,Step[4],0.859411,0.828332,0.171668
2024-05-24 00:03:55.596501,Step[5],0.841701,0.858758,0.141242
2024-05-24 00:04:32.052716,Step[6],0.825216,0.813972,0.186028
2024-05-24 00:05:08.835326,Step[7],0.816094,0.803618,0.196382
2024-05-24 00:05:45.440121,Step[8],0.805107,0.796208,0.203792
2024-05-24 00:06:21.989933,Step[9],0.797631,0.799154,0.200846
2024-05-24 00:06:58.673228,Step[10],0.787402,0.788706,0.211294
2024-05-24 00:07:35.438818,Step[11],0.787886,0.804990,0.195010
2024-05-24 00:08:11.869697,Step[12],0.777920,0.803487,0.196513
2024-05-24 00:08:48.313706,Step[13],0.777931,0.801593,0.198407
2024-05-24 00:09:24.755881,Step[14],0.763944,0.787693,0.212307
2024-05-24 00:10:01.287436,Step[15],0.769948,0.785710,0.214290
2024-05-24 00:10:37.821234,Step[16],0.760733,0.778968,0.221032
2024-05-24 00:11:14.833807,Step[17],0.754407,0.785840,0.214160
2024-05-24 00:11:51.297419,Step[18],0.757359,0.772418,0.227582
2024-05-24 00:12:27.841211,Step[19],0.748214,0.770448,0.229552
2024-05-24 00:13:04.691973,Step[20],0.753702,0.769890,0.230110
2024-05-24 00:13:41.320804,Step[21],0.744554,0.762744,0.237256
2024-05-24 00:14:17.860404,Step[22],0.743464,0.758823,0.241177
2024-05-24 00:14:54.560561,Step[23],0.736217,0.768041,0.231959
2024-05-24 00:15:31.313853,Step[24],0.736408,0.757985,0.242015
2024-05-24 00:16:07.819024,Step[25],0.739782,0.751870,0.248130
2024-05-24 00:16:44.376524,Step[26],0.730649,0.745277,0.254723
2024-05-24 00:17:21.266690,Step[27],0.734464,0.767033,0.232967
2024-05-24 00:17:57.729734,Step[28],0.733160,0.757171,0.242829
2024-05-24 00:18:34.177906,Step[29],0.727807,0.753802,0.246198
2024-05-24 00:19:11.055473,Step[30],0.729791,0.765775,0.234225
2024-05-24 00:19:47.524580,Step[31],0.744476,0.760528,0.239472
2024-05-24 00:20:23.952178,Step[32],0.724838,0.750129,0.249871
2024-05-24 00:21:00.570694,Step[33],0.722525,0.749148,0.250852
2024-05-24 00:21:37.165206,Step[34],0.717401,0.743387,0.256613
2024-05-24 00:22:13.717145,Step[35],0.722061,0.746169,0.253831
2024-05-24 00:22:50.331738,Step[36],0.713161,0.739862,0.260138
2024-05-24 00:23:27.233910,Step[37],0.719083,0.743777,0.256223
2024-05-24 00:24:03.608293,Step[38],0.729931,0.743273,0.256727
2024-05-24 00:24:39.986470,Step[39],0.708353,0.738234,0.261766
2024-05-24 00:25:16.859080,Step[40],0.717459,0.740536,0.259464
2024-05-24 00:25:53.248774,Step[41],0.705663,0.739313,0.260687
2024-05-24 00:26:29.627782,Step[42],0.718167,0.732439,0.267561
2024-05-24 00:27:06.434935,Step[43],0.706474,0.735899,0.264101
2024-05-24 00:27:42.937040,Step[44],0.706638,0.743978,0.256022
