Time,Step,Train loss,Validation loss,Validation dice
2024-04-19 18:23:29.552485,Step[1],0.940109,0.894399,0.105601
2024-04-19 18:24:08.030061,Step[2],0.870339,0.855478,0.144522
2024-04-19 18:24:44.310231,Step[3],0.839840,0.822653,0.177347
2024-04-19 18:25:20.798402,Step[4],0.815579,0.801652,0.198348
2024-04-19 18:25:57.480049,Step[5],0.799579,0.794726,0.205274
2024-04-19 18:26:34.007588,Step[6],0.786072,0.773165,0.226835
2024-04-19 18:27:11.379905,Step[7],0.772010,0.774616,0.225384
2024-04-19 18:27:48.278642,Step[8],0.755576,0.784010,0.215990
2024-04-19 18:28:24.608929,Step[9],0.753982,0.769245,0.230755
2024-04-19 18:29:01.100141,Step[10],0.738750,0.761220,0.238780
2024-04-19 18:29:37.880557,Step[11],0.721323,0.755650,0.244350
2024-04-19 18:30:14.554348,Step[12],0.721870,0.745877,0.254123
2024-04-19 18:30:51.231320,Step[13],0.705730,0.742316,0.257684
2024-04-19 18:31:27.858305,Step[14],0.698341,0.754361,0.245639
2024-04-19 18:32:04.402347,Step[15],0.688337,0.742058,0.257942
2024-04-19 18:32:40.947247,Step[16],0.677244,0.716545,0.283455
2024-04-19 18:33:17.637425,Step[17],0.680209,0.721857,0.278143
2024-04-19 18:33:54.247886,Step[18],0.669676,0.723231,0.276769
2024-04-19 18:34:30.582624,Step[19],0.667258,0.737996,0.262004
2024-04-19 18:35:07.047645,Step[20],0.684366,0.710749,0.289251
2024-04-19 18:35:43.479459,Step[21],0.670076,0.732022,0.267978
2024-04-19 18:36:20.148197,Step[22],0.665959,0.733394,0.266606
2024-04-19 18:36:56.471371,Step[23],0.652072,0.713796,0.286204
2024-04-19 18:37:32.828840,Step[24],0.637987,0.699969,0.300031
2024-04-19 18:38:09.314205,Step[25],0.635290,0.706698,0.293302
2024-04-19 18:38:45.928286,Step[26],0.641018,0.703670,0.296330
2024-04-19 18:39:22.374730,Step[27],0.636464,0.717067,0.282933
2024-04-19 18:39:58.733327,Step[28],0.637590,0.715299,0.284701
2024-04-19 18:40:35.162986,Step[29],0.630140,0.709585,0.290415
2024-04-19 18:41:11.524269,Step[30],0.626597,0.715964,0.284036
2024-04-19 18:41:47.886273,Step[31],0.622232,0.695287,0.304713
2024-04-19 18:42:24.289737,Step[32],0.608118,0.702330,0.297670
2024-04-19 18:43:00.749812,Step[33],0.604605,0.703752,0.296248
2024-04-19 18:43:37.053861,Step[34],0.649303,0.729663,0.270337
2024-04-19 18:44:13.419451,Step[35],0.639248,0.712145,0.287855
2024-04-19 18:44:49.812061,Step[36],0.674490,0.705540,0.294460
2024-04-19 18:45:26.123992,Step[37],0.634304,0.656605,0.343395
2024-04-19 18:46:02.499758,Step[38],0.622274,0.663387,0.336613
2024-04-19 18:46:38.994939,Step[39],0.568569,0.557666,0.442334
2024-04-19 18:47:15.366115,Step[40],0.567885,0.530782,0.469218
2024-04-19 18:47:51.947773,Step[41],0.712577,0.674116,0.325884
2024-04-19 18:48:28.464542,Step[42],0.706962,0.630780,0.369220
2024-04-19 18:49:04.852664,Step[43],0.695352,0.567464,0.432536
2024-04-19 18:49:41.194004,Step[44],0.593254,0.482170,0.517830
2024-04-19 18:50:17.620993,Step[45],0.505788,0.407298,0.592702
2024-04-19 18:50:54.377793,Step[46],0.492909,0.441571,0.558429
2024-04-19 18:51:30.980376,Step[47],0.556093,0.483025,0.516975
2024-04-19 18:52:07.340749,Step[48],0.560454,0.453250,0.546750
2024-04-19 18:52:43.677652,Step[49],0.603786,0.567372,0.432628
2024-04-19 18:53:20.062382,Step[50],0.625416,0.563839,0.436161
2024-04-19 18:53:56.391324,Step[51],0.626435,0.561121,0.438879
2024-04-19 18:54:32.720614,Step[52],0.623266,0.557556,0.442444
2024-04-19 18:55:09.119903,Step[53],0.606977,0.498068,0.501932
2024-04-19 18:55:45.412214,Step[54],0.516809,0.428817,0.571183
2024-04-19 18:56:21.766935,Step[55],0.477677,0.434212,0.565788
