Time,Step,Train loss,Validation loss,Validation dice
2024-05-03 16:08:30.311820,Step[1],0.949838,0.875531,0.124469
2024-05-03 16:09:10.863633,Step[2],0.878665,0.829930,0.170070
2024-05-03 16:09:47.164229,Step[3],0.840843,0.790360,0.209640
2024-05-03 16:10:23.479258,Step[4],0.820066,0.779457,0.220543
2024-05-03 16:10:59.749210,Step[5],0.795856,0.764164,0.235836
2024-05-03 16:11:36.039380,Step[6],0.779915,0.758464,0.241536
2024-05-03 16:12:12.296928,Step[7],0.768185,0.746779,0.253221
2024-05-03 16:12:48.526980,Step[8],0.761782,0.740788,0.259212
2024-05-03 16:13:24.730065,Step[9],0.755074,0.733667,0.266333
2024-05-03 16:14:00.980803,Step[10],0.750286,0.729738,0.270262
2024-05-03 16:14:37.214921,Step[11],0.741173,0.726029,0.273971
2024-05-03 16:15:13.446936,Step[12],0.741400,0.724088,0.275912
2024-05-03 16:15:49.809576,Step[13],0.739854,0.729976,0.270024
2024-05-03 16:16:25.874165,Step[14],0.728998,0.712709,0.287291
2024-05-03 16:17:02.118876,Step[15],0.721467,0.712650,0.287350
2024-05-03 16:17:38.434043,Step[16],0.716420,0.719459,0.280541
2024-05-03 16:18:14.591451,Step[17],0.725901,0.716704,0.283296
2024-05-03 16:18:50.692366,Step[18],0.714864,0.728281,0.271719
2024-05-03 16:19:26.844484,Step[19],0.724268,0.723563,0.276437
2024-05-03 16:20:02.999584,Step[20],0.705813,0.706221,0.293779
2024-05-03 16:20:39.219798,Step[21],0.708063,0.702251,0.297749
2024-05-03 16:21:15.443057,Step[22],0.706740,0.700602,0.299398
2024-05-03 16:21:51.675657,Step[23],0.709043,0.710920,0.289080
2024-05-03 16:22:27.798926,Step[24],0.702944,0.709009,0.290991
2024-05-03 16:23:03.921839,Step[25],0.708927,0.721287,0.278713
2024-05-03 16:23:40.072218,Step[26],0.701317,0.696850,0.303150
2024-05-03 16:24:16.392989,Step[27],0.697035,0.692893,0.307107
2024-05-03 16:24:52.630994,Step[28],0.698536,0.709261,0.290739
2024-05-03 16:25:28.734393,Step[29],0.688846,0.708736,0.291264
2024-05-03 16:26:04.915683,Step[30],0.690465,0.689898,0.310102
2024-05-03 16:26:41.146135,Step[31],0.685500,0.692781,0.307219
2024-05-03 16:27:17.313013,Step[32],0.688261,0.702715,0.297285
2024-05-03 16:27:53.485756,Step[33],0.687514,0.689008,0.310992
2024-05-03 16:28:29.714678,Step[34],0.683576,0.678357,0.321643
2024-05-03 16:29:05.979493,Step[35],0.687043,0.676771,0.323229
